
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00020699803205690878367	,gqnilw6h1utdy	,00010000	,00010000	,507495302741	,751604	,00	,03	,01	,5627.00	,5627.00	,20221004	,023345	,20221004	,011	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221004	,1004023345	,01	,0	,00000000	,48700752	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,5627.00	,001	,5627.00	,840.38	,08993852	,296490700998	,5250674047	,3497245536451504	,0	,5627.00	,001	
00069672555667627790713	,gqnilw6h1utdy	,00010000	,00010000	,149743821802	,143074	,00	,03	,07	,5627.00	,5627.00	,20221003	,011432	,20221003	,072	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221003	,1003011432	,01	,0	,00000000	,33212019	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,5627.00	,001	,5627.00	,840.38	,37238350	,684074374657	,3693980964	,5994168417519403	,0	,5627.00	,001	
00091269440167499484402	,gqnilw6h1utdy	,00010000	,00010000	,697028937041	,223956	,00	,03	,01	,5627.00	,5627.00	,20221005	,041817	,20221005	,062	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221005	,1005041817	,01	,0	,00000000	,12333270	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,5627.00	,001	,5627.00	,840.38	,29278565	,316522684445	,8529075880	,1785985564720532	,0	,5627.00	,001	
00057349461346972042210	,627tq3ehdwgav	,00010002	,00010002	,921411707884	,291381	,00	,03	,01	,12776.00	,12776.00	,20221001	,134333	,20221001	,131	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,83	,06	,20221001	,1001134333	,01	,0	,00000000	,35585154	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,12776.00	,001	,12776.00	,1908.06	,49312260	,598619757354	,1381113873	,1697874500912527	,0	,12776.00	,001	
00073421905584723511745	,wpke5gf318adi	,00010000	,00010000	,063853511176	,278602	,00	,03	,03	,7370.00	,7370.00	,20221004	,231205	,20221004	,021	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221004	,1004231205	,01	,0	,00000000	,80274481	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,7370.00	,001	,7370.00	,1100.69	,82640777	,513202272270	,1900369705	,6603247800073448	,0	,7370.00	,001	
00046430992794508524260	,wpke5gf318adi	,00010000	,00010000	,918505607494	,242868	,00	,03	,03	,7370.00	,7370.00	,20221006	,035929	,20221006	,111	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221006	,1006035929	,01	,0	,00000000	,63205849	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,7370.00	,001	,7370.00	,1100.69	,66367278	,270591819957	,1919286082	,0876739675630793	,0	,7370.00	,001	
00035505113333780405930	,wpke5gf318adi	,00010000	,00010000	,973460817080	,017202	,00	,03	,03	,3000.00	,3000.00	,20221007	,054807	,20221007	,030	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221007	,1007054807	,01	,0	,00000000	,70317198	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,3000.00	,001	,3000.00	,448.04	,25749606	,420652851028	,3628482367	,9445451717068722	,0	,3000.00	,001	
00079288649689435218960	,nqp2ude9k0wtm	,00010003	,00010003	,353351788306	,266130	,00	,03	,07	,14132.00	,14132.00	,20221006	,012154	,20221006	,031	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,83	,06	,20221006	,1006012154	,01	,0	,00000000	,19409500	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,14132.00	,001	,14132.00	,2110.58	,34817907	,702766214774	,8688590295	,7709643254239162	,0	,14132.00	,001	
00040210756043967607478	,wpke5gf318adi	,00010000	,00010000	,727788404010	,869152	,00	,03	,01	,3000.00	,3000.00	,20221005	,062801	,20221005	,011	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,83	,06	,20221005	,1005062801	,01	,0	,00000000	,95360773	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,3000.00	,001	,3000.00	,448.04	,10122793	,014457664224	,9786634341	,1637589704154678	,0	,3000.00	,001	
00044846423933018280720	,nqp2ude9k0wtm	,00010003	,00010003	,623196817101	,413765	,00	,03	,07	,9124.00	,9124.00	,20221007	,224544	,20221007	,142	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,83	,06	,20221007	,1007224544	,01	,0	,00000000	,61063975	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,9124.00	,001	,9124.00	,1362.65	,80845692	,952872621240	,7620982351	,7954274024577452	,0	,9124.00	,001	
00090672836660742416342	,nqp2ude9k0wtm	,00010003	,00010003	,206229006782	,460759	,00	,03	,07	,9124.00	,9124.00	,20221004	,004258	,20221004	,122	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,83	,06	,20221004	,1004004258	,01	,0	,00000000	,59746913	,2024-11-15 16:22:16	,2024-11-15 16:22:16	,0	,001	,9124.00	,001	,9124.00	,1362.65	,64841646	,598775290983	,0851612538	,3021818577349166	,0	,9124.00	,001	
