
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
520420435868227	,00030002	,jeh	,jeh	,7011	,0000000000	,20150525	,001	,0	,0	,0	,0	,9900060002	,0	,0001	,1	,07	,nc1xswg4l3k2f	,04886393	,574070003160673292	,6880860646	,648963601659857	,UMAHWFRY926DZW1DKHPQRK89SJSEMWDN9I5OXZ48TMVO3JBN113VFEAGPUUNT5IO	,2365646184	,271183001023	,8697543127	,2145006005	,78550549	,1	
520420435868227	,0000000000	,jeh	,jeh	,7011	,0000000000	,20150525	,001	,0	,0	,0	,0	,9900060002	,0	,0001	,1	,07	,nc1xswg4l3k2f	,04886393	,574070003160673292	,6880860646	,648963601659857	,UMAHWFRY926DZW1DKHPQRK89SJSEMWDN9I5OXZ48TMVO3JBN113VFEAGPUUNT5IO	,2365646184	,271183001023	,8697543127	,2145006005	,78550549	,1	
520420435868227	,0000000000	,jeh	,jeh	,7011	,0000000000	,20150525	,001	,0	,0	,0	,0	,9900060002	,0	,0001	,1	,07	,nc1xswg4l3k2f	,04886393	,574070003160673292	,6880860646	,648963601659857	,UMAHWFRY926DZW1DKHPQRK89SJSEMWDN9I5OXZ48TMVO3JBN113VFEAGPUUNT5IO	,2365646184	,271183001023	,8697543127	,2145006005	,78550549	,1	
951725650922607	,00030003	,nws	,nws	,7011	,0000000000	,20180626	,001	,0	,0	,0	,0	,9900020002	,1	,0001	,1	,07	,0jmker2i7s3hf	,61095418	,031267993193924713	,8251709113	,523770927854094	,W33T8JMOGDAMPDFE1KOQSV6XKQ4WYADJUQR5XTCBPSY9947BKBE62AT7SCLG5RUZ	,5692182921	,347224885749	,2509032607	,8197510878	,18706632	,1	
951725650922607	,0000000000	,nws	,nws	,7011	,0000000000	,20180626	,001	,0	,0	,0	,0	,9900020002	,1	,0001	,1	,07	,0jmker2i7s3hf	,61095418	,031267993193924713	,8251709113	,523770927854094	,W33T8JMOGDAMPDFE1KOQSV6XKQ4WYADJUQR5XTCBPSY9947BKBE62AT7SCLG5RUZ	,5692182921	,347224885749	,2509032607	,8197510878	,18706632	,1	
951725650922607	,0000000000	,nws	,nws	,7011	,0000000000	,20180626	,001	,0	,0	,0	,0	,9900020002	,1	,0001	,1	,07	,0jmker2i7s3hf	,61095418	,031267993193924713	,8251709113	,523770927854094	,W33T8JMOGDAMPDFE1KOQSV6XKQ4WYADJUQR5XTCBPSY9947BKBE62AT7SCLG5RUZ	,5692182921	,347224885749	,2509032607	,8197510878	,18706632	,1	
491359310940532	,00030000	,abo	,abo	,7011	,0000000000	,20150616	,001	,0	,0	,0	,1	,9900060002	,1	,0001	,1	,07	,7jhw0u6is2mgc	,80147355	,182191938004157047	,9830467015	,277684069277107	,4AK25V91BNATCR3OW1KHK4LSP897SEZ7UNE3QJYL5GFHBDS5F8M8RGQECPWTRQ1Z	,4523086826	,845662696687	,1993083680	,1514183872	,81471209	,1	
491359310940532	,0000000000	,abo	,abo	,7011	,0000000000	,20150616	,001	,0	,0	,0	,1	,9900060002	,1	,0001	,1	,07	,7jhw0u6is2mgc	,80147355	,182191938004157047	,9830467015	,277684069277107	,4AK25V91BNATCR3OW1KHK4LSP897SEZ7UNE3QJYL5GFHBDS5F8M8RGQECPWTRQ1Z	,4523086826	,845662696687	,1993083680	,1514183872	,81471209	,1	
491359310940532	,0000000000	,abo	,abo	,7011	,0000000000	,20150616	,001	,0	,0	,0	,1	,9900060002	,1	,0001	,1	,07	,7jhw0u6is2mgc	,80147355	,182191938004157047	,9830467015	,277684069277107	,4AK25V91BNATCR3OW1KHK4LSP897SEZ7UNE3QJYL5GFHBDS5F8M8RGQECPWTRQ1Z	,4523086826	,845662696687	,1993083680	,1514183872	,81471209	,1	
071107618807851	,00020000	,pxl	,pxl	,5699	,0000000000	,20180528	,001	,0	,0	,0	,0	,9900030003	,0	,0001	,1	,07	,5xnisrqpt3hu7	,82367356	,106903613217486671	,8011689516	,101876402138696	,Z9F9YXZ8JIF9U6TOSA844ACK231HXMVLKN3SDJTV7RG5EFPSB4MY81LVC6MTE52H	,5198663069	,727346107293	,9360002277	,7065230137	,91357182	,1	
