
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
vkq6z2dps5yrb	,03	,00030003	,532968133842	,0000	,0	,01	,1	,315825	,1001000742	,0	,05541626	,00030003	,4	,030000000	,0	,458.00	,01	,000742	,00030003	,0	,000300033158251001000742000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,051	,1602	,01	,01	,6qilu0j5xfba7	,1	,1	
h87xvyk3bqgzn	,03	,00030002	,890433721114	,0000	,0	,01	,1	,430060	,1001001839	,0	,86882478	,00030002	,4	,030000000	,0	,424.00	,01	,001839	,00030002	,0	,000300024300601001001839000030002	,20221001	,00030002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,062	,1661	,01	,04	,swy162b85pt0v	,1	,1	
9vd4actunp6fk	,03	,00030000	,842477347945	,0000	,0	,01	,1	,778506	,1001002039	,0	,19945809	,00030000	,4	,030000000	,0	,76.00	,01	,002039	,00030000	,0	,000300007785061001002039000030000	,20221001	,00030000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,011	,1771	,01	,01	,mu7v82gk0alcq	,1	,1	
aulxj9yc860on	,03	,00030002	,681239615762	,0000	,0	,01	,1	,247596	,1001002822	,0	,12912257	,00030002	,4	,030000000	,0	,561.00	,01	,002822	,00030002	,0	,000300022475961001002822000030002	,20221001	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,011	,0891	,01	,04	,tbrnx19j7yo0m	,1	,1	
r7tg9jo5sbmh1	,03	,00010003	,818123396105	,0000	,0	,01	,1	,427719	,1001003033	,0	,65179071	,00010003	,4	,030000000	,0	,154.00	,01	,003033	,00010003	,0	,000100034277191001003033000010003	,20221001	,00010003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,060	,1408	,01	,01	,brhw5ok6j1t27	,1	,1	
0n41migjfyheq	,03	,00020003	,430817337798	,0000	,0	,01	,1	,931948	,1001003339	,0	,51804666	,00020003	,4	,030000000	,0	,20.00	,01	,003339	,00020003	,0	,000200039319481001003339000020003	,20221001	,00020003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,112	,0521	,01	,01	,htqzolwr4c26b	,1	,1	
kgsx916ju52be	,03	,00030003	,674945185620	,0000	,0	,01	,1	,153023	,1001004522	,0	,71893527	,00030003	,4	,030000000	,0	,584.00	,01	,004522	,00030003	,0	,000300031530231001004522000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,011	,2193	,01	,01	,im8ejgkx9h35r	,1	,1	
vw2nsgt6ry045	,03	,00020000	,748933637253	,0000	,0	,01	,1	,694572	,1001005519	,0	,32466319	,00020000	,4	,030000000	,0	,466.00	,01	,005519	,00020000	,0	,000200006945721001005519000020000	,20221001	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,051	,3238	,01	,01	,apzlqs5noyx6j	,1	,1	
dpvk6y7xgi9m3	,03	,00010001	,377619820200	,0000	,0	,01	,1	,780045	,1001010248	,0	,44257405	,00010001	,4	,030000000	,0	,600.00	,01	,010248	,00010001	,0	,000100017800451001010248000010001	,20221001	,00010001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,140	,7220	,01	,01	,h87xvyk3bqgzn	,1	,1	
on3d2xvmgier9	,03	,00010000	,068219516850	,0000	,0	,01	,1	,312477	,1001011444	,0	,81218376	,00010000	,4	,030000000	,0	,129.00	,01	,011444	,00010000	,0	,000100003124771001011444000010000	,20221001	,00010000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,140	,1579	,01	,01	,lzvr1wt4nkpu6	,1	,1	
