
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00063080473508205198761	,4xpg7yvlhe6a2	,00030000	,00030000	,347355309677	,732410	,00	,01	,01	,2277.00	,2277.00	,20221001	,203015	,20221001	,032	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0000	,000	,82	,06	,20221001	,1001203015	,02	,0	,00000000	,56440902	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2277.00	,001	,2277.00	,340.06	,27515580	,528080263352	,1234523489	,2311185008750166	,0	,2277.00	,001	
00084597453917159266630	,4xpg7yvlhe6a2	,00030000	,00030000	,668394674280	,182869	,00	,01	,01	,2669.00	,2669.00	,20221001	,203511	,20221001	,022	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0000	,000	,82	,06	,20221001	,1001203511	,02	,0	,00000000	,34075787	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2669.00	,001	,2669.00	,398.61	,84709276	,004144285774	,4643375122	,2786052908315222	,0	,2669.00	,001	
00019003250402939962019	,4xpg7yvlhe6a2	,00030000	,00030000	,262760612592	,771086	,00	,01	,01	,4000.00	,4000.00	,20221001	,200053	,20221001	,010	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0000	,000	,82	,06	,20221001	,1001200053	,02	,0	,00000000	,77477186	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4000.00	,001	,4000.00	,597.39	,55360669	,011040489816	,8545391823	,5750682055787207	,0	,4000.00	,001	
00088799354116954531595	,4xpg7yvlhe6a2	,00030000	,00030000	,397231050911	,730107	,00	,01	,01	,4000.00	,4000.00	,20221021	,205817	,20221021	,112	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0000	,000	,82	,06	,20221021	,1021205817	,02	,0	,00000000	,07866694	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4000.00	,001	,4000.00	,597.39	,42669897	,958136349786	,4951936702	,4465824256733566	,0	,4000.00	,001	
00000048625323221787408	,4xpg7yvlhe6a2	,00030000	,00030000	,500672113189	,177708	,00	,01	,01	,5378.00	,5378.00	,20221110	,043218	,20221110	,022	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0000	,000	,82	,06	,20221110	,1110043218	,02	,0	,00000000	,51510817	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,5378.00	,001	,5378.00	,803.19	,51915964	,219670933825	,1481472159	,5198908254343310	,0	,5378.00	,001	
00056986157973878097535	,4xpg7yvlhe6a2	,00030000	,00030000	,790318780152	,357496	,00	,01	,01	,3500.00	,3500.00	,20221130	,013113	,20221130	,101	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0000	,000	,82	,06	,20221130	,1130013113	,02	,0	,00000000	,77066960	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3500.00	,001	,3500.00	,522.72	,90589201	,686314506753	,0521467819	,4549523573111557	,0	,3500.00	,001	
00027401180150181233244	,u6rkf2xzgqdna	,00010001	,00010001	,799863486250	,410450	,00	,01	,01	,5735.00	,5735.00	,20221001	,191346	,20221001	,140	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001191346	,02	,0	,00000000	,77774594	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,5735.00	,001	,5735.00	,856.51	,57272971	,961139048564	,9831725068	,4466358501433413	,0	,5735.00	,001	
00026842188933761722193	,u6rkf2xzgqdna	,00010001	,00010001	,673381613105	,995377	,00	,01	,01	,4500.00	,4500.00	,20221001	,203921	,20221001	,121	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001203921	,02	,0	,00000000	,08334847	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4500.00	,001	,4500.00	,672.06	,62328961	,039198996126	,6207146631	,2681741484314338	,0	,4500.00	,001	
00059594670067949714308	,u6rkf2xzgqdna	,00010001	,00010001	,981779656486	,816810	,00	,01	,01	,6300.00	,6300.00	,20221001	,210330	,20221001	,141	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001210330	,02	,0	,00000000	,14707127	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,6300.00	,001	,6300.00	,940.89	,94604456	,305191681395	,0389045672	,9107994957051431	,0	,6300.00	,001	
00003650159383639435726	,u6rkf2xzgqdna	,00010001	,00010001	,921159662224	,150101	,00	,01	,01	,3619.00	,3619.00	,20221001	,220500	,20221001	,060	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001220500	,02	,0	,00000000	,83829051	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3619.00	,001	,3619.00	,540.49	,93556791	,527364760532	,4594553936	,9563278957897185	,0	,3619.00	,001	
00099151569314254353791	,u6rkf2xzgqdna	,00010001	,00010001	,090080649530	,960277	,00	,01	,01	,3876.00	,3876.00	,20221001	,235011	,20221001	,052	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001235011	,02	,0	,00000000	,35471525	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3876.00	,001	,3876.00	,578.87	,35895181	,053267770836	,2116220067	,2375529805517520	,0	,3876.00	,001	
00063877532338957506433	,u6rkf2xzgqdna	,00010001	,00010001	,979359723405	,344824	,00	,01	,01	,2097.00	,2097.00	,20221001	,232155	,20221001	,070	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001232155	,02	,0	,00000000	,47808051	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2097.00	,001	,2097.00	,313.18	,45278622	,388929040544	,3416761444	,9693715042226890	,0	,2097.00	,001	
00059107559165084804657	,u6rkf2xzgqdna	,00010001	,00010001	,012651577250	,716772	,00	,01	,01	,4600.00	,4600.00	,20221001	,235958	,20221001	,140	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221001	,1001235958	,02	,0	,00000000	,89815046	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4600.00	,001	,4600.00	,687.00	,95979981	,375592552828	,2208451659	,9308486869900298	,0	,4600.00	,001	
00052239538288039337639	,u6rkf2xzgqdna	,00010001	,00010001	,920663299059	,276433	,00	,01	,01	,4600.00	,4600.00	,20221021	,163109	,20221021	,152	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0001	,000	,82	,06	,20221021	,1021163109	,02	,0	,00000000	,88605043	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4600.00	,001	,4600.00	,687.00	,91093924	,039278063049	,0556092670	,0375699934583339	,0	,4600.00	,001	
00037534470104329314812	,c14zl5r0vubmt	,00020003	,00020003	,469572075318	,559437	,00	,01	,01	,2147.00	,2147.00	,20221001	,195724	,20221001	,040	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20221001	,1001195724	,02	,0	,00000000	,95389401	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2147.00	,001	,2147.00	,320.65	,62343130	,226744663557	,3224822661	,1706620825445571	,0	,2147.00	,001	
00028808116015942114718	,c14zl5r0vubmt	,00020003	,00020003	,167756118571	,324857	,00	,01	,01	,1949.00	,1949.00	,20221001	,193103	,20221001	,130	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0003	,000	,82	,06	,20221001	,1001193103	,02	,0	,00000000	,38753331	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,1949.00	,001	,1949.00	,291.08	,81347602	,815470924825	,0351699243	,3413075833347049	,0	,1949.00	,001	
00072422910787220393160	,c14zl5r0vubmt	,00020003	,00020003	,648790332217	,397921	,00	,01	,01	,2200.00	,2200.00	,20221001	,192834	,20221001	,022	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20221001	,1001192834	,02	,0	,00000000	,09453933	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2200.00	,001	,2200.00	,328.56	,29714947	,120822969545	,2768489487	,2097886011566839	,0	,2200.00	,001	
00071165200829828469462	,c14zl5r0vubmt	,00020003	,00020003	,331140542958	,553414	,00	,01	,01	,1968.00	,1968.00	,20221001	,203124	,20221001	,031	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20221001	,1001203124	,02	,0	,00000000	,15065159	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,1968.00	,001	,1968.00	,293.92	,08846018	,234838230118	,2384617513	,0587927629018107	,0	,1968.00	,001	
00098356191120972015054	,c14zl5r0vubmt	,00020003	,00020003	,805729273241	,287128	,00	,01	,01	,4700.00	,4700.00	,20221021	,070731	,20221021	,072	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20221021	,1021070731	,02	,0	,00000000	,71639118	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4700.00	,001	,4700.00	,701.93	,50045014	,801509978064	,1008713883	,6880720627961607	,0	,4700.00	,001	
00055141688061674417202	,c14zl5r0vubmt	,00020003	,00020003	,541387872325	,939278	,00	,01	,01	,2800.00	,2800.00	,20221110	,214542	,20221110	,070	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0003	,000	,82	,06	,20221110	,1110214542	,02	,0	,00000000	,28818598	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2800.00	,001	,2800.00	,418.17	,14195947	,195351244252	,0587871996	,2355980004078875	,0	,2800.00	,001	
00094008515786534953791	,c14zl5r0vubmt	,00020003	,00020003	,602485856850	,723478	,00	,01	,01	,4100.00	,4100.00	,20221130	,191206	,20221130	,132	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20221130	,1130191206	,02	,0	,00000000	,60068487	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,4100.00	,001	,4100.00	,612.32	,56665761	,394877380886	,5942641873	,5388990323885233	,0	,4100.00	,001	
