
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
018312848266443	,00020000	,xdy	,xdy	,5812	,0000000000	,20180621	,001	,0	,0	,0	,1	,9900020001	,1	,0001	,1	,07	,k23moj0lwar8h	,44201240	,928524967033141473	,7484595703	,239399478714168	,WUXGDQVAQUXYM73JKSBYC6KRG7MHMJIH5W1OBTS7SJAB93O2UFVC3R21LEL5Z8TW	,9866444879	,304586440897	,6128142519	,0919796144	,22208685	,1	
018312848266443	,0000000000	,xdy	,xdy	,5812	,0000000000	,20180621	,001	,0	,0	,0	,1	,9900020001	,1	,0001	,1	,07	,k23moj0lwar8h	,44201240	,928524967033141473	,7484595703	,239399478714168	,WUXGDQVAQUXYM73JKSBYC6KRG7MHMJIH5W1OBTS7SJAB93O2UFVC3R21LEL5Z8TW	,9866444879	,304586440897	,6128142519	,0919796144	,22208685	,1	
018312848266443	,0000000000	,xdy	,xdy	,5812	,0000000000	,20180621	,001	,0	,0	,0	,1	,9900020001	,1	,0001	,1	,07	,k23moj0lwar8h	,44201240	,928524967033141473	,7484595703	,239399478714168	,WUXGDQVAQUXYM73JKSBYC6KRG7MHMJIH5W1OBTS7SJAB93O2UFVC3R21LEL5Z8TW	,9866444879	,304586440897	,6128142519	,0919796144	,22208685	,1	
374903595195590	,00030002	,fvt	,fvt	,5812	,0000000000	,20150928	,001	,0	,0	,0	,0	,9900060001	,0	,0001	,1	,07	,tpx4bu0vkc7g2	,59244351	,253363927176422178	,8758114698	,832341905421132	,HM2Q1FX2VC4C7Y4F5W3P8ZOSUXHCBN68EOBW5EGNSKR57PRVR3G6JWEI4DZ1VTIM	,9191206439	,081665668477	,8643624664	,9386664431	,84549143	,1	
374903595195590	,0000000000	,fvt	,fvt	,5812	,0000000000	,20150928	,001	,0	,0	,0	,0	,9900060001	,0	,0001	,1	,07	,tpx4bu0vkc7g2	,59244351	,253363927176422178	,8758114698	,832341905421132	,HM2Q1FX2VC4C7Y4F5W3P8ZOSUXHCBN68EOBW5EGNSKR57PRVR3G6JWEI4DZ1VTIM	,9191206439	,081665668477	,8643624664	,9386664431	,84549143	,1	
374903595195590	,0000000000	,fvt	,fvt	,5812	,0000000000	,20150928	,001	,0	,0	,0	,0	,9900060001	,0	,0001	,1	,07	,tpx4bu0vkc7g2	,59244351	,253363927176422178	,8758114698	,832341905421132	,HM2Q1FX2VC4C7Y4F5W3P8ZOSUXHCBN68EOBW5EGNSKR57PRVR3G6JWEI4DZ1VTIM	,9191206439	,081665668477	,8643624664	,9386664431	,84549143	,1	
456758831639167	,00020003	,eio	,eio	,7011	,0000000000	,20180513	,001	,0	,0	,0	,0	,9900010002	,0	,0001	,1	,07	,yd2jr9bvixl73	,70395961	,557506030434760368	,7208332502	,749130605750732	,OI3QGWKK3DZM11CRYX5TB6SWJJ9CMA4C25W8RU97BHJIU7NYA52QDNOGPS1XRA2X	,2894208663	,201503915645	,6473284422	,9853785842	,91493190	,1	
456758831639167	,0000000000	,eio	,eio	,7011	,0000000000	,20180513	,001	,0	,0	,0	,0	,9900010002	,0	,0001	,1	,07	,yd2jr9bvixl73	,70395961	,557506030434760368	,7208332502	,749130605750732	,OI3QGWKK3DZM11CRYX5TB6SWJJ9CMA4C25W8RU97BHJIU7NYA52QDNOGPS1XRA2X	,2894208663	,201503915645	,6473284422	,9853785842	,91493190	,1	
456758831639167	,0000000000	,eio	,eio	,7011	,0000000000	,20180513	,001	,0	,0	,0	,0	,9900010002	,0	,0001	,1	,07	,yd2jr9bvixl73	,70395961	,557506030434760368	,7208332502	,749130605750732	,OI3QGWKK3DZM11CRYX5TB6SWJJ9CMA4C25W8RU97BHJIU7NYA52QDNOGPS1XRA2X	,2894208663	,201503915645	,6473284422	,9853785842	,91493190	,1	
516655105111158	,00020000	,lfr	,lfr	,7011	,0000000000	,20150914	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,thw3msk695dpe	,47046793	,049399910087949190	,4778661292	,508362943950985	,GQHU5ZYKKD2O8G9S1FUIZJF8VN4XWE3M2JOSMSXCN16699WLZT77EVQPTLRBNI14	,7838813131	,396177142183	,0469567168	,6196425710	,81330517	,1	
