
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
067dqk9aromji	,03	,00030003	,574212860653	,0000	,0	,01	,1	,256046	,1001000743	,0	,83898036	,00030003	,4	,030000000	,0	,244.00	,01	,000743	,00030003	,0	,000300032560461001000743000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,061	,5587	,01	,01	,e3ksdcyp5xigh	,1	,1	
067dqk9aromji	,03	,00030003	,789707078465	,0000	,0	,01	,1	,820130	,1001000753	,0	,21923251	,00030003	,4	,030000000	,0	,273.00	,01	,000753	,00030003	,0	,000300038201301001000753000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,111	,4391	,01	,01	,gjmfo8p6hit13	,1	,1	
lxk5whpf07tqn	,03	,00030003	,432419474655	,0000	,0	,01	,1	,717453	,1001000852	,0	,17117651	,00030003	,4	,030000000	,0	,438.00	,01	,000852	,00030003	,0	,000300037174531001000852000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,060	,1316	,01	,00	,lui6w1xnomre2	,1	,1	
gjpnrz5o1qe3f	,01	,00030001	,566402593620	,0000	,0	,01	,1	,083553	,1001001741	,0	,47995818	,00030001	,4	,010000000	,0	,18.43	,01	,001741	,00030001	,0	,000300010835531001001741000030001	,20221001	,00030001	,716539165168778	,01	,00	,01	,00000000	,7829	,84715794	,"qtyMovies,TV_shows,Music(Low)	",062	,7956	,01	,01	,6yo2tnfi7vsu9	,1	,1	
2rl6cdh85enqv	,03	,00010000	,305007263097	,0000	,0	,01	,1	,469297	,1001001954	,0	,84478788	,00010000	,4	,030000000	,0	,92.00	,01	,001954	,00010000	,0	,000100004692971001001954000010000	,20221001	,00010000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,111	,0663	,01	,01	,zademc4t7531w	,1	,1	
gsrzmj87x54q1	,01	,00030003	,604329044801	,0000	,0	,01	,1	,609298	,1001003641	,0	,58764199	,00030003	,4	,010000000	,0	,250.21	,01	,003641	,00030003	,0	,000300036092981001003641000030003	,20221001	,00030003	,721992208296915	,02	,00	,01	,00000000	,7011	,86035035	,hetRegular(Low)	,112	,9444	,01	,01	,jdi21unelyqs3	,1	,1	
97cs5xutvr2pg	,03	,00010002	,518138932101	,0000	,0	,01	,1	,317531	,1001004526	,0	,37966291	,00010002	,4	,030000000	,0	,34.00	,01	,004526	,00010002	,0	,000100023175311001004526000010002	,20221001	,00010002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,130	,3845	,01	,01	,k9uhp5ax1tl60	,1	,1	
fqrh73v0j1yoa	,03	,00030003	,758953807614	,0000	,0	,01	,1	,093033	,1001004834	,0	,62509659	,00030003	,4	,030000000	,0	,408.00	,01	,004834	,00030003	,0	,000300030930331001004834000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,040	,4675	,01	,00	,8erdwgy9bi7nl	,1	,1	
97cs5xutvr2pg	,03	,00010002	,976978029629	,0000	,0	,01	,1	,147634	,1001010159	,0	,57623368	,00010002	,4	,030000000	,0	,537.00	,01	,010159	,00010002	,0	,000100021476341001010159000010002	,20221001	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,030	,5275	,01	,01	,i34pv8hmdw1jc	,1	,1	
ctlxv92fkbeua	,03	,00030002	,279392609295	,0000	,0	,01	,1	,593968	,1001010841	,0	,27834488	,00030002	,4	,030000000	,0	,558.00	,01	,010841	,00030002	,0	,000300025939681001010841000030002	,20221001	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,011	,0716	,01	,01	,klue0qoxdzisv	,1	,1	
udslpognv3x2b	,01	,00030001	,843334547642	,0000	,0	,01	,1	,212149	,1001011304	,0	,64215375	,00030001	,4	,010000000	,0	,17.25	,01	,011304	,00030001	,0	,000300012121491001011304000030001	,20221001	,00030001	,716539165168778	,01	,00	,01	,00000000	,7829	,84715794	,"qtyMovies,TV_shows,Music(Low)	",041	,2273	,01	,01	,6yo2tnfi7vsu9	,1	,1	
