
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00020204863476418173419	,3b76qwlmr8gc1	,00010003	,00010003	,094249747388	,293151	,00	,01	,01	,29.00	,29.00	,20221001	,035659	,20221001	,150	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001035659	,01	,0	,00000000	,04111200	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,29.00	,001	,29.00	,4.33	,79028716	,955813760820	,7688499302	,3425283445154939	,0	,29.00	,001	
00023410436644574395402	,3b76qwlmr8gc1	,00010003	,00010003	,490744041555	,355108	,00	,01	,01	,64.00	,64.00	,20221001	,233413	,20221001	,020	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001233413	,01	,0	,00000000	,49268080	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,64.00	,001	,64.00	,9.56	,02120921	,229804772878	,8855154871	,4052063114516056	,0	,64.00	,001	
00020169957636960088899	,3b76qwlmr8gc1	,00010003	,00010003	,957253388840	,415168	,00	,01	,01	,15.00	,15.00	,20221001	,054120	,20221001	,112	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001054120	,01	,0	,00000000	,01529196	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,15.00	,001	,15.00	,2.24	,14290025	,564532448689	,9541674690	,1540668850300301	,0	,15.00	,001	
00012112843469599768689	,3b76qwlmr8gc1	,00010003	,00010003	,116535917957	,127046	,00	,01	,01	,39.00	,39.00	,20221001	,232424	,20221001	,062	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001232424	,01	,0	,00000000	,72786871	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,39.00	,001	,39.00	,5.82	,48374382	,258723449236	,7838840490	,3552538608669816	,0	,39.00	,001	
00045925897453879478266	,3b76qwlmr8gc1	,00010003	,00010003	,857561032052	,692222	,00	,01	,01	,68.00	,68.00	,20221001	,223848	,20221001	,041	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001223848	,01	,0	,00000000	,76408449	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,68.00	,001	,68.00	,10.16	,95537197	,214534671121	,0994636341	,8009797004733952	,0	,68.00	,001	
00039535449608547692041	,3b76qwlmr8gc1	,00010003	,00010003	,274265707463	,875116	,00	,01	,01	,37.00	,37.00	,20221001	,234341	,20221001	,130	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001234341	,01	,0	,00000000	,13503553	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,37.00	,001	,37.00	,5.53	,02451973	,919976691782	,0238155091	,0983282604733376	,0	,37.00	,001	
00026991397423711603864	,3b76qwlmr8gc1	,00010003	,00010003	,448009938842	,539094	,00	,01	,01	,38.00	,38.00	,20221001	,040642	,20221001	,021	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001040642	,01	,0	,00000000	,61543131	,2024-11-15 16:14:49	,2024-11-15 16:14:49	,0	,001	,38.00	,001	,38.00	,5.68	,82291489	,868167097487	,8319818651	,2837541312541761	,0	,38.00	,001	
00023757995583223718818	,3b76qwlmr8gc1	,00010003	,00010003	,423098855874	,168223	,00	,01	,01	,17.00	,17.00	,20221001	,153418	,20221001	,132	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001153418	,01	,0	,00000000	,21090372	,2024-11-15 16:14:50	,2024-11-15 16:14:50	,0	,001	,17.00	,001	,17.00	,2.54	,43093817	,234617174365	,9522315736	,4713299666420164	,0	,17.00	,001	
00037474952102948192802	,3b76qwlmr8gc1	,00010003	,00010003	,849638257401	,582816	,00	,01	,01	,28.00	,28.00	,20221001	,231056	,20221001	,120	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001231056	,01	,0	,00000000	,96471768	,2024-11-15 16:14:50	,2024-11-15 16:14:50	,0	,001	,28.00	,001	,28.00	,4.18	,15893659	,387591940176	,2873775303	,5446284120792547	,0	,28.00	,001	
00068820576507709298447	,3b76qwlmr8gc1	,00010003	,00010003	,037329478982	,083529	,00	,01	,01	,12.00	,12.00	,20221001	,164203	,20221001	,120	,87390429	,969026901499534	,bmc–°≥‘µÍ°¢ÃØ∑∑(µÕ)	,5814	,0000	,0003	,000	,85	,06	,20221001	,1001164203	,01	,0	,00000000	,59161422	,2024-11-15 16:14:50	,2024-11-15 16:14:50	,0	,001	,12.00	,001	,12.00	,1.79	,48074133	,050522530664	,0557327571	,4613001435767720	,0	,12.00	,001	
00063295905690182991090	,sf0gajv6tzr7c	,00030002	,00030002	,041546350410	,270274	,00	,03	,01	,347.00	,347.00	,20221004	,012505	,20221004	,100	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,85	,06	,20221004	,1004012505	,01	,0	,00000000	,92520059	,2024-11-15 16:14:50	,2024-11-15 16:14:50	,0	,001	,347.00	,001	,347.00	,51.82	,70105273	,129313585611	,9916026015	,1250333195031962	,0	,347.00	,001	
00046004964255357971716	,3b76qwlmr8gc1	,00010003	,00010003	,482191154144	,354718	,00	,01	,01	,927.00	,927.00	,20221001	,031216	,20221001	,072	,26282762	,886931081133005	,cgi∆’Õ®(µÕ)	,7011	,0000	,0003	,000	,85	,06	,20221001	,1001031216	,01	,0	,00000000	,04929328	,2024-11-15 16:14:50	,2024-11-15 16:14:50	,0	,001	,927.00	,001	,927.00	,138.44	,82508545	,889122988012	,8174537183	,7130977070195406	,0	,927.00	,001	
00007509460551512734789	,3b76qwlmr8gc1	,00010003	,00010003	,341608871593	,687363	,00	,01	,01	,736.00	,736.00	,20221001	,000340	,20221001	,022	,26282762	,886931081133005	,cgi∆’Õ®(µÕ)	,7011	,0000	,0003	,000	,85	,06	,20221001	,1001000340	,01	,0	,00000000	,45934731	,2024-11-15 16:14:50	,2024-11-15 16:14:50	,0	,001	,736.00	,001	,736.00	,109.92	,26679225	,181328811883	,2600910808	,4389449589653102	,0	,736.00	,001	
