
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
969026901499534	,00010002	,bmc	,bmc	,5814	,0000000000	,20160920	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,qz863w0yfxi2j	,34717037	,030107756900655452	,0882978363	,959658894580669	,W5CL8S1OPMQD9IV9EBMZ7GNIDMUNE3WJHSKDXRC7VT46T91YFFZHKIL5A4O836Q5	,7792394206	,061817287450	,8192656803	,2079132750	,29389001	,1	
969026901499534	,0000000000	,bmc	,bmc	,5814	,0000000000	,20160920	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,qz863w0yfxi2j	,34717037	,030107756900655452	,0882978363	,959658894580669	,W5CL8S1OPMQD9IV9EBMZ7GNIDMUNE3WJHSKDXRC7VT46T91YFFZHKIL5A4O836Q5	,7792394206	,061817287450	,8192656803	,2079132750	,29389001	,1	
969026901499534	,0000000000	,bmc	,bmc	,5814	,0000000000	,20160920	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,qz863w0yfxi2j	,34717037	,030107756900655452	,0882978363	,959658894580669	,W5CL8S1OPMQD9IV9EBMZ7GNIDMUNE3WJHSKDXRC7VT46T91YFFZHKIL5A4O836Q5	,7792394206	,061817287450	,8192656803	,2079132750	,29389001	,1	
886931081133005	,00030002	,cgi	,cgi	,7011	,0000000000	,20170216	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,7hyrf9e4xw0k1	,03507267	,768784698223590316	,1444061158	,488541203498885	,VS3UT281Z9NKAR5Q5MP3ZTH36JIOB7X8RS7MCAAEPIUULZTN6HXCF4W8PDH46B9F	,2154775412	,056249960844	,8863607673	,4034067370	,90549370	,1	
886931081133005	,0000000000	,cgi	,cgi	,7011	,0000000000	,20170216	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,7hyrf9e4xw0k1	,03507267	,768784698223590316	,1444061158	,488541203498885	,VS3UT281Z9NKAR5Q5MP3ZTH36JIOB7X8RS7MCAAEPIUULZTN6HXCF4W8PDH46B9F	,2154775412	,056249960844	,8863607673	,4034067370	,90549370	,1	
886931081133005	,0000000000	,cgi	,cgi	,7011	,0000000000	,20170216	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,7hyrf9e4xw0k1	,03507267	,768784698223590316	,1444061158	,488541203498885	,VS3UT281Z9NKAR5Q5MP3ZTH36JIOB7X8RS7MCAAEPIUULZTN6HXCF4W8PDH46B9F	,2154775412	,056249960844	,8863607673	,4034067370	,90549370	,1	
349317290739423	,00030002	,bku	,bku	,5814	,0000000000	,20170113	,001	,0	,0	,0	,1	,9900030003	,0	,0001	,1	,07	,sf0gajv6tzr7c	,98658798	,094599582905386087	,4198735857	,706639368610106	,JPRH6XU2COIJFE3YVL5HK5F8CL39HZGN48J8X7TIUP67GS94DMVWKMIASBYO2NET	,2558454438	,432570277302	,6018890628	,9127276675	,92776877	,1	
349317290739423	,0000000000	,bku	,bku	,5814	,0000000000	,20170113	,001	,0	,0	,0	,1	,9900030003	,0	,0001	,1	,07	,sf0gajv6tzr7c	,98658798	,094599582905386087	,4198735857	,706639368610106	,JPRH6XU2COIJFE3YVL5HK5F8CL39HZGN48J8X7TIUP67GS94DMVWKMIASBYO2NET	,2558454438	,432570277302	,6018890628	,9127276675	,92776877	,1	
349317290739423	,0000000000	,bku	,bku	,5814	,0000000000	,20170113	,001	,0	,0	,0	,1	,9900030003	,0	,0001	,1	,07	,sf0gajv6tzr7c	,98658798	,094599582905386087	,4198735857	,706639368610106	,JPRH6XU2COIJFE3YVL5HK5F8CL39HZGN48J8X7TIUP67GS94DMVWKMIASBYO2NET	,2558454438	,432570277302	,6018890628	,9127276675	,92776877	,1	
646877135956590	,00020000	,jez	,jez	,7011	,0000000000	,20190831	,001	,0	,0	,0	,0	,9900050003	,0	,0001	,1	,07	,ws8chd6ab2rlo	,59113933	,908988638281826124	,2238129485	,328749951558672	,7VG9LZXPY5NSMEQB5UDFDYYZEAXUQCM998PDOTB4524TJ2K8G1KOG3IFHJ3SOASC	,7113519090	,238183187276	,2194733687	,0373445121	,89959281	,1	
