
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
3b76qwlmr8gc1	,01	,00010003	,341608871593	,0000	,0	,01	,1	,687363	,1001000340	,0	,57072363	,00010003	,4	,010000000	,0	,736.00	,01	,000340	,00010003	,0	,000100036873631001000340000010003	,20221001	,00010003	,886931081133005	,01	,00	,01	,00000000	,7011	,26282762	,cgi普通(低)	,022	,7321	,01	,01	,7hyrf9e4xw0k1	,1	,1	
pbgycq6fj9dmv	,03	,00030000	,847740400031	,0000	,0	,01	,1	,205943	,1001001016	,0	,35414629	,00030000	,4	,030000000	,0	,40.00	,01	,001016	,00030000	,0	,000300002059431001001016000030000	,20221001	,00030000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,150	,1818	,01	,04	,a7xlt9wezys1c	,1	,1	
2d6g0wkjnc85v	,03	,00010000	,897312804574	,0000	,0	,01	,1	,037392	,1001001112	,0	,64216331	,00010000	,4	,030000000	,0	,162.00	,01	,001112	,00010000	,0	,000100000373921001001112000010000	,20221001	,00010000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,120	,0313	,01	,00	,nw5xszy4i3dcf	,1	,1	
w845y0fn7szol	,03	,00010000	,363276920837	,0000	,0	,01	,1	,303024	,1001001641	,0	,64155366	,00010000	,4	,030000000	,0	,326.00	,01	,001641	,00010000	,0	,000100003030241001001641000010000	,20221001	,00010000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,042	,4009	,01	,01	,vdcfq8pngelt1	,1	,1	
nw5xszy4i3dcf	,03	,00020002	,959190409687	,0000	,0	,01	,1	,581244	,1001003656	,0	,96815645	,00020002	,4	,030000000	,0	,173.00	,01	,003656	,00020002	,0	,000200025812441001003656000020002	,20221001	,00020002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,120	,6522	,01	,01	,yz9xepjim3n8t	,1	,1	
pbiaolc214g5d	,03	,00030002	,707784454623	,0000	,0	,01	,1	,293006	,1001004438	,0	,68906470	,00030002	,4	,030000000	,0	,539.00	,01	,004438	,00030002	,0	,000300022930061001004438000030002	,20221001	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,122	,3965	,01	,00	,ctyrs97g30nku	,1	,1	
e38m1dp2wacsu	,01	,00030002	,629249721820	,0000	,0	,01	,1	,843938	,1001004823	,0	,57596312	,00030002	,4	,010000000	,0	,324.02	,01	,004823	,00030002	,0	,000300028439381001004823000030002	,20221001	,00030002	,886931081133005	,01	,00	,01	,00000000	,7011	,26282762	,cgi普通(低)	,140	,0849	,01	,06	,7hyrf9e4xw0k1	,1	,1	
pwadyo5grmj6h	,03	,00020002	,656781734886	,0000	,0	,01	,1	,647955	,1001005022	,0	,83987180	,00020002	,4	,030000000	,0	,323.00	,01	,005022	,00020002	,0	,000200026479551001005022000020002	,20221001	,00020002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,050	,1482	,01	,00	,5m7g2vjnxqyet	,1	,1	
if3vxag7608zq	,03	,00020003	,444177701962	,0000	,0	,01	,1	,584271	,1001005517	,0	,89216857	,00020003	,4	,030000000	,0	,393.00	,01	,005517	,00020003	,0	,000200035842711001005517000020003	,20221001	,00020003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,132	,3033	,01	,01	,o780f19prbl6d	,1	,1	
rklmwayf6xque	,03	,00020001	,077684976224	,0000	,0	,01	,1	,178290	,1001005532	,0	,95687853	,00020001	,4	,030000000	,0	,89.00	,01	,005532	,00020001	,0	,000200011782901001005532000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,070	,8287	,01	,01	,k1dt7a8orwzq0	,1	,1	
wb6hg8p0eqx17	,03	,00030001	,559298442271	,0000	,0	,01	,1	,857562	,1001005903	,0	,85490646	,00030001	,4	,030000000	,0	,107.00	,01	,005903	,00030001	,0	,000300018575621001005903000030001	,20221001	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,151	,1792	,01	,06	,pbiaolc214g5d	,1	,1	
3b76qwlmr8gc1	,01	,00010003	,350029289855	,0000	,0	,01	,1	,782698	,1001010111	,0	,01869744	,00010003	,4	,010000000	,0	,905.00	,01	,010111	,00010003	,0	,000100037826981001010111000010003	,20221001	,00010003	,886931081133005	,01	,00	,01	,00000000	,7011	,26282762	,cgi普通(低)	,110	,3991	,01	,01	,7hyrf9e4xw0k1	,1	,1	
pbiaolc214g5d	,03	,00030002	,418633584610	,0000	,0	,01	,1	,989829	,1001010205	,0	,50477403	,00030002	,4	,030000000	,0	,230.00	,01	,010205	,00030002	,0	,000300029898291001010205000030002	,20221001	,00030002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,001	,5594	,01	,00	,1z70kvq4bfu3w	,1	,1	
pwadyo5grmj6h	,03	,00020002	,994865101364	,0000	,0	,01	,1	,808462	,1001010524	,0	,04459709	,00020002	,4	,030000000	,0	,62.00	,01	,010524	,00020002	,0	,000200028084621001010524000020002	,20221001	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,071	,5248	,01	,00	,39h1xed05yun8	,1	,1	
yw8dza53hck1v	,03	,00020000	,031350645800	,0000	,0	,01	,1	,288993	,1001010745	,0	,38682997	,00020000	,4	,030000000	,0	,485.00	,01	,010745	,00020000	,0	,000200002889931001010745000020000	,20221001	,00020000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,102	,2010	,01	,01	,m3vn95ho2rp6s	,1	,1	
6ghwd83zxauqb	,03	,00020001	,672587457083	,0000	,0	,01	,1	,454643	,1001011551	,0	,35192397	,00020001	,4	,030000000	,0	,145.00	,01	,011551	,00020001	,0	,000200014546431001011551000020001	,20221001	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,072	,5590	,01	,01	,3zxkj7mawpebt	,1	,1	
37rvzke0qnoay	,03	,00020000	,543726640079	,0000	,0	,01	,1	,418435	,1001020347	,0	,40899303	,00020000	,4	,030000000	,0	,369.00	,01	,020347	,00020000	,0	,000200004184351001020347000020000	,20221001	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,070	,9969	,01	,01	,wuyab12ir83kf	,1	,1	
if3vxag7608zq	,03	,00020003	,590129077879	,0000	,0	,01	,1	,689264	,1001022020	,0	,20009560	,00020003	,4	,030000000	,0	,431.00	,01	,022020	,00020003	,0	,000200036892641001022020000020003	,20221001	,00020003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,020	,6743	,01	,01	,pwadyo5grmj6h	,1	,1	
rklmwayf6xque	,03	,00020001	,339036390268	,0000	,0	,01	,1	,621501	,1001022811	,0	,98732701	,00020001	,4	,030000000	,0	,356.00	,01	,022811	,00020001	,0	,000200016215011001022811000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,012	,7041	,01	,01	,k1dt7a8orwzq0	,1	,1	
f4l7knmp5dx81	,01	,00010001	,686872070055	,0000	,0	,01	,1	,224832	,1001022948	,0	,02181751	,00010001	,4	,010000000	,0	,703.46	,01	,022948	,00010001	,0	,000100012248321001022948000010001	,20221001	,00010001	,397232218005883	,01	,00	,01	,00000000	,7011	,68272256	,cyb四星(低)	,142	,1535	,01	,01	,35dps4txio0k9	,1	,1	
ksrq6zvnf2lux	,01	,00020000	,172807440277	,0000	,0	,01	,1	,439876	,1001025606	,0	,99234324	,00020000	,4	,010000000	,0	,603.00	,01	,025606	,00020000	,0	,000200004398761001025606000020000	,20221001	,00020000	,886931081133005	,01	,00	,01	,00000000	,7011	,26282762	,cgi普通(低)	,040	,9526	,01	,01	,7hyrf9e4xw0k1	,1	,1	
pwadyo5grmj6h	,03	,00020002	,699490266191	,0000	,0	,01	,1	,310980	,1001025638	,0	,48875452	,00020002	,4	,030000000	,0	,337.00	,01	,025638	,00020002	,0	,000200023109801001025638000020002	,20221001	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,032	,0623	,01	,00	,39h1xed05yun8	,1	,1	
xgt3aombyr2h0	,01	,00020001	,256407125364	,0000	,0	,01	,1	,073463	,1001025937	,0	,22149432	,00020001	,4	,010000000	,0	,712.51	,01	,025937	,00020001	,0	,000200010734631001025937000020001	,20221001	,00020001	,242390198458484	,01	,00	,01	,00000000	,7011	,11061981	,cet四星(低)	,030	,9396	,01	,01	,zub8etavo6cd2	,1	,1	
zjbhanxycwlo4	,03	,00030002	,091860875068	,0000	,0	,01	,1	,835719	,1001030636	,0	,19304350	,00030002	,4	,030000000	,0	,528.00	,01	,030636	,00030002	,0	,000300028357191001030636000030002	,20221001	,00030002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,102	,3970	,01	,01	,gzbrud4sti1xy	,1	,1	
3b76qwlmr8gc1	,01	,00010003	,482191154144	,0000	,0	,01	,1	,354718	,1001031216	,0	,21727818	,00010003	,4	,010000000	,0	,927.00	,01	,031216	,00010003	,0	,000100033547181001031216000010003	,20221001	,00010003	,886931081133005	,01	,00	,01	,00000000	,7011	,26282762	,cgi普通(低)	,072	,9431	,01	,01	,7hyrf9e4xw0k1	,1	,1	
n9m7r84bzjkq5	,03	,00020000	,685267643115	,0000	,0	,01	,1	,618321	,1001031514	,0	,15784147	,00020000	,4	,030000000	,0	,363.00	,01	,031514	,00020000	,0	,000200006183211001031514000020000	,20221001	,00020000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,061	,2365	,01	,03	,w845y0fn7szol	,1	,1	
1z70kvq4bfu3w	,03	,00010003	,495323046839	,0000	,0	,01	,1	,726349	,1001032351	,0	,20024162	,00010003	,4	,030000000	,0	,417.00	,01	,032351	,00010003	,0	,000100037263491001032351000010003	,20221001	,00010003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,151	,1321	,01	,01	,ohuajcr1pnyk6	,1	,1	
