
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00097499390009979760918	,vkj1igl8pcn09	,00010003	,00010003	,780621849033	,931013	,00	,03	,01	,82.00	,82.00	,20221001	,203143	,20221001	,042	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,81	,06	,20221001	,1001203143	,01	,0	,00000000	,95854120	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,82.00	,001	,82.00	,12.25	,64267931	,974371157995	,8332345572	,9028078234568376	,0	,82.00	,001	
00017967596962144987698	,vkj1igl8pcn09	,00010001	,00010001	,343616924191	,316926	,00	,03	,07	,99.00	,99.00	,20221001	,122115	,20221001	,102	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,81	,06	,20221001	,1001122115	,01	,0	,00000000	,08746576	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,99.00	,001	,99.00	,14.79	,02203435	,376732956421	,8527769661	,1049678469575641	,0	,99.00	,001	
00023080237334859613744	,0qfd2ipn43ezg	,00010002	,00010002	,257056526560	,885832	,00	,03	,03	,135.00	,135.00	,20221001	,164431	,20221001	,131	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,81	,06	,20221001	,1001164431	,01	,0	,00000000	,80846367	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,135.00	,001	,135.00	,20.16	,67434197	,238978620697	,4495999451	,1233330369823787	,0	,135.00	,001	
00081554595394648479759	,0qfd2ipn43ezg	,00010001	,00010001	,045352326967	,414767	,00	,03	,03	,117.00	,117.00	,20221001	,133054	,20221001	,012	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,81	,06	,20221001	,1001133054	,01	,0	,00000000	,75490763	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,117.00	,001	,117.00	,17.47	,79127486	,631430147121	,9986268758	,1885490509867162	,0	,117.00	,001	
00059996166903300004849	,0qfd2ipn43ezg	,00010001	,00010001	,203308239560	,396895	,00	,03	,01	,127.00	,127.00	,20221001	,182620	,20221001	,061	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,81	,06	,20221001	,1001182620	,01	,0	,00000000	,50199137	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,127.00	,001	,127.00	,18.97	,60644616	,808522043669	,2944319727	,7541449226201495	,0	,127.00	,001	
00004322362412044320204	,0qfd2ipn43ezg	,00030000	,00030000	,998040553744	,989970	,00	,03	,07	,141.00	,141.00	,20221001	,195746	,20221001	,011	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,81	,06	,20221001	,1001195746	,01	,0	,00000000	,08701936	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,141.00	,001	,141.00	,21.06	,66916835	,730931379069	,9842838008	,0466352930655474	,0	,141.00	,001	
00063865766927846469503	,0qfd2ipn43ezg	,00030003	,00030003	,207591874907	,570836	,00	,03	,01	,112.00	,112.00	,20221001	,135737	,20221001	,150	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,81	,06	,20221001	,1001135737	,01	,0	,00000000	,01074587	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,112.00	,001	,112.00	,16.73	,06642801	,543055937625	,1266759006	,4756873775291998	,0	,112.00	,001	
00089997865142748619501	,0qfd2ipn43ezg	,00030001	,00030001	,175658401493	,464509	,00	,03	,03	,113.00	,113.00	,20221001	,120011	,20221001	,141	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,81	,06	,20221001	,1001120011	,01	,0	,00000000	,43141890	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,113.00	,001	,113.00	,16.88	,41806678	,113846803147	,1373477377	,2491602059955183	,0	,113.00	,001	
00071300462825256815656	,0qfd2ipn43ezg	,00020002	,00020002	,559883742981	,490727	,00	,03	,03	,168.00	,168.00	,20221001	,141522	,20221001	,052	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,81	,06	,20221001	,1001141522	,01	,0	,00000000	,96080944	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,168.00	,001	,168.00	,25.09	,25307681	,050421923487	,3807271933	,4670619896265852	,0	,168.00	,001	
00024276366183475833349	,0qfd2ipn43ezg	,00020000	,00020000	,276024349380	,612067	,00	,03	,07	,150.00	,150.00	,20221001	,130613	,20221001	,030	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,81	,06	,20221001	,1001130613	,01	,0	,00000000	,65264317	,2024-11-15 16:16:48	,2024-11-15 16:16:48	,0	,001	,150.00	,001	,150.00	,22.40	,33153337	,600488998305	,7533435011	,4339100907525168	,0	,150.00	,001	
