
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
598405417835537	,00020003	,jhe	,jhe	,8062	,0000000000	,20170720	,001	,0	,0	,0	,1	,9900040001	,1	,0001	,1	,07	,0vw4sygbmljz9	,63325052	,135719147503533517	,9960764894	,067447600350276	,KHCTUSZ4869YBXNW1ISDAJW12F99GMQM86N7T1YJ7Z6V2P7RUDE4BLO3GDQXC52C	,3311224781	,193734530433	,5823168238	,3756710491	,98422862	,1	
598405417835537	,0000000000	,jhe	,jhe	,8062	,0000000000	,20170720	,001	,0	,0	,0	,1	,9900040001	,1	,0001	,1	,07	,0vw4sygbmljz9	,63325052	,135719147503533517	,9960764894	,067447600350276	,KHCTUSZ4869YBXNW1ISDAJW12F99GMQM86N7T1YJ7Z6V2P7RUDE4BLO3GDQXC52C	,3311224781	,193734530433	,5823168238	,3756710491	,98422862	,1	
528235152726016	,00030000	,nqa	,nqa	,5811	,0000000000	,20180701	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,27qwvs13b5m0p	,12057534	,055583191581388802	,5740664462	,857911380140902	,KVR5W39W5ENYFBVGZB2PCFMQX2394LP64HUZEQZHSEY27GJICNJ1TUG49FJYB3W6	,8152709375	,226506828401	,9971395266	,0977525696	,84671288	,1	
528235152726016	,0000000000	,nqa	,nqa	,5811	,0000000000	,20180701	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,27qwvs13b5m0p	,12057534	,055583191581388802	,5740664462	,857911380140902	,KVR5W39W5ENYFBVGZB2PCFMQX2394LP64HUZEQZHSEY27GJICNJ1TUG49FJYB3W6	,8152709375	,226506828401	,9971395266	,0977525696	,84671288	,1	
528235152726016	,0000000000	,nqa	,nqa	,5811	,0000000000	,20180701	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,27qwvs13b5m0p	,12057534	,055583191581388802	,5740664462	,857911380140902	,KVR5W39W5ENYFBVGZB2PCFMQX2394LP64HUZEQZHSEY27GJICNJ1TUG49FJYB3W6	,8152709375	,226506828401	,9971395266	,0977525696	,84671288	,1	
501451256770349	,00020002	,gaq	,gaq	,5812	,0000000000	,20160720	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,9vodwunlqzmcf	,21239412	,104152778005678962	,0950344835	,248904767555739	,8LGZ6MR9HKDQJUP8AFPE73W72E8AYXNNG5X6E6DI1BTJO2VNCDSL9CAO7SQFB4MZ	,3133197323	,154829346295	,4227035576	,2417571106	,28675061	,1	
501451256770349	,0000000000	,gaq	,gaq	,5812	,0000000000	,20160720	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,9vodwunlqzmcf	,21239412	,104152778005678962	,0950344835	,248904767555739	,8LGZ6MR9HKDQJUP8AFPE73W72E8AYXNNG5X6E6DI1BTJO2VNCDSL9CAO7SQFB4MZ	,3133197323	,154829346295	,4227035576	,2417571106	,28675061	,1	
501451256770349	,0000000000	,gaq	,gaq	,5812	,0000000000	,20160720	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,9vodwunlqzmcf	,21239412	,104152778005678962	,0950344835	,248904767555739	,8LGZ6MR9HKDQJUP8AFPE73W72E8AYXNNG5X6E6DI1BTJO2VNCDSL9CAO7SQFB4MZ	,3133197323	,154829346295	,4227035576	,2417571106	,28675061	,1	
316872135459837	,00030003	,eja	,eja	,5511	,0000000000	,20160620	,001	,0	,0	,0	,0	,9900060003	,0	,0001	,1	,07	,r64w03z5tbijh	,56390427	,311302670911212345	,8475458231	,120263831327756	,NQDD7HR1FOF56G4FHG5TYIORXQWBVKR4CYAJ6K8E17J79ALW9U1TSBJ2IQ43H3D5	,4001402765	,440222681142	,5820642764	,4872381740	,25907686	,1	
281874567062933	,00030003	,olw	,olw	,5811	,0000000000	,20161018	,001	,0	,0	,0	,0	,9900010003	,1	,0001	,1	,07	,v4l5qo8g0hdpi	,74404605	,834024927088931482	,7214253038	,379165476423581	,X2J6DG8ZGNVKI7L671ATEWKFMNPR5ZBCM1HY9TQ4JC8OODWNSCAP4HI3ZATK3J5E	,8370683177	,053822254372	,0913859122	,6303391767	,14661551	,1	
281874567062933	,0000000000	,olw	,olw	,5811	,0000000000	,20161018	,001	,0	,0	,0	,0	,9900010003	,1	,0001	,1	,07	,v4l5qo8g0hdpi	,74404605	,834024927088931482	,7214253038	,379165476423581	,X2J6DG8ZGNVKI7L671ATEWKFMNPR5ZBCM1HY9TQ4JC8OODWNSCAP4HI3ZATK3J5E	,8370683177	,053822254372	,0913859122	,6303391767	,14661551	,1	
281874567062933	,0000000000	,olw	,olw	,5811	,0000000000	,20161018	,001	,0	,0	,0	,0	,9900010003	,1	,0001	,1	,07	,v4l5qo8g0hdpi	,74404605	,834024927088931482	,7214253038	,379165476423581	,X2J6DG8ZGNVKI7L671ATEWKFMNPR5ZBCM1HY9TQ4JC8OODWNSCAP4HI3ZATK3J5E	,8370683177	,053822254372	,0913859122	,6303391767	,14661551	,1	
633212939775083	,00030000	,niv	,niv	,7011	,0000000000	,20180628	,001	,0	,0	,0	,0	,9900020001	,1	,0001	,1	,07	,hjis0olcba23t	,24521531	,059959345983888234	,1878506073	,147646227372191	,IFQY23MG6G4BRAMQ17LOKXZ5C78YW46H6NBWKY5SE9FVFANZPTLJCXE389LV2BN2	,4883661866	,620733060715	,1716852391	,2443590928	,29494803	,1	
633212939775083	,0000000000	,niv	,niv	,7011	,0000000000	,20180628	,001	,0	,0	,0	,0	,9900020001	,1	,0001	,1	,07	,hjis0olcba23t	,24521531	,059959345983888234	,1878506073	,147646227372191	,IFQY23MG6G4BRAMQ17LOKXZ5C78YW46H6NBWKY5SE9FVFANZPTLJCXE389LV2BN2	,4883661866	,620733060715	,1716852391	,2443590928	,29494803	,1	
633212939775083	,0000000000	,niv	,niv	,7011	,0000000000	,20180628	,001	,0	,0	,0	,0	,9900020001	,1	,0001	,1	,07	,hjis0olcba23t	,24521531	,059959345983888234	,1878506073	,147646227372191	,IFQY23MG6G4BRAMQ17LOKXZ5C78YW46H6NBWKY5SE9FVFANZPTLJCXE389LV2BN2	,4883661866	,620733060715	,1716852391	,2443590928	,29494803	,1	
043195958692402	,00020000	,xrt	,xrt	,7011	,0000000000	,20191129	,001	,0	,0	,0	,0	,9900010003	,0	,0001	,1	,07	,nca9dsmvg3o5k	,83570782	,851539114716623444	,6837668610	,394188723220972	,C84OBOYHNNYUJQECG31QXIPZUMV7ZLSB986W3R4P5JSMEKD7Z2AO5GRKFIKSI4X8	,1151025713	,393474215920	,0358535002	,2804733170	,39412008	,1	
043195958692402	,0000000000	,xrt	,xrt	,7011	,0000000000	,20191129	,001	,0	,0	,0	,0	,9900010003	,0	,0001	,1	,07	,nca9dsmvg3o5k	,83570782	,851539114716623444	,6837668610	,394188723220972	,C84OBOYHNNYUJQECG31QXIPZUMV7ZLSB986W3R4P5JSMEKD7Z2AO5GRKFIKSI4X8	,1151025713	,393474215920	,0358535002	,2804733170	,39412008	,1	
043195958692402	,0000000000	,xrt	,xrt	,7011	,0000000000	,20191129	,001	,0	,0	,0	,0	,9900010003	,0	,0001	,1	,07	,nca9dsmvg3o5k	,83570782	,851539114716623444	,6837668610	,394188723220972	,C84OBOYHNNYUJQECG31QXIPZUMV7ZLSB986W3R4P5JSMEKD7Z2AO5GRKFIKSI4X8	,1151025713	,393474215920	,0358535002	,2804733170	,39412008	,1	
230848256837325	,00030001	,mfs	,mfs	,5021	,0000000000	,20201228	,001	,0	,0	,0	,0	,9900050001	,1	,0001	,1	,07	,21m8irw4ebofn	,82844009	,648304598389696157	,1714329092	,927528319244227	,36B9ODTTRUWYTFYZ1QRVCU31FNPDMA5X5HEE88KOG2XACQNQS46OS6I7U1E8JLBW	,8968898834	,012183408551	,0676655064	,9538500210	,26381002	,1	
230848256837325	,0000000000	,mfs	,mfs	,5021	,0000000000	,20201228	,001	,0	,0	,0	,0	,9900050001	,1	,0001	,1	,07	,21m8irw4ebofn	,82844009	,648304598389696157	,1714329092	,927528319244227	,36B9ODTTRUWYTFYZ1QRVCU31FNPDMA5X5HEE88KOG2XACQNQS46OS6I7U1E8JLBW	,8968898834	,012183408551	,0676655064	,9538500210	,26381002	,1	
230848256837325	,0000000000	,mfs	,mfs	,5021	,0000000000	,20201228	,001	,0	,0	,0	,0	,9900050001	,1	,0001	,1	,07	,21m8irw4ebofn	,82844009	,648304598389696157	,1714329092	,927528319244227	,36B9ODTTRUWYTFYZ1QRVCU31FNPDMA5X5HEE88KOG2XACQNQS46OS6I7U1E8JLBW	,8968898834	,012183408551	,0676655064	,9538500210	,26381002	,1	
835004228225505	,00010003	,zwf	,zwf	,5511	,0000000000	,20160611	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,hnxv0mgfcdr7p	,74437197	,124790376974806978	,0640707620	,023014719134318	,8PKF2V1QIC3SS953MRCD3UIU2RMABEYQ2KEF74PWW7O1DSTOGNO6JZBAVCVHGNLA	,6003265711	,603556295275	,0867633559	,7258814172	,31218205	,1	
260527556402814	,00030001	,tpk	,tpk	,5812	,0000000000	,20181002	,001	,0	,0	,0	,0	,9900010002	,1	,0001	,1	,07	,521f3xcdqoly0	,19902489	,261629462521030849	,7889420636	,694022541802370	,DWQO6FTZMTQVBBY1GFDLOM9ZRXK74EGUAHNM7IVLWE2SPI9ACCD3J94I8XY4L5S5	,3581304409	,491318214684	,0092965112	,7677101993	,05220855	,1	
260527556402814	,0000000000	,tpk	,tpk	,5812	,0000000000	,20181002	,001	,0	,0	,0	,0	,9900010002	,1	,0001	,1	,07	,521f3xcdqoly0	,19902489	,261629462521030849	,7889420636	,694022541802370	,DWQO6FTZMTQVBBY1GFDLOM9ZRXK74EGUAHNM7IVLWE2SPI9ACCD3J94I8XY4L5S5	,3581304409	,491318214684	,0092965112	,7677101993	,05220855	,1	
260527556402814	,0000000000	,tpk	,tpk	,5812	,0000000000	,20181002	,001	,0	,0	,0	,0	,9900010002	,1	,0001	,1	,07	,521f3xcdqoly0	,19902489	,261629462521030849	,7889420636	,694022541802370	,DWQO6FTZMTQVBBY1GFDLOM9ZRXK74EGUAHNM7IVLWE2SPI9ACCD3J94I8XY4L5S5	,3581304409	,491318214684	,0092965112	,7677101993	,05220855	,1	
