
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
vbrl7py46wzk1	,03	,00010002	,231179774510	,0000	,0	,01	,1	,034940	,1001000818	,0	,94661333	,00010002	,4	,030000000	,0	,495.00	,01	,000818	,00010002	,0	,000100020349401001000818000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,040	,7174	,01	,01	,3f64z7bg2a9it	,1	,1	
b3va27ukxwtne	,03	,00030001	,179891411210	,0000	,0	,01	,1	,450754	,1001001822	,0	,69629710	,00030001	,4	,030000000	,0	,286.00	,01	,001822	,00030001	,0	,000300014507541001001822000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,142	,8452	,01	,01	,tlxmpvw97rjk2	,1	,1	
b3va27ukxwtne	,03	,00030001	,804551925226	,0000	,0	,01	,1	,323581	,1001002036	,0	,17576239	,00030001	,4	,030000000	,0	,47.00	,01	,002036	,00030001	,0	,000300013235811001002036000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,120	,5216	,01	,01	,9v5d1ow2gzl8e	,1	,1	
t5q72jhilpv6b	,03	,00030003	,513179960988	,0000	,0	,01	,1	,524268	,1001002652	,0	,18924110	,00030003	,4	,030000000	,0	,53.00	,01	,002652	,00030003	,0	,000300035242681001002652000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,030	,9527	,01	,01	,c0jrq9f7n12g6	,1	,1	
t5q72jhilpv6b	,03	,00030003	,510463306642	,0000	,0	,01	,1	,246155	,1001005527	,0	,12430180	,00030003	,4	,030000000	,0	,362.00	,01	,005527	,00030003	,0	,000300032461551001005527000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,030	,9832	,01	,01	,sq6x1ir0chfyd	,1	,1	
smj8hi59vctun	,03	,00020000	,043301752666	,0000	,0	,01	,1	,188352	,1001010404	,0	,01726048	,00020000	,4	,030000000	,0	,448.00	,01	,010404	,00020000	,0	,000200001883521001010404000020000	,20221001	,00020000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,020	,5419	,01	,01	,cnsytg49ao6ke	,1	,1	
6pq3kc81mlfg4	,03	,00010003	,889355951683	,0000	,0	,01	,1	,142636	,1001010608	,0	,53588632	,00010003	,4	,030000000	,0	,378.00	,01	,010608	,00010003	,0	,000100031426361001010608000010003	,20221001	,00010003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,150	,7324	,01	,02	,pz9ogkm7xn16w	,1	,1	
4z8qpn5atulfm	,03	,00030002	,506986646354	,0000	,0	,01	,1	,008579	,1001010901	,0	,09571363	,00030002	,4	,030000000	,0	,78.00	,01	,010901	,00030002	,0	,000300020085791001010901000030002	,20221001	,00030002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,050	,6206	,01	,01	,4vyxw0kqr51bt	,1	,1	
17fiyms3twv95	,03	,00030002	,881402450506	,0000	,0	,01	,1	,462387	,1001011159	,0	,56160619	,00030002	,4	,030000000	,0	,363.00	,01	,011159	,00030002	,0	,000300024623871001011159000030002	,20221001	,00030002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,112	,1600	,01	,05	,rgb8ja1k4cxlv	,1	,1	
smj8hi59vctun	,03	,00020000	,146171367216	,0000	,0	,01	,1	,260530	,1001011911	,0	,09488419	,00020000	,4	,030000000	,0	,531.00	,01	,011911	,00020000	,0	,000200002605301001011911000020000	,20221001	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,001	,6789	,01	,01	,ajictupky08f4	,1	,1	
smj8hi59vctun	,03	,00020000	,619016822746	,0000	,0	,01	,1	,705834	,1001012945	,0	,73531345	,00020000	,4	,030000000	,0	,231.00	,01	,012945	,00020000	,0	,000200007058341001012945000020000	,20221001	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,032	,3588	,01	,01	,cmry27jehptvw	,1	,1	
soz0m27a4bdfr	,03	,00020002	,084749711744	,0000	,0	,01	,1	,470645	,1001013416	,0	,06027128	,00020002	,4	,030000000	,0	,229.00	,01	,013416	,00020002	,0	,000200024706451001013416000020002	,20221001	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,060	,3301	,01	,01	,ajictupky08f4	,1	,1	
wb5m4spuj38n0	,03	,00010001	,275273058557	,0000	,0	,01	,1	,877492	,1001014450	,0	,16480078	,00010001	,4	,030000000	,0	,367.00	,01	,014450	,00010001	,0	,000100018774921001014450000010001	,20221001	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,111	,8776	,01	,01	,l8vibwg5zey3d	,1	,1	
b3va27ukxwtne	,03	,00030001	,416170004044	,0000	,0	,01	,1	,396072	,1001020927	,0	,67962663	,00030001	,4	,030000000	,0	,460.00	,01	,020927	,00030001	,0	,000300013960721001020927000030001	,20221001	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,111	,8425	,01	,01	,6pq3kc81mlfg4	,1	,1	
17fiyms3twv95	,03	,00030002	,625801631090	,0000	,0	,01	,1	,987869	,1001021420	,0	,05566622	,00030002	,4	,030000000	,0	,177.00	,01	,021420	,00030002	,0	,000300029878691001021420000030002	,20221001	,00030002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,030	,4367	,01	,05	,5apbx1d0hmwcf	,1	,1	
4vyxw0kqr51bt	,03	,00010001	,819881767671	,0000	,0	,01	,1	,864826	,1001023605	,0	,47101108	,00010001	,4	,030000000	,0	,164.00	,01	,023605	,00010001	,0	,000100018648261001023605000010001	,20221001	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,001	,8378	,01	,01	,4z8qpn5atulfm	,1	,1	
b3va27ukxwtne	,03	,00030001	,213489293626	,0000	,0	,01	,1	,320328	,1001023727	,0	,66133438	,00030001	,4	,030000000	,0	,86.00	,01	,023727	,00030001	,0	,000300013203281001023727000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,012	,1648	,01	,01	,ek51tcrxvgbwu	,1	,1	
y2nptzg5d4qvs	,03	,00020001	,609578130011	,0000	,0	,01	,1	,386706	,1001025423	,0	,58942813	,00020001	,4	,030000000	,0	,286.00	,01	,025423	,00020001	,0	,000200013867061001025423000020001	,20221001	,00020001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,150	,0065	,01	,01	,cnsytg49ao6ke	,1	,1	
bsiq753f1gzu2	,03	,00030001	,967074716481	,0000	,0	,01	,1	,980172	,1001031403	,0	,49233287	,00030001	,4	,030000000	,0	,78.00	,01	,031403	,00030001	,0	,000300019801721001031403000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,151	,7034	,01	,01	,6ti2rsbh90m4w	,1	,1	
cmry27jehptvw	,03	,00030001	,921552723418	,0000	,0	,01	,1	,334259	,1001031503	,0	,74859525	,00030001	,4	,030000000	,0	,407.00	,01	,031503	,00030001	,0	,000300013342591001031503000030001	,20221001	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,052	,4802	,01	,01	,nhyl6zog924a0	,1	,1	
wkfe9aogjmyqs	,01	,00010003	,030316841596	,0000	,0	,01	,1	,133199	,1001032230	,0	,75793335	,00010003	,4	,010000000	,0	,404.18	,01	,032230	,00010003	,0	,000100031331991001032230000010003	,20221001	,00010003	,633212939775083	,02	,00	,01	,00000000	,7011	,79054289	,niv普通(低)	,052	,5366	,01	,01	,hjis0olcba23t	,1	,1	
smj8hi59vctun	,03	,00020000	,691169874510	,0000	,0	,01	,1	,666091	,1001032443	,0	,34690305	,00020000	,4	,030000000	,0	,368.00	,01	,032443	,00020000	,0	,000200006660911001032443000020000	,20221001	,00020000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,031	,1165	,01	,01	,b31fzsjrpoyet	,1	,1	
ys5x4glviw903	,03	,00030003	,139269545054	,0000	,0	,01	,1	,944432	,1001032655	,0	,33766510	,00030003	,4	,030000000	,0	,583.00	,01	,032655	,00030003	,0	,000300039444321001032655000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,131	,6105	,01	,01	,vfj3e1sx9i2na	,1	,1	
k08scyghxawnu	,03	,00030003	,988672180742	,0000	,0	,01	,1	,014293	,1001033458	,0	,04044570	,00030003	,4	,030000000	,0	,583.00	,01	,033458	,00030003	,0	,000300030142931001033458000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,020	,9221	,01	,01	,sq6x1ir0chfyd	,1	,1	
3601lx4zegikc	,03	,00020001	,623844062489	,0000	,0	,01	,1	,117201	,1001041028	,0	,26980042	,00020001	,4	,030000000	,0	,409.00	,01	,041028	,00020001	,0	,000200011172011001041028000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,061	,2377	,01	,01	,b31fzsjrpoyet	,1	,1	
ja1meoy9cpuh2	,01	,00020003	,353234508779	,0000	,0	,01	,1	,768088	,1001041526	,0	,66047897	,00020003	,4	,010000000	,0	,315.25	,01	,041526	,00020003	,0	,000200037680881001041526000020003	,20221001	,00020003	,633212939775083	,02	,00	,01	,00000000	,7011	,79054289	,niv普通(低)	,041	,1394	,01	,01	,hjis0olcba23t	,1	,1	
dmhkiexv546uy	,03	,00010001	,646635876724	,0000	,0	,01	,1	,359933	,1001042759	,0	,44282438	,00010001	,4	,030000000	,0	,73.00	,01	,042759	,00010001	,0	,000100013599331001042759000010001	,20221001	,00010001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,010	,3547	,01	,01	,is7fzj09kqtmr	,1	,1	
8cb9o24pwn0vs	,03	,00020001	,188255391806	,0000	,0	,01	,1	,675176	,1001043506	,0	,56507033	,00020001	,4	,030000000	,0	,386.00	,01	,043506	,00020001	,0	,000200016751761001043506000020001	,20221001	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,062	,2589	,01	,01	,bsiq753f1gzu2	,1	,1	
17fiyms3twv95	,03	,00030002	,485268139827	,0000	,0	,01	,1	,045187	,1001044805	,0	,46440961	,00030002	,4	,030000000	,0	,187.00	,01	,044805	,00030002	,0	,000300020451871001044805000030002	,20221001	,00030002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,101	,3278	,01	,05	,5apbx1d0hmwcf	,1	,1	
cnsytg49ao6ke	,03	,00030001	,099783850163	,0000	,0	,01	,1	,489948	,1001045317	,0	,57275257	,00030001	,4	,030000000	,0	,16.00	,01	,045317	,00030001	,0	,000300014899481001045317000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,000	,5306	,01	,01	,0gjswfhd38156	,1	,1	
og1jufkvlnq79	,03	,00010003	,619437271160	,0000	,0	,01	,1	,647854	,1001045403	,0	,16845454	,00010003	,4	,030000000	,0	,6.00	,01	,045403	,00010003	,0	,000100036478541001045403000010003	,20221001	,00010003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,151	,3758	,01	,01	,y4bpzi1gh68ft	,1	,1	
bmou58tghcr7d	,03	,00010001	,730574875924	,0000	,0	,01	,1	,206736	,1001050128	,0	,97664045	,00010001	,4	,030000000	,0	,388.00	,01	,050128	,00010001	,0	,000100012067361001050128000010001	,20221001	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,151	,8597	,01	,01	,ys5x4glviw903	,1	,1	
s8456w3pj1mo9	,03	,00010002	,400498800427	,0000	,0	,01	,1	,218944	,1001051636	,0	,97454844	,00010002	,4	,030000000	,0	,30.00	,01	,051636	,00010002	,0	,000100022189441001051636000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,050	,4072	,01	,01	,5yelsaiobq64z	,1	,1	
dmhkiexv546uy	,03	,00010001	,842252600422	,0000	,0	,01	,1	,720567	,1001051746	,0	,50494045	,00010001	,4	,030000000	,0	,403.00	,01	,051746	,00010001	,0	,000100017205671001051746000010001	,20221001	,00010001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,012	,5174	,01	,01	,is7fzj09kqtmr	,1	,1	
gne53luhfmo48	,03	,00010003	,283860729014	,0000	,0	,01	,1	,303921	,1001051840	,0	,39636510	,00010003	,4	,030000000	,0	,175.00	,01	,051840	,00010003	,0	,000100033039211001051840000010003	,20221001	,00010003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,051	,6269	,01	,01	,03hmqfcsna8to	,1	,1	
