
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00038721346299772817227	,85zbp4gtqh72y	,00020003	,00020003	,269857174343	,743665	,00	,03	,07	,47.00	,47.00	,20221002	,102000	,20221002	,001	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221002	,1002102000	,01	,0	,00000000	,78441913	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,47.00	,001	,47.00	,7.02	,08768042	,552947152906	,2249203247	,3339286350463999	,0	,47.00	,001	
00061847734461022976577	,85zbp4gtqh72y	,00020003	,00020003	,055565215770	,901905	,00	,03	,03	,995.00	,995.00	,20221002	,102800	,20221002	,101	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221002	,1002102800	,01	,0	,00000000	,99191820	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,995.00	,001	,995.00	,148.60	,72546147	,600106668684	,0714317825	,4221831576171195	,0	,995.00	,001	
00070905062948228997735	,bc6tan3j9hqw2	,00010003	,00010003	,790503206959	,644056	,00	,03	,01	,924.00	,924.00	,20221002	,104300	,20221002	,132	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221002	,1002104300	,01	,0	,00000000	,34951382	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,924.00	,001	,924.00	,138.00	,19346068	,951274897153	,8337892884	,2075561568212747	,0	,924.00	,001	
00060034104170873500525	,28qds1j65czfx	,00010001	,00010001	,758547269458	,320727	,00	,03	,01	,900.00	,900.00	,20221002	,105100	,20221002	,000	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,84	,06	,20221002	,1002105100	,01	,0	,00000000	,47788200	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,900.00	,001	,900.00	,134.41	,34871497	,963256623963	,2314474097	,3250340194845471	,0	,900.00	,001	
00016129304258149974084	,wo9028yzf1r4q	,00010002	,00010002	,620573160175	,394458	,00	,03	,07	,928.00	,928.00	,20221002	,105500	,20221002	,141	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20221002	,1002105500	,01	,0	,00000000	,16050087	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,928.00	,001	,928.00	,138.59	,81799415	,767777537089	,4694487653	,4105763481126725	,0	,928.00	,001	
00051862356977258681722	,wo9028yzf1r4q	,00010002	,00010002	,381945856618	,050157	,00	,03	,07	,982.00	,982.00	,20221002	,111300	,20221002	,002	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20221002	,1002111300	,01	,0	,00000000	,38876951	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,982.00	,001	,982.00	,146.66	,46282226	,125678426455	,5728727391	,8852150417033541	,0	,982.00	,001	
00030129406414094018681	,28qds1j65czfx	,00010001	,00010001	,525247836249	,713997	,00	,03	,03	,44.00	,44.00	,20221001	,235000	,20221001	,130	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,84	,06	,20221001	,1001235000	,01	,0	,00000000	,45959117	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,44.00	,001	,44.00	,6.57	,04261408	,018493993135	,1698065245	,9882374192688407	,0	,44.00	,001	
00004844047237044068919	,y1simjnk6u2bf	,00030003	,00030003	,086605340871	,255802	,00	,03	,01	,963.00	,963.00	,20221002	,000100	,20221002	,041	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221002	,1002000100	,01	,0	,00000000	,70273602	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,963.00	,001	,963.00	,143.82	,43041081	,651605871159	,7099736050	,4501236407579295	,0	,963.00	,001	
00062824939143598200899	,e8iwos9cjgmqt	,00010000	,00010000	,203351871379	,908571	,00	,03	,03	,923.00	,923.00	,20221002	,000600	,20221002	,141	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,84	,06	,20221002	,1002000600	,01	,0	,00000000	,96863792	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,923.00	,001	,923.00	,137.85	,23671207	,934878964180	,6153029342	,8493567584095765	,0	,923.00	,001	
00070939567110742725991	,y1simjnk6u2bf	,00030003	,00030003	,038935813522	,814119	,00	,03	,03	,913.00	,913.00	,20221002	,002100	,20221002	,042	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221002	,1002002100	,01	,0	,00000000	,51303724	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,913.00	,001	,913.00	,136.35	,81406244	,749062921945	,1094677752	,7851410519721285	,0	,913.00	,001	
00049198535496371343632	,z4blk20ds5oi6	,00010002	,00010002	,967799786035	,700952	,00	,03	,01	,910.00	,910.00	,20221002	,002500	,20221002	,152	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20221002	,1002002500	,01	,0	,00000000	,46876034	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,910.00	,001	,910.00	,135.91	,98389528	,979661648259	,7343738317	,9003797743595442	,0	,910.00	,001	
00003407320070696557417	,85zbp4gtqh72y	,00020003	,00020003	,942730292854	,236854	,00	,03	,01	,967.00	,967.00	,20221002	,004300	,20221002	,102	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221002	,1002004300	,01	,0	,00000000	,48636823	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,967.00	,001	,967.00	,144.42	,33498410	,026492373064	,5227052727	,7598846945380534	,0	,967.00	,001	
00007024354246144940485	,5deqm3jy1g2p0	,00010001	,00010001	,341707744569	,308955	,00	,03	,03	,95.00	,95.00	,20221003	,011000	,20221003	,051	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,84	,06	,20221003	,1003011000	,01	,0	,00000000	,77786498	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,95.00	,001	,95.00	,14.19	,23674338	,413525659048	,5350551425	,1114907337732541	,0	,95.00	,001	
00041286031708728620575	,uz9b1jv3ohtfw	,00030001	,00030001	,897862526076	,709369	,00	,03	,01	,933.00	,933.00	,20221003	,012800	,20221003	,041	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,84	,06	,20221003	,1003012800	,01	,0	,00000000	,00389662	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,933.00	,001	,933.00	,139.34	,87784291	,064588277644	,0784949380	,3952071664641730	,0	,933.00	,001	
00075662677236149893010	,wo9028yzf1r4q	,00010002	,00010002	,645733016409	,596869	,00	,03	,03	,921.00	,921.00	,20221003	,014300	,20221003	,041	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20221003	,1003014300	,01	,0	,00000000	,44295111	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,921.00	,001	,921.00	,137.55	,37378812	,388887934613	,5557975477	,9057750776066132	,0	,921.00	,001	
00047401401075310049837	,7xn8iwvrekfzj	,00020003	,00020003	,804722337128	,160863	,00	,03	,03	,982.00	,982.00	,20221003	,014500	,20221003	,060	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20221003	,1003014500	,01	,0	,00000000	,91385075	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,982.00	,001	,982.00	,146.66	,85334370	,987636289684	,8138840865	,2674214792172047	,0	,982.00	,001	
00075512411498479632000	,wo9028yzf1r4q	,00010002	,00010002	,608172425782	,483586	,00	,03	,01	,957.00	,957.00	,20221003	,015400	,20221003	,021	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20221003	,1003015400	,01	,0	,00000000	,65946908	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,957.00	,001	,957.00	,142.93	,69445534	,431175197130	,3921752674	,8528778243956932	,0	,957.00	,001	
00092965080014637717232	,0r561eksayp4j	,00030000	,00030000	,303023642846	,569397	,00	,03	,07	,947.00	,947.00	,20221003	,015600	,20221003	,131	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,84	,06	,20221003	,1003015600	,01	,0	,00000000	,63690364	,2024-11-15 16:19:13	,2024-11-15 16:19:13	,0	,001	,947.00	,001	,947.00	,141.43	,78266242	,844215279396	,2101947056	,2385200702304600	,0	,947.00	,001	
