
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
198222116321700	,00010003	,ctq	,ctq	,5812	,0000000000	,20210506	,001	,0	,0	,0	,1	,9900050001	,1	,0001	,1	,07	,mhbt4opuz3qew	,68859990	,723327861333429587	,5521454432	,418414816546342	,2GRN8VJMLOUX1YDF1IYJ1C33INUQ3FMK8FQPPZK5YQNE8MVIH9WTS2EDE79C6BDS	,1488239248	,419058057050	,9690977752	,7931792750	,33068324	,1	
198222116321700	,0000000000	,ctq	,ctq	,5812	,0000000000	,20210506	,001	,0	,0	,0	,1	,9900050001	,1	,0001	,1	,07	,mhbt4opuz3qew	,68859990	,723327861333429587	,5521454432	,418414816546342	,2GRN8VJMLOUX1YDF1IYJ1C33INUQ3FMK8FQPPZK5YQNE8MVIH9WTS2EDE79C6BDS	,1488239248	,419058057050	,9690977752	,7931792750	,33068324	,1	
198222116321700	,0000000000	,ctq	,ctq	,5812	,0000000000	,20210506	,001	,0	,0	,0	,1	,9900050001	,1	,0001	,1	,07	,mhbt4opuz3qew	,68859990	,723327861333429587	,5521454432	,418414816546342	,2GRN8VJMLOUX1YDF1IYJ1C33INUQ3FMK8FQPPZK5YQNE8MVIH9WTS2EDE79C6BDS	,1488239248	,419058057050	,9690977752	,7931792750	,33068324	,1	
938861576805589	,00020001	,hjq	,hjq	,5511	,0000000000	,20151020	,001	,0	,0	,0	,0	,9900050002	,0	,0001	,1	,07	,2yfw14pluhsi0	,29533814	,331080005045510335	,9048857813	,257924399683442	,N4YVA4BKSSWP3UOIHCQMDCLHRTRYCLW6118LUZFAGGGQ9OJ2XQP9966785J2NDAW	,7539003970	,996556006458	,7682087772	,7117979793	,60160430	,1	
744523305178776	,00010002	,fat	,fat	,5812	,0000000000	,20150710	,001	,0	,0	,0	,0	,9900020003	,0	,0001	,1	,07	,vjlmazhbwi71p	,94411752	,433049253887031979	,2891627295	,573602211605194	,GO5P2WCKSVE5AZFV3BWD6TOYNZKLI4MAI9Z9MDR9RDW5HL1JIC3BOS14KGQS8UXB	,6862777557	,037538208135	,0405554584	,8008935388	,93603646	,1	
744523305178776	,0000000000	,fat	,fat	,5812	,0000000000	,20150710	,001	,0	,0	,0	,0	,9900020003	,0	,0001	,1	,07	,vjlmazhbwi71p	,94411752	,433049253887031979	,2891627295	,573602211605194	,GO5P2WCKSVE5AZFV3BWD6TOYNZKLI4MAI9Z9MDR9RDW5HL1JIC3BOS14KGQS8UXB	,6862777557	,037538208135	,0405554584	,8008935388	,93603646	,1	
744523305178776	,0000000000	,fat	,fat	,5812	,0000000000	,20150710	,001	,0	,0	,0	,0	,9900020003	,0	,0001	,1	,07	,vjlmazhbwi71p	,94411752	,433049253887031979	,2891627295	,573602211605194	,GO5P2WCKSVE5AZFV3BWD6TOYNZKLI4MAI9Z9MDR9RDW5HL1JIC3BOS14KGQS8UXB	,6862777557	,037538208135	,0405554584	,8008935388	,93603646	,1	
061701376998091	,00020002	,bca	,bca	,5997	,0000000000	,20190302	,001	,0	,0	,0	,1	,9900040003	,0	,0001	,1	,07	,jy6smbc4hvkgd	,06973679	,590699002479037300	,2854186312	,809452525208690	,6GMRLDZWCAKD77OVRFPK8A1VE41BXMU8IOLZSSI15HH2Q9JX5GUE2YUC93FBHG33	,5639375071	,255728301247	,1204819587	,1663361129	,73593347	,1	
061701376998091	,0000000000	,bca	,bca	,5997	,0000000000	,20190302	,001	,0	,0	,0	,1	,9900040003	,0	,0001	,1	,07	,jy6smbc4hvkgd	,06973679	,590699002479037300	,2854186312	,809452525208690	,6GMRLDZWCAKD77OVRFPK8A1VE41BXMU8IOLZSSI15HH2Q9JX5GUE2YUC93FBHG33	,5639375071	,255728301247	,1204819587	,1663361129	,73593347	,1	
061701376998091	,0000000000	,bca	,bca	,5997	,0000000000	,20190302	,001	,0	,0	,0	,1	,9900040003	,0	,0001	,1	,07	,jy6smbc4hvkgd	,06973679	,590699002479037300	,2854186312	,809452525208690	,6GMRLDZWCAKD77OVRFPK8A1VE41BXMU8IOLZSSI15HH2Q9JX5GUE2YUC93FBHG33	,5639375071	,255728301247	,1204819587	,1663361129	,73593347	,1	
247129755806643	,00010001	,gix	,gix	,7999	,0000000000	,20211019	,001	,0	,0	,0	,1	,9900010001	,0	,0001	,1	,07	,s9x3gctprn1iq	,31251801	,892065703592337293	,3939722281	,106987010212876	,I7IABM42TQ1RXGC2JZH9LVEDK4GQ88PT39VRTP4K76LPLYW5XE1MFDNMXFW3OZU5	,0020420756	,645688739653	,1691414273	,1948791378	,74161041	,1	
247129755806643	,0000000000	,gix	,gix	,7999	,0000000000	,20211019	,001	,0	,0	,0	,1	,9900010001	,0	,0001	,1	,07	,s9x3gctprn1iq	,31251801	,892065703592337293	,3939722281	,106987010212876	,I7IABM42TQ1RXGC2JZH9LVEDK4GQ88PT39VRTP4K76LPLYW5XE1MFDNMXFW3OZU5	,0020420756	,645688739653	,1691414273	,1948791378	,74161041	,1	
247129755806643	,0000000000	,gix	,gix	,7999	,0000000000	,20211019	,001	,0	,0	,0	,1	,9900010001	,0	,0001	,1	,07	,s9x3gctprn1iq	,31251801	,892065703592337293	,3939722281	,106987010212876	,I7IABM42TQ1RXGC2JZH9LVEDK4GQ88PT39VRTP4K76LPLYW5XE1MFDNMXFW3OZU5	,0020420756	,645688739653	,1691414273	,1948791378	,74161041	,1	
714628048127175	,00020003	,yea	,yea	,5719	,0000000000	,20170813	,001	,0	,0	,0	,0	,9900010001	,1	,0001	,1	,07	,p9m0fihgyocts	,10900620	,099579502891870956	,5173305790	,855891810238680	,NM8Q9RILKK1BAVH8OQJS5F9ICGZ2AETCVCHIU2XZW1G4FN1FS8EBW4UYD55RDJDP	,7134125908	,825512676575	,1907998801	,5529229319	,24565666	,1	
714628048127175	,0000000000	,yea	,yea	,5719	,0000000000	,20170813	,001	,0	,0	,0	,0	,9900010001	,1	,0001	,1	,07	,p9m0fihgyocts	,10900620	,099579502891870956	,5173305790	,855891810238680	,NM8Q9RILKK1BAVH8OQJS5F9ICGZ2AETCVCHIU2XZW1G4FN1FS8EBW4UYD55RDJDP	,7134125908	,825512676575	,1907998801	,5529229319	,24565666	,1	
