
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
bc6tan3j9hqw2	,03	,00010003	,819055519031	,0000	,0	,01	,1	,233812	,1001000504	,0	,69490083	,00010003	,4	,030000000	,0	,165.00	,01	,000504	,00010003	,0	,000100032338121001000504000010003	,20221001	,00010003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,022	,7038	,01	,01	,vxlgik36qpz0f	,1	,1	
wunqs13902yhv	,03	,00010001	,103026108934	,0000	,0	,01	,1	,507034	,1001000851	,0	,12668483	,00010001	,4	,030000000	,0	,467.00	,01	,000851	,00010001	,0	,000100015070341001000851000010001	,20221001	,00010001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,040	,8320	,01	,01	,wkc89j5qfry60	,1	,1	
ei807klf3gux6	,03	,00030000	,335360932939	,0000	,0	,01	,1	,345542	,1001000913	,0	,09259223	,00030000	,4	,030000000	,0	,576.00	,01	,000913	,00030000	,0	,000300003455421001000913000030000	,20221001	,00030000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,122	,5056	,01	,01	,tn5xulj8i7wv4	,1	,1	
gvq91jeukz30i	,03	,00030000	,673185205114	,0000	,0	,01	,1	,345603	,1001000938	,0	,05339407	,00030000	,4	,030000000	,0	,366.00	,01	,000938	,00030000	,0	,000300003456031001000938000030000	,20221001	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,041	,6981	,01	,01	,xv3yd8fure6q2	,1	,1	
ws7b8qm5u29iy	,03	,00030003	,428314699859	,0000	,0	,01	,1	,210614	,1001001147	,0	,38873298	,00030003	,4	,030000000	,0	,149.00	,01	,001147	,00030003	,0	,000300032106141001001147000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,031	,3429	,01	,01	,mzh7rakgxt6vy	,1	,1	
zcjhbu9mdef01	,03	,00030003	,719898251250	,0000	,0	,01	,1	,214998	,1001001248	,0	,20527797	,00030003	,4	,030000000	,0	,472.00	,01	,001248	,00030003	,0	,000300032149981001001248000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,040	,2339	,01	,01	,oyz80hrp4bkvd	,1	,1	
t3mqlshg264do	,03	,00030001	,974578076614	,0000	,0	,01	,1	,463661	,1001001410	,0	,83037370	,00030001	,4	,030000000	,0	,391.00	,01	,001410	,00030001	,0	,000300014636611001001410000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,111	,0296	,01	,01	,0c19gmniwhdxf	,1	,1	
ayevgfhu0zowq	,03	,00030003	,158070620360	,0000	,0	,01	,1	,327973	,1001001644	,0	,71682428	,00030003	,4	,030000000	,0	,383.00	,01	,001644	,00030003	,0	,000300033279731001001644000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,041	,4944	,01	,01	,vubwagh1lir4x	,1	,1	
uv973wt5spoia	,03	,00030003	,170284578666	,0000	,0	,01	,1	,322899	,1001003751	,0	,76414966	,00030003	,4	,030000000	,0	,61.00	,01	,003751	,00030003	,0	,000300033228991001003751000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,051	,7721	,01	,01	,xv3yd8fure6q2	,1	,1	
vduthr054ax8j	,03	,00030001	,408025601499	,0000	,0	,01	,1	,136166	,1001004229	,0	,99468353	,00030001	,4	,030000000	,0	,340.00	,01	,004229	,00030001	,0	,000300011361661001004229000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,042	,8064	,01	,03	,yxqwrlog4umbj	,1	,1	
ksjhf2pd0z3el	,03	,00030001	,295952334405	,0000	,0	,01	,1	,587532	,1001004331	,0	,56145237	,00030001	,4	,030000000	,0	,361.00	,01	,004331	,00030001	,0	,000300015875321001004331000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,151	,7489	,01	,01	,0l8jxy35bqrt7	,1	,1	
xa35keu1qnjw7	,03	,00030001	,433990002005	,0000	,0	,01	,1	,393880	,1001010057	,0	,79021508	,00030001	,4	,030000000	,0	,499.00	,01	,010057	,00030001	,0	,000300013938801001010057000030001	,20221001	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,102	,3394	,01	,01	,90rh75e3wasyf	,1	,1	
ztrh1p2guylk6	,03	,00030002	,411261110239	,0000	,0	,01	,1	,412019	,1001010427	,0	,11254774	,00030002	,4	,030000000	,0	,533.00	,01	,010427	,00030002	,0	,000300024120191001010427000030002	,20221001	,00030002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,050	,5278	,01	,05	,lb5yjt3kcfiax	,1	,1	
r2oja97xtqdfk	,03	,00010002	,042454129802	,0000	,0	,01	,1	,339716	,1001011843	,0	,70028028	,00010002	,4	,030000000	,0	,212.00	,01	,011843	,00010002	,0	,000100023397161001011843000010002	,20221001	,00010002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,072	,3144	,01	,01	,fimewzqp1uj9k	,1	,1	
7g0ayv1lrudpt	,03	,00030000	,881586622155	,0000	,0	,01	,1	,709003	,1001012521	,0	,70441363	,00030000	,4	,030000000	,0	,394.00	,01	,012521	,00030000	,0	,000300007090031001012521000030000	,20221001	,00030000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,101	,4718	,01	,01	,i8vblwj2eg14d	,1	,1	
vopiyb032tkcs	,03	,00020003	,891873026551	,0000	,0	,01	,1	,105819	,1001012814	,0	,83242285	,00020003	,4	,030000000	,0	,479.00	,01	,012814	,00020003	,0	,000200031058191001012814000020003	,20221001	,00020003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,102	,3094	,01	,01	,276lt8eij3gbo	,1	,1	
xa35keu1qnjw7	,03	,00030001	,307150957500	,0000	,0	,01	,1	,810813	,1001014553	,0	,85101461	,00030001	,4	,030000000	,0	,238.00	,01	,014553	,00030001	,0	,000300018108131001014553000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,051	,3245	,01	,01	,bc6tan3j9hqw2	,1	,1	
otm9842ijbhye	,03	,00030000	,625802916576	,0000	,0	,01	,1	,270750	,1001014654	,0	,27516679	,00030000	,4	,030000000	,0	,310.00	,01	,014654	,00030000	,0	,000300002707501001014654000030000	,20221001	,00030000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,042	,8342	,01	,01	,2b7n0qvdy5pex	,1	,1	
ah9dpgrljiqes	,03	,00020001	,883070247603	,0000	,0	,01	,1	,796616	,1001020738	,0	,03290494	,00020001	,4	,030000000	,0	,577.00	,01	,020738	,00020001	,0	,000200017966161001020738000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,070	,9169	,01	,01	,gqske1a2vtz03	,1	,1	
