
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00074797462666804238418	,s7bpox65cv4l8	,00030001	,00030001	,937377009024	,324487	,00	,01	,01	,134.00	,134.00	,20221029	,025556	,20221029	,142	,85224572	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0001	,000	,86	,06	,20221029	,1029025556	,01	,0	,00000000	,79657495	,2024-11-15 16:20:53	,2024-11-15 16:20:53	,0	,001	,134.00	,001	,134.00	,20.01	,19339201	,493886977467	,8431435089	,1589604240988506	,0	,134.00	,001	
00091607121257424146776	,0b3m8ek69czva	,00030002	,00030002	,556430597639	,448143	,00	,01	,01	,133.00	,133.00	,20221029	,054756	,20221029	,022	,85224572	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0002	,000	,86	,06	,20221029	,1029054756	,01	,0	,00000000	,35591772	,2024-11-15 16:20:53	,2024-11-15 16:20:53	,0	,001	,133.00	,001	,133.00	,19.86	,00228932	,134012644148	,3852721314	,4303043822999068	,0	,133.00	,001	
00047179717151143067218	,qrs5yaw19tx3j	,00020002	,00020002	,614790569275	,480177	,00	,01	,01	,64.00	,64.00	,20221029	,065056	,20221029	,131	,85224572	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0002	,000	,86	,06	,20221029	,1029065056	,01	,0	,00000000	,03858315	,2024-11-15 16:20:53	,2024-11-15 16:20:53	,0	,001	,64.00	,001	,64.00	,9.56	,39392543	,598604229468	,7495612806	,0099054001513247	,0	,64.00	,001	
00009304176236077195903	,lgqmctd05sbvf	,00020002	,00020002	,488524817579	,612590	,00	,01	,01	,34.00	,34.00	,20221029	,092756	,20221029	,040	,85224572	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0002	,000	,86	,06	,20221029	,1029092756	,02	,0	,00000000	,18794844	,2024-11-15 16:20:53	,2024-11-15 16:20:53	,0	,001	,34.00	,001	,34.00	,5.08	,51535661	,415526070652	,1996376688	,4393286556240226	,0	,34.00	,001	
00024334612351555856948	,g4rp85czwjt09	,00030003	,00030003	,273447519327	,155687	,00	,01	,01	,90.00	,90.00	,20221029	,104856	,20221029	,130	,85224572	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0003	,000	,86	,06	,20221029	,1029104856	,01	,0	,00000000	,72684867	,2024-11-15 16:20:54	,2024-11-15 16:20:54	,0	,001	,90.00	,001	,90.00	,13.44	,27530704	,558555973345	,2372770029	,5570601139048605	,0	,90.00	,001	
00038637067527771116830	,clgaif26n1bts	,00010003	,00010003	,186674385722	,752483	,00	,01	,01	,73500.00	,73500.00	,20221027	,003953	,20221027	,052	,86663346	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0003	,000	,86	,06	,20221027	,1027003953	,01	,0	,00000000	,11106745	,2024-11-15 16:20:54	,2024-11-15 16:20:54	,0	,001	,73500.00	,001	,73500.00	,10977.03	,76464060	,842993014031	,2119779098	,1729746096401349	,0	,73500.00	,001	
00072243450928549379710	,4dzu01sjf3vbt	,00010000	,00010000	,333351111848	,971079	,00	,01	,01	,0.00	,0.00	,20221027	,015453	,20221027	,012	,42832601	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0000	,000	,86	,06	,20221027	,1027015453	,01	,0	,00000000	,01528656	,2024-11-15 16:20:54	,2024-11-15 16:20:54	,0	,001	,0.00	,001	,0.00	,0.00	,87775495	,976435469120	,2267630387	,9020732039289790	,0	,0.00	,001	
00068291975370370707430	,enqi52m3posdh	,00010003	,00010003	,047087189092	,417857	,00	,01	,01	,69165.00	,69165.00	,20221027	,041653	,20221027	,111	,81620292	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0003	,000	,86	,06	,20221027	,1027041653	,01	,0	,00000000	,12185657	,2024-11-15 16:20:54	,2024-11-15 16:20:54	,0	,001	,69165.00	,001	,69165.00	,10329.61	,11901320	,637577879528	,6439145312	,6918488528168224	,0	,69165.00	,001	
00083351191225062922869	,9ptrl1ndyj45i	,00020002	,00020002	,938839973929	,883564	,00	,01	,01	,84334.00	,84334.00	,20221027	,053253	,20221027	,100	,50170737	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0002	,000	,86	,06	,20221027	,1027053253	,02	,0	,00000000	,02514989	,2024-11-15 16:20:54	,2024-11-15 16:20:54	,0	,001	,84334.00	,001	,84334.00	,12595.06	,81008266	,385931420938	,6795849857	,5378465297447137	,0	,84334.00	,001	
00038124197305931775334	,1dzq6polr780x	,00020003	,00020003	,993527376084	,710052	,00	,01	,01	,0.00	,0.00	,20221027	,060253	,20221027	,052	,50170737	,538637926547458	,kae快餐盒饭(低)	,5814	,0000	,0003	,000	,86	,06	,20221027	,1027060253	,01	,0	,00000000	,30450795	,2024-11-15 16:20:54	,2024-11-15 16:20:54	,0	,001	,0.00	,001	,0.00	,0.00	,31560873	,051754470234	,2085676970	,3163001751621466	,0	,0.00	,001	
