
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
353319794542223	,00020002	,psh	,psh	,5611	,0000000000	,20211115	,001	,0	,0	,0	,0	,9900040003	,0	,0001	,1	,07	,5urmy328adjnq	,34090333	,964475790318446753	,3305777290	,163444006488279	,DW9VSS5X3NMAZWF1SE7VBJA2FHMZYIC1QGGV6PH18OK9O7E4YMP3QRZ94NE8523J	,3857882301	,521261075117	,3235580131	,8676956399	,65042942	,1	
987624997260257	,00020000	,hvu	,hvu	,8099	,0000000000	,20191026	,001	,0	,0	,0	,0	,9900060003	,0	,0001	,1	,07	,yfi6x9dlq2uzn	,80530154	,865045096842438800	,0749560636	,986787293642832	,2JRE7K9Z5WH21LEMIVMAWSVP8IF467XOA138M8X45QTLZORBP6746QJJADCR5ENL	,2478911574	,608120473614	,1625327756	,0854915338	,32853585	,1	
987624997260257	,0000000000	,hvu	,hvu	,8099	,0000000000	,20191026	,001	,0	,0	,0	,0	,9900060003	,0	,0001	,1	,07	,yfi6x9dlq2uzn	,80530154	,865045096842438800	,0749560636	,986787293642832	,2JRE7K9Z5WH21LEMIVMAWSVP8IF467XOA138M8X45QTLZORBP6746QJJADCR5ENL	,2478911574	,608120473614	,1625327756	,0854915338	,32853585	,1	
372685941525070	,00010000	,ucm	,ucm	,5814	,0000000000	,20190616	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,n8klw6bcq2p79	,22653619	,741386304709913707	,3011149823	,850826617713667	,TQU8UFGFW9C7YIEP44HN4SJEE187VM2DRVRQN3HSK2V9WN9LBO6L1G7KAR3G1CJA	,6257729180	,638553125137	,7174192374	,9768742329	,72577392	,1	
372685941525070	,0000000000	,ucm	,ucm	,5814	,0000000000	,20190616	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,n8klw6bcq2p79	,22653619	,741386304709913707	,3011149823	,850826617713667	,TQU8UFGFW9C7YIEP44HN4SJEE187VM2DRVRQN3HSK2V9WN9LBO6L1G7KAR3G1CJA	,6257729180	,638553125137	,7174192374	,9768742329	,72577392	,1	
372685941525070	,0000000000	,ucm	,ucm	,5814	,0000000000	,20190616	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,n8klw6bcq2p79	,22653619	,741386304709913707	,3011149823	,850826617713667	,TQU8UFGFW9C7YIEP44HN4SJEE187VM2DRVRQN3HSK2V9WN9LBO6L1G7KAR3G1CJA	,6257729180	,638553125137	,7174192374	,9768742329	,72577392	,1	
959704537935684	,00010000	,flb	,flb	,7011	,0000000000	,20170716	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,x3du2iazfg6wv	,08368669	,632197299323452584	,7119582121	,170185704297963	,ACNFFI3B9MPQIMXZ6DGF2THVZXP1QT9ZA3ELYGWW5J7KJJ6O6TN18PCL5BUCUSRH	,2236084036	,775830251945	,0471404829	,2559818603	,15925429	,1	
959704537935684	,0000000000	,flb	,flb	,7011	,0000000000	,20170716	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,x3du2iazfg6wv	,08368669	,632197299323452584	,7119582121	,170185704297963	,ACNFFI3B9MPQIMXZ6DGF2THVZXP1QT9ZA3ELYGWW5J7KJJ6O6TN18PCL5BUCUSRH	,2236084036	,775830251945	,0471404829	,2559818603	,15925429	,1	
959704537935684	,0000000000	,flb	,flb	,7011	,0000000000	,20170716	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,x3du2iazfg6wv	,08368669	,632197299323452584	,7119582121	,170185704297963	,ACNFFI3B9MPQIMXZ6DGF2THVZXP1QT9ZA3ELYGWW5J7KJJ6O6TN18PCL5BUCUSRH	,2236084036	,775830251945	,0471404829	,2559818603	,15925429	,1	
255952928325186	,00020002	,mpl	,mpl	,4899	,0000000000	,20180425	,001	,0	,0	,0	,1	,9900060002	,0	,0001	,1	,07	,04z8kiy1hgovs	,61595260	,674592075414380529	,4106719879	,105014979910009	,KKX5WAUOWDPRF8SBJCQQZ6YVT4HNSIV75BWZ27T6SM49BGDUDL5MJH4M11R162LC	,3782995180	,498458723870	,3423429327	,0774986129	,18851962	,1	
255952928325186	,0000000000	,mpl	,mpl	,4899	,0000000000	,20180425	,001	,0	,0	,0	,1	,9900060002	,0	,0001	,1	,07	,04z8kiy1hgovs	,61595260	,674592075414380529	,4106719879	,105014979910009	,KKX5WAUOWDPRF8SBJCQQZ6YVT4HNSIV75BWZ27T6SM49BGDUDL5MJH4M11R162LC	,3782995180	,498458723870	,3423429327	,0774986129	,18851962	,1	
255952928325186	,0000000000	,mpl	,mpl	,4899	,0000000000	,20180425	,001	,0	,0	,0	,1	,9900060002	,0	,0001	,1	,07	,04z8kiy1hgovs	,61595260	,674592075414380529	,4106719879	,105014979910009	,KKX5WAUOWDPRF8SBJCQQZ6YVT4HNSIV75BWZ27T6SM49BGDUDL5MJH4M11R162LC	,3782995180	,498458723870	,3423429327	,0774986129	,18851962	,1	
538637926547458	,00020000	,kae	,kae	,5814	,0000000000	,20210325	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,pluab0qds4mze	,17770857	,012733269479728719	,7293514471	,655364859978117	,E3K3Y9OIIDX7JI7TBZ7CSE9W4WTZFNS2E6GOP4VC8HLHL8Q1UUX9ZJSR8TGLBA3D	,2672251441	,589302306581	,4728860098	,4852996949	,58596250	,1	
538637926547458	,0000000000	,kae	,kae	,5814	,0000000000	,20210325	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,pluab0qds4mze	,17770857	,012733269479728719	,7293514471	,655364859978117	,E3K3Y9OIIDX7JI7TBZ7CSE9W4WTZFNS2E6GOP4VC8HLHL8Q1UUX9ZJSR8TGLBA3D	,2672251441	,589302306581	,4728860098	,4852996949	,58596250	,1	
538637926547458	,0000000000	,kae	,kae	,5814	,0000000000	,20210325	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,pluab0qds4mze	,17770857	,012733269479728719	,7293514471	,655364859978117	,E3K3Y9OIIDX7JI7TBZ7CSE9W4WTZFNS2E6GOP4VC8HLHL8Q1UUX9ZJSR8TGLBA3D	,2672251441	,589302306581	,4728860098	,4852996949	,58596250	,1	
428418005666329	,00030002	,dbm	,dbm	,5814	,0000000000	,20161209	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,4n92fyb3pezoi	,00929815	,491404318822694301	,3853559735	,527060756634878	,MUJKQIEB4ZWMJS7R5CI1G2V2E9KPYIDFAZB8K4WU66J6RN3LCPXQHDTW5ZOH87AE	,4852507094	,644904749144	,2316479990	,9647005470	,61745381	,1	
428418005666329	,0000000000	,dbm	,dbm	,5814	,0000000000	,20161209	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,4n92fyb3pezoi	,00929815	,491404318822694301	,3853559735	,527060756634878	,MUJKQIEB4ZWMJS7R5CI1G2V2E9KPYIDFAZB8K4WU66J6RN3LCPXQHDTW5ZOH87AE	,4852507094	,644904749144	,2316479990	,9647005470	,61745381	,1	
428418005666329	,0000000000	,dbm	,dbm	,5814	,0000000000	,20161209	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,4n92fyb3pezoi	,00929815	,491404318822694301	,3853559735	,527060756634878	,MUJKQIEB4ZWMJS7R5CI1G2V2E9KPYIDFAZB8K4WU66J6RN3LCPXQHDTW5ZOH87AE	,4852507094	,644904749144	,2316479990	,9647005470	,61745381	,1	
386487564106450	,00010000	,nhi	,nhi	,5511	,0000000000	,20170509	,001	,0	,0	,0	,1	,9900050001	,1	,0001	,1	,07	,hbnv03zrq21l6	,39926609	,477762529418129421	,5241809968	,834040682418714	,DITC23WJ9BIUOZI3A4684T55MGCJDF1XFRDH4MZUR1RKH3XVZWYY51Q6VOL8EAPN	,3430378955	,459541298837	,9770870595	,9841928729	,45165250	,1	
949938758863222	,00020002	,qlc	,qlc	,5511	,0000000000	,20151227	,001	,0	,0	,0	,0	,9900010002	,1	,0001	,1	,07	,aulwrd5xjc8y0	,89186892	,004434997747273778	,7791585764	,866558229669588	,BJ6ZERKECUH3945BKLCM9Y47DNZPAQ6F78RB2OHE5LUGF981DXI5VKYNSQGTWI1G	,4553973528	,325215074763	,9709164417	,7239967029	,77980856	,1	
705044550449126	,00030003	,hkx	,hkx	,5812	,0000000000	,20210503	,001	,0	,0	,0	,1	,9900040003	,1	,0001	,1	,07	,5skzdrx8tow4e	,25910588	,854306243299735207	,1757605523	,006939701377892	,AJLXQHZIA2ZXGNAPS16S574C19RJ3KQCOPIE3UU2TE94ISVOW7RML7XFMHYTD5QK	,1635923460	,547115026441	,8425571259	,3484513667	,02553763	,1	
705044550449126	,0000000000	,hkx	,hkx	,5812	,0000000000	,20210503	,001	,0	,0	,0	,1	,9900040003	,1	,0001	,1	,07	,5skzdrx8tow4e	,25910588	,854306243299735207	,1757605523	,006939701377892	,AJLXQHZIA2ZXGNAPS16S574C19RJ3KQCOPIE3UU2TE94ISVOW7RML7XFMHYTD5QK	,1635923460	,547115026441	,8425571259	,3484513667	,02553763	,1	
705044550449126	,0000000000	,hkx	,hkx	,5812	,0000000000	,20210503	,001	,0	,0	,0	,1	,9900040003	,1	,0001	,1	,07	,5skzdrx8tow4e	,25910588	,854306243299735207	,1757605523	,006939701377892	,AJLXQHZIA2ZXGNAPS16S574C19RJ3KQCOPIE3UU2TE94ISVOW7RML7XFMHYTD5QK	,1635923460	,547115026441	,8425571259	,3484513667	,02553763	,1	
