
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
wrnagfljkx7tq	,03	,00030003	,294952594163	,0000	,0	,01	,1	,522525	,1001001144	,0	,54987984	,00030003	,4	,030000000	,0	,106.00	,01	,001144	,00030003	,0	,000300035225251001001144000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,141	,1096	,01	,01	,okf869bsupd52	,1	,1	
qrs5umzbi91cy	,03	,00030001	,228459691275	,0000	,0	,01	,1	,007730	,1001005016	,0	,25086222	,00030001	,4	,030000000	,0	,419.00	,01	,005016	,00030001	,0	,000300010077301001005016000030001	,20221001	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,100	,8112	,01	,05	,ra2kofxj9gden	,1	,1	
xfmartwyzqosb	,03	,00020000	,585650621382	,0000	,0	,01	,1	,952439	,1001005941	,0	,43198397	,00020000	,4	,030000000	,0	,214.00	,01	,005941	,00020000	,0	,000200009524391001005941000020000	,20221001	,00020000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,141	,4936	,01	,01	,21o0qcnwv4sig	,1	,1	
dwkjn8g4s7rmo	,03	,00030002	,505895007023	,0000	,0	,01	,1	,663256	,1001005959	,0	,97425259	,00030002	,4	,030000000	,0	,349.00	,01	,005959	,00030002	,0	,000300026632561001005959000030002	,20221001	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,002	,1293	,01	,01	,4rmgf3hdv9szi	,1	,1	
6n32gjlh8be0y	,03	,00020003	,855000966772	,0000	,0	,01	,1	,005313	,1001011043	,0	,36035129	,00020003	,4	,030000000	,0	,210.00	,01	,011043	,00020003	,0	,000200030053131001011043000020003	,20221001	,00020003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,050	,4749	,01	,01	,67lhvxtg89aok	,1	,1	
67lhvxtg89aok	,03	,00030002	,104560001859	,0000	,0	,01	,1	,561264	,1001012304	,0	,55093925	,00030002	,4	,030000000	,0	,442.00	,01	,012304	,00030002	,0	,000300025612641001012304000030002	,20221001	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,062	,5409	,01	,01	,65l0zcjx4shog	,1	,1	
7svib2z3j1toh	,03	,00030000	,844078713302	,0000	,0	,01	,1	,166114	,1001013013	,0	,93940903	,00030000	,4	,030000000	,0	,371.00	,01	,013013	,00030000	,0	,000300001661141001013013000030000	,20221001	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,002	,4837	,01	,01	,kpx1hzscagiw6	,1	,1	
q6l3hum5kzjyc	,03	,00030001	,510966488703	,0000	,0	,01	,1	,754452	,1001013657	,0	,33125602	,00030001	,4	,030000000	,0	,557.00	,01	,013657	,00030001	,0	,000300017544521001013657000030001	,20221001	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,110	,3404	,01	,06	,8abwo6j9sehpy	,1	,1	
pxr5v4a3edzku	,03	,00020002	,736514862377	,0000	,0	,01	,1	,349157	,1001013921	,0	,71057969	,00020002	,4	,030000000	,0	,513.00	,01	,013921	,00020002	,0	,000200023491571001013921000020002	,20221001	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,111	,9292	,01	,01	,67lhvxtg89aok	,1	,1	
sypqa09gkerb8	,03	,00020001	,974401033888	,0000	,0	,01	,1	,277307	,1001020549	,0	,76373464	,00020001	,4	,030000000	,0	,32.00	,01	,020549	,00020001	,0	,000200012773071001020549000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,011	,5872	,01	,01	,7svib2z3j1toh	,1	,1	
30evwyb8frp9l	,03	,00020001	,492129727299	,0000	,0	,01	,1	,337063	,1001020608	,0	,40232447	,00020001	,4	,030000000	,0	,154.00	,01	,020608	,00020001	,0	,000200013370631001020608000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,112	,9778	,01	,05	,khj4tz3slypwg	,1	,1	
qt9f3x0doayzc	,01	,00030002	,701390878663	,0000	,0	,01	,1	,469113	,1001020915	,0	,46019004	,00030002	,4	,010000000	,0	,441.95	,01	,020915	,00030002	,0	,000300024691131001020915000030002	,20221001	,00030002	,959704537935684	,01	,00	,01	,00000000	,7011	,19244251	,flb四星(低)	,110	,8024	,01	,01	,x3du2iazfg6wv	,1	,1	
