
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00076879260172030432895	,j61szqfbokd8x	,00030002	,00030002	,423231557082	,531780	,00	,03	,01	,71.00	,71.00	,20220202	,102000	,20220202	,131	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20220202	,0202102000	,01	,0	,00000000	,46975284	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,71.00	,001	,71.00	,10.60	,40113859	,465140849656	,5050942610	,8070217342838884	,0	,71.00	,001	
00021438681556113900952	,0s7uehwrgvzyp	,00010000	,00010000	,745297767957	,977516	,00	,03	,03	,989.00	,989.00	,20220202	,102500	,20220202	,141	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,84	,06	,20220202	,0202102500	,01	,0	,00000000	,66168138	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,989.00	,001	,989.00	,147.70	,56999815	,269771427504	,4446899840	,2273273923533434	,0	,989.00	,001	
00083787052444031553288	,cvwlgb8am3e7i	,00010002	,00010002	,499176669368	,100541	,00	,03	,07	,935.00	,935.00	,20220202	,104100	,20220202	,142	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20220202	,0202104100	,01	,0	,00000000	,59862248	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,935.00	,001	,935.00	,139.64	,91299783	,967561755636	,4593883335	,2993897999141179	,0	,935.00	,001	
00015076949689108683401	,jxbg953f6zhuw	,00020002	,00020002	,257623230452	,660984	,00	,03	,03	,909.00	,909.00	,20220202	,104300	,20220202	,071	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20220202	,0202104300	,01	,0	,00000000	,40688176	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,909.00	,001	,909.00	,135.76	,72787305	,339678967278	,9951200591	,4319252278488476	,0	,909.00	,001	
00068472305304840983495	,iptxe54olzgdu	,00030003	,00030003	,564059080516	,234309	,00	,03	,01	,968.00	,968.00	,20220202	,105700	,20220202	,132	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20220202	,0202105700	,01	,0	,00000000	,23897887	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,968.00	,001	,968.00	,144.57	,10219249	,478775410966	,9194998821	,3067448671327947	,0	,968.00	,001	
00056948380027356506982	,iptxe54olzgdu	,00030003	,00030003	,692688479723	,169908	,00	,03	,07	,987.00	,987.00	,20220202	,110000	,20220202	,031	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20220202	,0202110000	,01	,0	,00000000	,20771266	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,987.00	,001	,987.00	,147.41	,87291088	,231268090093	,7526629087	,3455724674453168	,0	,987.00	,001	
00063807354711592401001	,iptxe54olzgdu	,00030003	,00030003	,965515460113	,353190	,00	,03	,07	,87.00	,87.00	,20220202	,005300	,20220202	,141	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20220202	,0202005300	,01	,0	,00000000	,34857397	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,87.00	,001	,87.00	,12.99	,50800452	,114246701734	,6043428248	,0223351037641438	,0	,87.00	,001	
00005052648236488319220	,vufwn4pyqg8dr	,00030003	,00030003	,619217686347	,543019	,00	,03	,01	,915.00	,915.00	,20220202	,005400	,20220202	,050	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,84	,06	,20220202	,0202005400	,01	,0	,00000000	,71149148	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,915.00	,001	,915.00	,136.65	,21787348	,351348958413	,9439193181	,8357064129533894	,0	,915.00	,001	
00067110209917651775356	,au2nb3lv674gz	,00020001	,00020001	,230260498703	,987460	,00	,03	,03	,903.00	,903.00	,20220202	,010500	,20220202	,060	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,84	,06	,20220202	,0202010500	,01	,0	,00000000	,30633277	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,903.00	,001	,903.00	,134.86	,57859068	,679818895147	,6325113760	,2263339847978121	,0	,903.00	,001	
00080949299620620727276	,ung9ec6f7zjmi	,00030002	,00030002	,312462695023	,394653	,00	,03	,01	,967.00	,967.00	,20220202	,011100	,20220202	,002	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,84	,06	,20220202	,0202011100	,01	,0	,00000000	,09056175	,2022-11-16 16:21:22	,2022-11-16 16:21:22	,0	,001	,967.00	,001	,967.00	,144.42	,67674933	,748608105798	,0136889734	,5198539082353449	,0	,967.00	,001	
