
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
516612801368847	,00020001	,vbz	,vbz	,8062	,0000000000	,20151219	,001	,0	,0	,0	,1	,9900030001	,1	,0001	,1	,07	,19goej3zkdfpw	,80187842	,514020535895007731	,4209957990	,578911377544882	,QO4L9RVR5K69QHTWN2BSWUJML8OZGHS8A416BM1CIKP3RQUEDK3GPEL92Y3YF5CJ	,6970403567	,624592931527	,5956671256	,3322034372	,06887424	,1	
516612801368847	,0000000000	,vbz	,vbz	,8062	,0000000000	,20151219	,001	,0	,0	,0	,1	,9900030001	,1	,0001	,1	,07	,19goej3zkdfpw	,80187842	,514020535895007731	,4209957990	,578911377544882	,QO4L9RVR5K69QHTWN2BSWUJML8OZGHS8A416BM1CIKP3RQUEDK3GPEL92Y3YF5CJ	,6970403567	,624592931527	,5956671256	,3322034372	,06887424	,1	
261515871204300	,00010003	,idp	,idp	,5977	,0000000000	,20171225	,001	,0	,0	,0	,1	,9900050003	,0	,0001	,1	,07	,uong4bjk08sfm	,62615788	,027542268676594626	,7056187054	,159254243599066	,ZV61HK8OVHIY2MWV5ZUHN4C8G2DQDAPIAKEBJ34PB9MTRJOQCFL713UKOXZTESBT	,5729713055	,650409925638	,6351709351	,8891086327	,37868633	,1	
261515871204300	,0000000000	,idp	,idp	,5977	,0000000000	,20171225	,001	,0	,0	,0	,1	,9900050003	,0	,0001	,1	,07	,uong4bjk08sfm	,62615788	,027542268676594626	,7056187054	,159254243599066	,ZV61HK8OVHIY2MWV5ZUHN4C8G2DQDAPIAKEBJ34PB9MTRJOQCFL713UKOXZTESBT	,5729713055	,650409925638	,6351709351	,8891086327	,37868633	,1	
261515871204300	,0000000000	,idp	,idp	,5977	,0000000000	,20171225	,001	,0	,0	,0	,1	,9900050003	,0	,0001	,1	,07	,uong4bjk08sfm	,62615788	,027542268676594626	,7056187054	,159254243599066	,ZV61HK8OVHIY2MWV5ZUHN4C8G2DQDAPIAKEBJ34PB9MTRJOQCFL713UKOXZTESBT	,5729713055	,650409925638	,6351709351	,8891086327	,37868633	,1	
305249347507511	,00030002	,uqx	,uqx	,5812	,0000000000	,20220102	,001	,0	,0	,0	,0	,9900020001	,0	,0001	,1	,07	,p6nyq8u01ezr4	,76953627	,447488359143578515	,8506293425	,078963827263150	,K4J3IGWMNLPUQX91E6OOTBJTH8RBS62C3MZF8FAGYUOESNPYKD2LGNKVDZFEXV74	,7020109063	,957082671571	,2542972080	,7352561809	,26904723	,1	
305249347507511	,0000000000	,uqx	,uqx	,5812	,0000000000	,20220102	,001	,0	,0	,0	,0	,9900020001	,0	,0001	,1	,07	,p6nyq8u01ezr4	,76953627	,447488359143578515	,8506293425	,078963827263150	,K4J3IGWMNLPUQX91E6OOTBJTH8RBS62C3MZF8FAGYUOESNPYKD2LGNKVDZFEXV74	,7020109063	,957082671571	,2542972080	,7352561809	,26904723	,1	
305249347507511	,0000000000	,uqx	,uqx	,5812	,0000000000	,20220102	,001	,0	,0	,0	,0	,9900020001	,0	,0001	,1	,07	,p6nyq8u01ezr4	,76953627	,447488359143578515	,8506293425	,078963827263150	,K4J3IGWMNLPUQX91E6OOTBJTH8RBS62C3MZF8FAGYUOESNPYKD2LGNKVDZFEXV74	,7020109063	,957082671571	,2542972080	,7352561809	,26904723	,1	
125919168217028	,00020003	,vsa	,vsa	,5812	,0000000000	,20150523	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,dbgp3niwsvlaq	,15086400	,899234130144663802	,7269247078	,341172041730222	,4ZHEMYYNP2VIMAY9VJ15XE73OWFJXSWNLS1GTF8OCDLGLIDKRXPRJQBUNP5V97DI	,9819301202	,491446347044	,9155053457	,6071985912	,22174575	,1	
125919168217028	,0000000000	,vsa	,vsa	,5812	,0000000000	,20150523	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,dbgp3niwsvlaq	,15086400	,899234130144663802	,7269247078	,341172041730222	,4ZHEMYYNP2VIMAY9VJ15XE73OWFJXSWNLS1GTF8OCDLGLIDKRXPRJQBUNP5V97DI	,9819301202	,491446347044	,9155053457	,6071985912	,22174575	,1	
