
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
u62ctbi1xgs4m	,03	,00020001	,832374828978	,0000	,0	,01	,1	,512767	,0201000223	,0	,88645467	,00020001	,4	,030000000	,0	,7.00	,01	,000223	,00020001	,0	,000200015127670201000223000020001	,20220201	,00020001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,010	,2414	,01	,01	,p2wonl96e47rj	,1	,1	
f19dbxirzuygk	,03	,00020002	,504645564112	,0000	,0	,01	,1	,378593	,0201000409	,0	,23361836	,00020002	,4	,030000000	,0	,116.00	,01	,000409	,00020002	,0	,000200023785930201000409000020002	,20220201	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,051	,9645	,01	,01	,ruqwd9me43fbk	,1	,1	
lyov4tnwj3qdk	,03	,00020000	,663394289327	,0000	,0	,01	,1	,496370	,0201000736	,0	,18450832	,00020000	,4	,030000000	,0	,515.00	,01	,000736	,00020000	,0	,000200004963700201000736000020000	,20220201	,00020000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,000	,0752	,01	,02	,a5sgdpou9nj03	,1	,1	
dugmh9ij2r0qo	,03	,00030001	,939526245003	,0000	,0	,01	,1	,744571	,0201001432	,0	,85730065	,00030001	,4	,030000000	,0	,378.00	,01	,001432	,00030001	,0	,000300017445710201001432000030001	,20220201	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,061	,7089	,01	,04	,naxb8i96ktwqu	,1	,1	
7vjqrpx4od9wl	,03	,00020000	,613125448410	,0000	,0	,01	,1	,184007	,0201001608	,0	,91438843	,00020000	,4	,030000000	,0	,458.00	,01	,001608	,00020000	,0	,000200001840070201001608000020000	,20220201	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,131	,9627	,01	,04	,lyov4tnwj3qdk	,1	,1	
szq072vb15mht	,03	,00010001	,530472284848	,0000	,0	,01	,1	,803602	,0201001942	,0	,06072617	,00010001	,4	,030000000	,0	,600.00	,01	,001942	,00010001	,0	,000100018036020201001942000010001	,20220201	,00010001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,112	,0057	,01	,01	,8q0l9ki4mty7x	,1	,1	
0j2ck7v8fge1q	,03	,00030002	,047721712732	,0000	,0	,01	,1	,360722	,0201002528	,0	,00635651	,00030002	,4	,030000000	,0	,395.00	,01	,002528	,00030002	,0	,000300023607220201002528000030002	,20220201	,00030002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,101	,2699	,01	,01	,qcku27x8tharj	,1	,1	
8f2zco09qdi6k	,03	,00010003	,593384243110	,0000	,0	,01	,1	,254962	,0201003016	,0	,76564547	,00010003	,4	,030000000	,0	,19.00	,01	,003016	,00010003	,0	,000100032549620201003016000010003	,20220201	,00010003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,070	,1818	,01	,01	,pi8y1qgvjz6ux	,1	,1	
q2d5u4abrthln	,03	,00010003	,791394205520	,0000	,0	,01	,1	,700079	,0201003859	,0	,61053598	,00010003	,4	,030000000	,0	,540.00	,01	,003859	,00010003	,0	,000100037000790201003859000010003	,20220201	,00010003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,021	,5663	,01	,02	,rboej7im2wt9g	,1	,1	
bw7pmxuna5y36	,03	,00020001	,559245277961	,0000	,0	,01	,1	,949844	,0201004120	,0	,50541439	,00020001	,4	,030000000	,0	,270.00	,01	,004120	,00020001	,0	,000200019498440201004120000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,141	,0848	,01	,04	,an5hvgoutz96q	,1	,1	
