
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00077283129769049723918	,mecxs437n9lw1	,00020002	,00020002	,255932448789	,122405	,00	,01	,01	,3589.00	,3589.00	,20220201	,081242	,20220201	,132	,37955877	,868989847975430	,tjv餐厅(低)	,5812	,0000	,0002	,000	,82	,06	,20220201	,0201081242	,02	,0	,00000000	,94503362	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,3589.00	,001	,3589.00	,536.01	,60414547	,229159389472	,8222788225	,4310605743557732	,0	,3589.00	,001	
00044096213708956113123	,mecxs437n9lw1	,00020002	,00020002	,893200150244	,201301	,00	,01	,01	,3200.00	,3200.00	,20220201	,095122	,20220201	,111	,33340827	,250077148970069	,bst直播短视频(低)	,7999	,0000	,0002	,000	,82	,06	,20220201	,0201095122	,02	,0	,00000000	,90050345	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,3200.00	,001	,3200.00	,477.91	,75662997	,104664907217	,1447597301	,2628466307278567	,0	,3200.00	,001	
00077022724519432440495	,mecxs437n9lw1	,00020002	,00020002	,752130454919	,434893	,00	,01	,01	,5706.00	,5706.00	,20220201	,101352	,20220201	,001	,33340827	,250077148970069	,bst直播短视频(低)	,7999	,0000	,0002	,000	,82	,06	,20220201	,0201101352	,02	,0	,00000000	,16238746	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,5706.00	,001	,5706.00	,852.18	,53064053	,322185119304	,4337709784	,7352829998442021	,0	,5706.00	,001	
00058803575376213348165	,mecxs437n9lw1	,00020002	,00020002	,869630586636	,415408	,00	,01	,01	,4800.00	,4800.00	,20220201	,100757	,20220201	,061	,33340827	,250077148970069	,bst直播短视频(低)	,7999	,0000	,0002	,000	,82	,06	,20220201	,0201100757	,02	,0	,00000000	,37252440	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,4800.00	,001	,4800.00	,716.87	,73795103	,676261016743	,4575356848	,1904774910455537	,0	,4800.00	,001	
00084991004738721142600	,mecxs437n9lw1	,00020002	,00020002	,424913937764	,586320	,00	,01	,01	,2500.00	,2500.00	,20220201	,145811	,20220201	,010	,37955877	,868989847975430	,tjv餐厅(低)	,5812	,0000	,0002	,000	,82	,06	,20220201	,0201145811	,02	,0	,00000000	,20420318	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,2500.00	,001	,2500.00	,373.37	,51563845	,099775672769	,5838904451	,5867017757087241	,0	,2500.00	,001	
00019049344296691520008	,mecxs437n9lw1	,00020002	,00020002	,305471008805	,859865	,00	,01	,01	,1800.00	,1800.00	,20220201	,141007	,20220201	,151	,37955877	,868989847975430	,tjv餐厅(低)	,5812	,0000	,0002	,000	,82	,06	,20220201	,0201141007	,02	,0	,00000000	,79155237	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,1800.00	,001	,1800.00	,268.83	,26438149	,232028450799	,3281104721	,7157270426279735	,0	,1800.00	,001	
00074547993678953582162	,mecxs437n9lw1	,00020002	,00020002	,677122416672	,513058	,00	,01	,01	,6200.00	,6200.00	,20220201	,153631	,20220201	,131	,33340827	,250077148970069	,bst直播短视频(低)	,7999	,0000	,0002	,000	,82	,06	,20220201	,0201153631	,02	,0	,00000000	,56261539	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,6200.00	,001	,6200.00	,925.95	,63202932	,212871903607	,1056088896	,2300696141870775	,0	,6200.00	,001	
00097061089454423812857	,mecxs437n9lw1	,00020002	,00020002	,365973744472	,898165	,00	,01	,01	,3700.00	,3700.00	,20220201	,201340	,20220201	,071	,33340827	,250077148970069	,bst直播短视频(低)	,7999	,0000	,0002	,000	,82	,06	,20220201	,0201201340	,02	,0	,00000000	,75962848	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,3700.00	,001	,3700.00	,552.59	,65992506	,406745939712	,1294942286	,8795534678458760	,0	,3700.00	,001	
00026138451561736826123	,mecxs437n9lw1	,00020002	,00020002	,435969047944	,742569	,00	,01	,01	,8678.00	,8678.00	,20220201	,213027	,20220201	,151	,37955877	,868989847975430	,tjv餐厅(低)	,5812	,0000	,0002	,000	,82	,06	,20220201	,0201213027	,02	,0	,00000000	,11299051	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,8678.00	,001	,8678.00	,1296.04	,00026822	,317346652892	,8497937718	,0487582192228540	,0	,8678.00	,001	
00050210204161989220191	,mecxs437n9lw1	,00020002	,00020002	,791758240514	,912079	,00	,01	,01	,1866.00	,1866.00	,20220202	,021105	,20220202	,140	,37955877	,868989847975430	,tjv餐厅(低)	,5812	,0000	,0002	,000	,82	,06	,20220202	,0202021105	,02	,0	,00000000	,63294698	,2022-11-16 16:21:25	,2022-11-16 16:21:25	,0	,001	,1866.00	,001	,1866.00	,278.68	,29104826	,098627607583	,4710462780	,2279388218156923	,0	,1866.00	,001	
