
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
797415344791473	,00020001	,ywh	,ywh	,5814	,0000000000	,20210820	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,g7k4dx3yo5bvf	,69750553	,340713956099922839	,8800979827	,044687550818645	,FW39IALNOZYP8GECANNQRAX8I8ZJHUBVYTEUS5X6WDFW2LF4HB9BKM6XDJYHSPR2	,7274586411	,707883679911	,4424478494	,3502448134	,68333080	,1	
797415344791473	,0000000000	,ywh	,ywh	,5814	,0000000000	,20210820	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,g7k4dx3yo5bvf	,69750553	,340713956099922839	,8800979827	,044687550818645	,FW39IALNOZYP8GECANNQRAX8I8ZJHUBVYTEUS5X6WDFW2LF4HB9BKM6XDJYHSPR2	,7274586411	,707883679911	,4424478494	,3502448134	,68333080	,1	
797415344791473	,0000000000	,ywh	,ywh	,5814	,0000000000	,20210820	,001	,0	,0	,0	,0	,9900040001	,1	,0001	,1	,07	,g7k4dx3yo5bvf	,69750553	,340713956099922839	,8800979827	,044687550818645	,FW39IALNOZYP8GECANNQRAX8I8ZJHUBVYTEUS5X6WDFW2LF4HB9BKM6XDJYHSPR2	,7274586411	,707883679911	,4424478494	,3502448134	,68333080	,1	
370657196691313	,00030002	,ird	,ird	,5511	,0000000000	,20170729	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,igavpfzbro5tl	,18223544	,962950999980382525	,6122651383	,128264831572150	,692X7UJCKZKK4Q1F48O3Z2GDTS3B6NAMIIGEPHX4VHYZ5VQU1YR7B5PODLRTNLBE	,6045465911	,939682076910	,9139377166	,5132582910	,88720148	,1	
323423456852307	,00030000	,ylr	,ylr	,4899	,0000000000	,20210515	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,scljke7io58t6	,21481200	,937922920791831937	,6532581736	,725655617439019	,TWJJM8OFVL4ZA4C4919HUHP7KR6ND96OZCB7BGFLUXK3YU6YJHI5RWWDSKZOMLI5	,9643942957	,606680978543	,9641512538	,0982990069	,86975102	,1	
323423456852307	,0000000000	,ylr	,ylr	,4899	,0000000000	,20210515	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,scljke7io58t6	,21481200	,937922920791831937	,6532581736	,725655617439019	,TWJJM8OFVL4ZA4C4919HUHP7KR6ND96OZCB7BGFLUXK3YU6YJHI5RWWDSKZOMLI5	,9643942957	,606680978543	,9641512538	,0982990069	,86975102	,1	
323423456852307	,0000000000	,ylr	,ylr	,4899	,0000000000	,20210515	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,scljke7io58t6	,21481200	,937922920791831937	,6532581736	,725655617439019	,TWJJM8OFVL4ZA4C4919HUHP7KR6ND96OZCB7BGFLUXK3YU6YJHI5RWWDSKZOMLI5	,9643942957	,606680978543	,9641512538	,0982990069	,86975102	,1	
817312109161081	,00030000	,ral	,ral	,5021	,0000000000	,20220112	,001	,0	,0	,0	,1	,9900040002	,0	,0001	,1	,07	,1sxrwt4jy3eo0	,01420849	,806013950271189089	,7657622640	,419348786020801	,Z35BCG4C7Q5W9HX36HTY68PY9V2JWG8AKDMUPLEDFUROKO5X92MBABGS4IQV4EMU	,8576967786	,189486252102	,2177062173	,7655237630	,40044168	,1	
817312109161081	,0000000000	,ral	,ral	,5021	,0000000000	,20220112	,001	,0	,0	,0	,1	,9900040002	,0	,0001	,1	,07	,1sxrwt4jy3eo0	,01420849	,806013950271189089	,7657622640	,419348786020801	,Z35BCG4C7Q5W9HX36HTY68PY9V2JWG8AKDMUPLEDFUROKO5X92MBABGS4IQV4EMU	,8576967786	,189486252102	,2177062173	,7655237630	,40044168	,1	
817312109161081	,0000000000	,ral	,ral	,5021	,0000000000	,20220112	,001	,0	,0	,0	,1	,9900040002	,0	,0001	,1	,07	,1sxrwt4jy3eo0	,01420849	,806013950271189089	,7657622640	,419348786020801	,Z35BCG4C7Q5W9HX36HTY68PY9V2JWG8AKDMUPLEDFUROKO5X92MBABGS4IQV4EMU	,8576967786	,189486252102	,2177062173	,7655237630	,40044168	,1	
943967238331025	,00020002	,dkc	,dkc	,4899	,0000000000	,20151015	,001	,0	,0	,0	,0	,9900050002	,1	,0001	,1	,07	,odxb73gijeyfh	,31131134	,267889629400949089	,2552064746	,689954518965545	,CK78G25XCSS7MVH6MXEYIEP6W4DGPGR6I7WLJ312LQ39NBUNTWQXKF1A4E895OTA	,0070598066	,511838118334	,5675780195	,1814179770	,52289812	,1	
943967238331025	,0000000000	,dkc	,dkc	,4899	,0000000000	,20151015	,001	,0	,0	,0	,0	,9900050002	,1	,0001	,1	,07	,odxb73gijeyfh	,31131134	,267889629400949089	,2552064746	,689954518965545	,CK78G25XCSS7MVH6MXEYIEP6W4DGPGR6I7WLJ312LQ39NBUNTWQXKF1A4E895OTA	,0070598066	,511838118334	,5675780195	,1814179770	,52289812	,1	
943967238331025	,0000000000	,dkc	,dkc	,4899	,0000000000	,20151015	,001	,0	,0	,0	,0	,9900050002	,1	,0001	,1	,07	,odxb73gijeyfh	,31131134	,267889629400949089	,2552064746	,689954518965545	,CK78G25XCSS7MVH6MXEYIEP6W4DGPGR6I7WLJ312LQ39NBUNTWQXKF1A4E895OTA	,0070598066	,511838118334	,5675780195	,1814179770	,52289812	,1	
058535198028613	,00020001	,gln	,gln	,5699	,0000000000	,20201026	,001	,0	,0	,0	,1	,9900030003	,0	,0001	,1	,07	,v5o3l8a2furj4	,47885034	,779396838075238431	,5823786645	,634065991402280	,MI6WBYTVCOUJY84OC1UNXFWINZS9VJL9EM62RYFFVXPMXKBG1DA9O2K7P8C53KHR	,2645716579	,013929963480	,8255147363	,0179841118	,87910628	,1	
360157191136732	,00020002	,lcd	,lcd	,5651	,0000000000	,20150331	,001	,0	,0	,0	,1	,9900030003	,0	,0001	,1	,07	,vi1puonwk675x	,86340074	,065209509177047836	,7323830974	,378044473599880	,IOCNPGNVAP7BSHBGV6XTZM9F3Y1M2FLTRDBJD1QU2EP3AKG4S5V18U8FKA759JQ3	,0032384894	,662453171603	,5947860162	,0928910493	,13784579	,1	
688785105233455	,00010003	,kab	,kab	,5814	,0000000000	,20181106	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,juix16f27r0sc	,29524790	,886932148165052380	,4735329062	,823142032004456	,EBVKRE439XIHUQDLJ51NYSOOD33PULICRMW1PJQTMRNV4JFFPYEGXMHD62A6B174	,3724463539	,725831611296	,8644402579	,4101727851	,70540084	,1	
688785105233455	,0000000000	,kab	,kab	,5814	,0000000000	,20181106	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,juix16f27r0sc	,29524790	,886932148165052380	,4735329062	,823142032004456	,EBVKRE439XIHUQDLJ51NYSOOD33PULICRMW1PJQTMRNV4JFFPYEGXMHD62A6B174	,3724463539	,725831611296	,8644402579	,4101727851	,70540084	,1	
688785105233455	,0000000000	,kab	,kab	,5814	,0000000000	,20181106	,001	,0	,0	,0	,0	,9900030003	,1	,0001	,1	,07	,juix16f27r0sc	,29524790	,886932148165052380	,4735329062	,823142032004456	,EBVKRE439XIHUQDLJ51NYSOOD33PULICRMW1PJQTMRNV4JFFPYEGXMHD62A6B174	,3724463539	,725831611296	,8644402579	,4101727851	,70540084	,1	
015759365854107	,00010001	,dqv	,dqv	,5811	,0000000000	,20180828	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,rhy0fk37q68vz	,35387998	,505454255509455908	,9074956595	,388549679214861	,CKI41QQ9YP5S7GSR9AVM5N3UWA78WGMIN4F47VDVJ2NBBZHE1QUEWY31XZXLD8HM	,2887146913	,183509829953	,7143451253	,0536580488	,80406878	,1	
015759365854107	,0000000000	,dqv	,dqv	,5811	,0000000000	,20180828	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,rhy0fk37q68vz	,35387998	,505454255509455908	,9074956595	,388549679214861	,CKI41QQ9YP5S7GSR9AVM5N3UWA78WGMIN4F47VDVJ2NBBZHE1QUEWY31XZXLD8HM	,2887146913	,183509829953	,7143451253	,0536580488	,80406878	,1	
015759365854107	,0000000000	,dqv	,dqv	,5811	,0000000000	,20180828	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,rhy0fk37q68vz	,35387998	,505454255509455908	,9074956595	,388549679214861	,CKI41QQ9YP5S7GSR9AVM5N3UWA78WGMIN4F47VDVJ2NBBZHE1QUEWY31XZXLD8HM	,2887146913	,183509829953	,7143451253	,0536580488	,80406878	,1	
089432696319105	,00010002	,fuh	,fuh	,5812	,0000000000	,20150928	,001	,0	,0	,0	,1	,9900050002	,0	,0001	,1	,07	,4osuwq5e0r9kg	,07727074	,762161980679842419	,6815635255	,806663590957863	,P4KB7LDGFWSKIPJ1FS31IBAM25VXC1NPLDAM66JZ4RLIVNA48EOX27Q98O55R3DH	,8010501133	,389862626791	,0515249671	,9706647523	,18379223	,1	
089432696319105	,0000000000	,fuh	,fuh	,5812	,0000000000	,20150928	,001	,0	,0	,0	,1	,9900050002	,0	,0001	,1	,07	,4osuwq5e0r9kg	,07727074	,762161980679842419	,6815635255	,806663590957863	,P4KB7LDGFWSKIPJ1FS31IBAM25VXC1NPLDAM66JZ4RLIVNA48EOX27Q98O55R3DH	,8010501133	,389862626791	,0515249671	,9706647523	,18379223	,1	
089432696319105	,0000000000	,fuh	,fuh	,5812	,0000000000	,20150928	,001	,0	,0	,0	,1	,9900050002	,0	,0001	,1	,07	,4osuwq5e0r9kg	,07727074	,762161980679842419	,6815635255	,806663590957863	,P4KB7LDGFWSKIPJ1FS31IBAM25VXC1NPLDAM66JZ4RLIVNA48EOX27Q98O55R3DH	,8010501133	,389862626791	,0515249671	,9706647523	,18379223	,1	
122900360823742	,00010002	,kif	,kif	,5631	,0000000000	,20170202	,001	,0	,0	,0	,1	,9900060001	,0	,0001	,1	,07	,n21rjvte507pc	,40390543	,262667289129183701	,4266182630	,222464068744970	,3CWUI39KY5XYTVBA3XPFQNH8ZQ5POR2LKM4DA9NEWMBIAN628RDS4QUJET7HPW2R	,8346781618	,221598355539	,3673121649	,9156690149	,50900667	,1	
827490099461944	,00030001	,ygc	,ygc	,5511	,0000000000	,20200413	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,euhf5qktlmjpc	,90391350	,796294451644581173	,6304309970	,985911279898877	,3V9WB5Y1GN9XATP7ZPIOWTRWQN2DCGOLJTRP3U15UL4SK7SQZJ1M46MUF26EFG8K	,7640197309	,129536263809	,6937271851	,3438195021	,76438068	,1	
