
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00054147104311473175124	,c85slowpi7uf9	,00020000	,00020000	,533629165337	,195498	,00	,01	,01	,0.00	,0.00	,20220208	,235644	,20220208	,152	,95114927	,171259032680237	,lcv网吧(低)	,7999	,0000	,0000	,000	,86	,06	,20220208	,0208235644	,02	,0	,00000000	,27576324	,2022-11-16 16:22:14	,2022-11-16 16:22:14	,0	,001	,0.00	,001	,0.00	,0.00	,48001076	,157516327253	,4468707685	,9628684755514589	,0	,0.00	,001	
00091812846708326884050	,gtl1yu0b5qcde	,00020001	,00020001	,373163255752	,192243	,00	,01	,01	,70154.00	,70154.00	,20220209	,015944	,20220209	,031	,98343109	,171259032680237	,lcv网吧(低)	,7999	,0000	,0001	,000	,86	,06	,20220209	,0209015944	,01	,0	,00000000	,89143405	,2022-11-16 16:22:14	,2022-11-16 16:22:14	,0	,001	,70154.00	,001	,70154.00	,10477.31	,03550494	,178489690373	,6073319389	,1927627110873354	,0	,70154.00	,001	
00029235426222773720565	,jfckbvxegznom	,00010000	,00010000	,210136407630	,898850	,00	,01	,01	,94031.00	,94031.00	,20220209	,024244	,20220209	,042	,66859842	,171259032680237	,lcv网吧(低)	,7999	,0000	,0000	,000	,86	,06	,20220209	,0209024244	,01	,0	,00000000	,57577144	,2022-11-16 16:22:14	,2022-11-16 16:22:14	,0	,001	,94031.00	,001	,94031.00	,14043.28	,28616030	,492658425109	,7465346861	,4470296656827687	,0	,94031.00	,001	
00018562188391508902654	,mxtcpfyvjol9s	,00030003	,00030003	,841663992216	,860502	,00	,01	,01	,73214.00	,73214.00	,20220209	,032144	,20220209	,110	,95114927	,171259032680237	,lcv网吧(低)	,7999	,0000	,0003	,000	,86	,06	,20220209	,0209032144	,01	,0	,00000000	,22227756	,2022-11-16 16:22:14	,2022-11-16 16:22:14	,0	,001	,73214.00	,001	,73214.00	,10934.32	,95347298	,956178290231	,7294382207	,9923818875415516	,0	,73214.00	,001	
00094606934065856439665	,mjh4k6fa583w2	,00020001	,00020001	,058173898280	,456375	,00	,01	,01	,0.00	,0.00	,20220209	,041944	,20220209	,152	,37659367	,171259032680237	,lcv网吧(低)	,7999	,0000	,0001	,000	,86	,06	,20220209	,0209041944	,01	,0	,00000000	,61316669	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,0.00	,001	,0.00	,0.00	,61775426	,324903680433	,3032118951	,7141351983813334	,0	,0.00	,001	
00025428176994465138228	,rtabfcz7hdsqi	,00030003	,00030003	,671809164883	,901139	,00	,01	,01	,33981.00	,33981.00	,20220208	,232810	,20220208	,052	,27137814	,889290164644793	,zey餐厅(低)	,5812	,0000	,0003	,000	,86	,06	,20220208	,0208232810	,01	,0	,00000000	,84679352	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,33981.00	,001	,33981.00	,5074.97	,20250938	,408883705766	,9565068462	,4852022707094167	,0	,33981.00	,001	
00075931750087329551590	,4fun5i06cpjkx	,00020002	,00020002	,882893007361	,688114	,00	,01	,01	,0.00	,0.00	,20220209	,021710	,20220209	,152	,27137814	,889290164644793	,zey餐厅(低)	,5812	,0000	,0002	,000	,86	,06	,20220209	,0209021710	,01	,0	,00000000	,90120593	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,0.00	,001	,0.00	,0.00	,93599341	,417172489026	,5020569515	,6292880621170193	,0	,0.00	,001	
00044435518015444672356	,4j3a1s9fduzgb	,00020000	,00020000	,440270765690	,227816	,00	,01	,01	,0.00	,0.00	,20220209	,023310	,20220209	,100	,27137814	,889290164644793	,zey餐厅(低)	,5812	,0000	,0000	,000	,86	,06	,20220209	,0209023310	,01	,0	,00000000	,46802124	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,0.00	,001	,0.00	,0.00	,27130460	,064406336838	,3837252328	,5051058344171071	,0	,0.00	,001	
00035290176126866573328	,grp1ci8w4nj0t	,00010001	,00010001	,484256539186	,252594	,00	,01	,01	,0.00	,0.00	,20220209	,032510	,20220209	,150	,27137814	,889290164644793	,zey餐厅(低)	,5812	,0000	,0001	,000	,86	,06	,20220209	,0209032510	,01	,0	,00000000	,35630513	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,0.00	,001	,0.00	,0.00	,04551318	,750646646594	,0942397681	,5398574131604290	,0	,0.00	,001	
00084062916462409250623	,78m9xjisfgr2w	,00030002	,00030002	,604422696853	,508599	,00	,01	,01	,0.00	,0.00	,20220209	,060410	,20220209	,142	,27137814	,889290164644793	,zey餐厅(低)	,5812	,0000	,0002	,000	,86	,06	,20220209	,0209060410	,02	,0	,00000000	,79853449	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,0.00	,001	,0.00	,0.00	,26549853	,718731581874	,1026307082	,2594986024797553	,0	,0.00	,001	
00032059939158110853570	,1tljkw3vrg67d	,00030002	,00030002	,768542582271	,554656	,00	,01	,01	,61.00	,61.00	,20220212	,043611	,20220212	,101	,69791126	,692518824923348	,qjw普通(低)	,7011	,0000	,0002	,000	,86	,06	,20220212	,0212043611	,01	,0	,00000000	,83311343	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,61.00	,001	,61.00	,9.11	,58635459	,659200224604	,8505135519	,5391582642024438	,0	,61.00	,001	
00087051533826945744368	,27boh9ev14tus	,00030001	,00030001	,326085958259	,574537	,00	,01	,01	,110.00	,110.00	,20220212	,055311	,20220212	,131	,62344473	,692518824923348	,qjw普通(低)	,7011	,0000	,0001	,000	,86	,06	,20220212	,0212055311	,01	,0	,00000000	,62124702	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,110.00	,001	,110.00	,16.43	,50875588	,382414377307	,9664738359	,0646094545709362	,0	,110.00	,001	
00072295790705548442128	,li3hnvo1cy9qt	,00020002	,00020002	,247527608020	,171458	,00	,01	,01	,87.00	,87.00	,20220212	,063111	,20220212	,042	,15594076	,692518824923348	,qjw普通(低)	,7011	,0000	,0002	,000	,86	,06	,20220212	,0212063111	,01	,0	,00000000	,41004859	,2022-11-16 16:22:15	,2022-11-16 16:22:15	,0	,001	,87.00	,001	,87.00	,12.99	,06448854	,124950851397	,4547073038	,9842177832655778	,0	,87.00	,001	
