
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
686797092732232	,00010003	,kgv	,kgv	,5812	,0000000000	,20160714	,001	,0	,0	,0	,0	,9900030002	,0	,0001	,1	,07	,rlkd7wh1uto89	,94478490	,383923728276947566	,7244979830	,226938436317671	,1WWMNP9ZLO7OTU2WF6T4Y1HJBNVMSZJMTCI5YBQSX1786RG6G5XI4GCELI7VUQDC	,3425998305	,018979348324	,9435788359	,0942978020	,97858667	,1	
686797092732232	,0000000000	,kgv	,kgv	,5812	,0000000000	,20160714	,001	,0	,0	,0	,0	,9900030002	,0	,0001	,1	,07	,rlkd7wh1uto89	,94478490	,383923728276947566	,7244979830	,226938436317671	,1WWMNP9ZLO7OTU2WF6T4Y1HJBNVMSZJMTCI5YBQSX1786RG6G5XI4GCELI7VUQDC	,3425998305	,018979348324	,9435788359	,0942978020	,97858667	,1	
686797092732232	,0000000000	,kgv	,kgv	,5812	,0000000000	,20160714	,001	,0	,0	,0	,0	,9900030002	,0	,0001	,1	,07	,rlkd7wh1uto89	,94478490	,383923728276947566	,7244979830	,226938436317671	,1WWMNP9ZLO7OTU2WF6T4Y1HJBNVMSZJMTCI5YBQSX1786RG6G5XI4GCELI7VUQDC	,3425998305	,018979348324	,9435788359	,0942978020	,97858667	,1	
825479341996388	,00010002	,asq	,asq	,7011	,0000000000	,20171008	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,h0yps412moeb3	,03888970	,745198385163800193	,6450502737	,686108715067064	,REH6RPZTB1X7YVGYIGXU3NY6TF1TB8KW2WROGISQUKNC51EA58DLZ2LACM4BILW9	,1284809534	,477169702451	,5834215506	,5059827649	,98387565	,1	
825479341996388	,0000000000	,asq	,asq	,7011	,0000000000	,20171008	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,h0yps412moeb3	,03888970	,745198385163800193	,6450502737	,686108715067064	,REH6RPZTB1X7YVGYIGXU3NY6TF1TB8KW2WROGISQUKNC51EA58DLZ2LACM4BILW9	,1284809534	,477169702451	,5834215506	,5059827649	,98387565	,1	
825479341996388	,0000000000	,asq	,asq	,7011	,0000000000	,20171008	,001	,0	,0	,0	,1	,9900030003	,1	,0001	,1	,07	,h0yps412moeb3	,03888970	,745198385163800193	,6450502737	,686108715067064	,REH6RPZTB1X7YVGYIGXU3NY6TF1TB8KW2WROGISQUKNC51EA58DLZ2LACM4BILW9	,1284809534	,477169702451	,5834215506	,5059827649	,98387565	,1	
251078304853409	,00030001	,lvy	,lvy	,7011	,0000000000	,20200524	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,fz4ouqayhc5e8	,71661726	,658969263538134713	,4771243999	,526528006634405	,496OKOZUTSAV65UC3MEEZRDR23XJVO898DQPF2VHURQMGHG7TISXMBHJW9115N7W	,7147730873	,547194615717	,2179925124	,9773827009	,84650107	,1	
149792655202882	,00030002	,hvr	,hvr	,5997	,0000000000	,20200406	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,k6vpbmdtiogjn	,31452779	,100188734193397092	,9732580640	,245246440354465	,MYHQD4MG5C1ARPTW951LKZVKR4P21RLVSBEMBN5Q7FSXE32273N8PUJ9EZOGBCOY	,7474046371	,839518545659	,4700840915	,7029533580	,45039452	,1	
149792655202882	,0000000000	,hvr	,hvr	,5997	,0000000000	,20200406	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,k6vpbmdtiogjn	,31452779	,100188734193397092	,9732580640	,245246440354465	,MYHQD4MG5C1ARPTW951LKZVKR4P21RLVSBEMBN5Q7FSXE32273N8PUJ9EZOGBCOY	,7474046371	,839518545659	,4700840915	,7029533580	,45039452	,1	
149792655202882	,0000000000	,hvr	,hvr	,5997	,0000000000	,20200406	,001	,0	,0	,0	,1	,9900020003	,1	,0001	,1	,07	,k6vpbmdtiogjn	,31452779	,100188734193397092	,9732580640	,245246440354465	,MYHQD4MG5C1ARPTW951LKZVKR4P21RLVSBEMBN5Q7FSXE32273N8PUJ9EZOGBCOY	,7474046371	,839518545659	,4700840915	,7029533580	,45039452	,1	
