
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
uhyok1bf032ca	,03	,00030002	,639292264611	,0000	,0	,01	,1	,877068	,0201000356	,0	,98034611	,00030002	,4	,030000000	,0	,297.00	,01	,000356	,00030002	,0	,000300028770680201000356000030002	,20220201	,00030002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,041	,9898	,01	,01	,5gnu6xb0iyjq8	,1	,1	
blt0os1p4czw5	,03	,00010003	,921208300505	,0000	,0	,01	,1	,898015	,0201000511	,0	,41259353	,00010003	,4	,030000000	,0	,593.00	,01	,000511	,00010003	,0	,000100038980150201000511000010003	,20220201	,00010003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,112	,0843	,01	,01	,yqxmjfoz62scb	,1	,1	
gtv6zn1cw5l3u	,03	,00010002	,394173995069	,0000	,0	,01	,1	,322476	,0201000716	,0	,97454407	,00010002	,4	,030000000	,0	,507.00	,01	,000716	,00010002	,0	,000100023224760201000716000010002	,20220201	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,031	,2817	,01	,01	,m0t1lnsfugpc9	,1	,1	
d50nzlt63f9mk	,03	,00010003	,626864040292	,0000	,0	,01	,1	,364147	,0201000942	,0	,26258073	,00010003	,4	,030000000	,0	,75.00	,01	,000942	,00010003	,0	,000100033641470201000942000010003	,20220201	,00010003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,110	,3409	,01	,01	,vju7s13pw205m	,1	,1	
slg41hn5beycd	,03	,00020001	,835190179875	,0000	,0	,01	,1	,740082	,0201001506	,0	,37936119	,00020001	,4	,030000000	,0	,114.00	,01	,001506	,00020001	,0	,000200017400820201001506000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,101	,6363	,01	,01	,zaefqwtx2joy5	,1	,1	
pi18dmzx3hqf0	,03	,00020002	,597525758594	,0000	,0	,01	,1	,266334	,0201001843	,0	,27069061	,00020002	,4	,030000000	,0	,146.00	,01	,001843	,00020002	,0	,000200022663340201001843000020002	,20220201	,00020002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,050	,0831	,01	,06	,ldh5ogismkbqu	,1	,1	
l0a4p1sty3rfq	,03	,00030002	,963086161576	,0000	,0	,01	,1	,144773	,0201002008	,0	,65993095	,00030002	,4	,030000000	,0	,189.00	,01	,002008	,00030002	,0	,000300021447730201002008000030002	,20220201	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,102	,4316	,01	,01	,zb63rhgq9tia8	,1	,1	
6dy0vj2i8ue9s	,03	,00020001	,265310979099	,0000	,0	,01	,1	,591223	,0201002313	,0	,13954884	,00020001	,4	,030000000	,0	,332.00	,01	,002313	,00020001	,0	,000200015912230201002313000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,052	,1836	,01	,01	,sqrog578uxmai	,1	,1	
pc1034fgq7sle	,03	,00010000	,289020526785	,0000	,0	,01	,1	,233402	,0201002449	,0	,32428064	,00010000	,4	,030000000	,0	,254.00	,01	,002449	,00010000	,0	,000100002334020201002449000010000	,20220201	,00010000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,122	,8198	,01	,01	,g7d9lsxnbckvh	,1	,1	
1nafodv9jbpcs	,03	,00020002	,580738903877	,0000	,0	,01	,1	,261994	,0201003048	,0	,24849001	,00020002	,4	,030000000	,0	,373.00	,01	,003048	,00020002	,0	,000200022619940201003048000020002	,20220201	,00020002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,102	,5607	,01	,01	,mz6xu547ntrj1	,1	,1	
m0t1lnsfugpc9	,03	,00030000	,619352943829	,0000	,0	,01	,1	,722616	,0201004029	,0	,23584074	,00030000	,4	,030000000	,0	,525.00	,01	,004029	,00030000	,0	,000300007226160201004029000030000	,20220201	,00030000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,152	,7577	,01	,01	,gtv6zn1cw5l3u	,1	,1	
d8l5k3s1txcey	,03	,00030002	,375945736847	,0000	,0	,01	,1	,026795	,0201004556	,0	,23081563	,00030002	,4	,030000000	,0	,501.00	,01	,004556	,00030002	,0	,000300020267950201004556000030002	,20220201	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,112	,4364	,01	,06	,73txgyq52bsu6	,1	,1	
a0j8urwbtf3i9	,03	,00010003	,364715938070	,0000	,0	,01	,1	,913731	,0201005446	,0	,90521848	,00010003	,4	,030000000	,0	,127.00	,01	,005446	,00010003	,0	,000100039137310201005446000010003	,20220201	,00010003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,121	,2688	,01	,01	,36b57rmgxv2lu	,1	,1	
xhcz3oq9pnt08	,03	,00030000	,040315056866	,0000	,0	,01	,1	,119270	,0201010029	,0	,86399700	,00030000	,4	,030000000	,0	,465.00	,01	,010029	,00030000	,0	,000300001192700201010029000030000	,20220201	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,060	,5393	,01	,01	,uco920dztjw85	,1	,1	
qlyu6kchew8zt	,03	,00030000	,006444440439	,0000	,0	,01	,1	,244013	,0201010458	,0	,11892126	,00030000	,4	,030000000	,0	,345.00	,01	,010458	,00030000	,0	,000300002440130201010458000030000	,20220201	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,121	,2281	,01	,01	,anikrfmyg8e2l	,1	,1	
6wavjxdqstuc1	,03	,00010000	,874866504237	,0000	,0	,01	,1	,196140	,0201010717	,0	,98607203	,00010000	,4	,030000000	,0	,421.00	,01	,010717	,00010000	,0	,000100001961400201010717000010000	,20220201	,00010000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,010	,7664	,01	,01	,d31ynx05ozwst	,1	,1	
mz6xu547ntrj1	,03	,00010003	,867029657811	,0000	,0	,01	,1	,591276	,0201010721	,0	,00933224	,00010003	,4	,030000000	,0	,72.00	,01	,010721	,00010003	,0	,000100035912760201010721000010003	,20220201	,00010003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,130	,4690	,01	,01	,9kynh8tu1c36f	,1	,1	
zofm0ar391hjd	,03	,00020001	,879070947078	,0000	,0	,01	,1	,711435	,0201011052	,0	,63753521	,00020001	,4	,030000000	,0	,156.00	,01	,011052	,00020001	,0	,000200017114350201011052000020001	,20220201	,00020001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,002	,1636	,01	,00	,6iebdlx29yt7k	,1	,1	
fgxsvbotin8z9	,03	,00010001	,196824334251	,0000	,0	,01	,1	,649216	,0201011403	,0	,58309394	,00010001	,4	,030000000	,0	,186.00	,01	,011403	,00010001	,0	,000100016492160201011403000010001	,20220201	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,150	,5601	,01	,01	,egym4f0123cwj	,1	,1	
9lui0cfw2dvqe	,03	,00020000	,583510615035	,0000	,0	,01	,1	,267191	,0201011902	,0	,87119074	,00020000	,4	,030000000	,0	,267.00	,01	,011902	,00020000	,0	,000200002671910201011902000020000	,20220201	,00020000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,020	,6552	,01	,01	,azs2cgloxf9m0	,1	,1	
9j27vrwen4gcy	,03	,00020000	,494335673840	,0000	,0	,01	,1	,613463	,0201012148	,0	,16733852	,00020000	,4	,030000000	,0	,226.00	,01	,012148	,00020000	,0	,000200006134630201012148000020000	,20220201	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,140	,2957	,01	,01	,d31ynx05ozwst	,1	,1	
m0yut2s35ergc	,03	,00020001	,296528737471	,0000	,0	,01	,1	,647660	,0201012251	,0	,40491857	,00020001	,4	,030000000	,0	,316.00	,01	,012251	,00020001	,0	,000200016476600201012251000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,041	,9776	,01	,01	,goaq4k27h3jcr	,1	,1	
juevcdr79ohwn	,03	,00010003	,519928517520	,0000	,0	,01	,1	,350352	,0201012617	,0	,82249385	,00010003	,4	,030000000	,0	,566.00	,01	,012617	,00010003	,0	,000100033503520201012617000010003	,20220201	,00010003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,141	,3625	,01	,01	,o728q0gwyvxi9	,1	,1	
9j27vrwen4gcy	,03	,00020000	,136977213222	,0000	,0	,01	,1	,378525	,0201013410	,0	,50923145	,00020000	,4	,030000000	,0	,298.00	,01	,013410	,00020000	,0	,000200003785250201013410000020000	,20220201	,00020000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,072	,0853	,01	,01	,2kym5hdf8bxi4	,1	,1	
6dy0vj2i8ue9s	,03	,00020001	,334185868651	,0000	,0	,01	,1	,560319	,0201013436	,0	,20442223	,00020001	,4	,030000000	,0	,197.00	,01	,013436	,00020001	,0	,000200015603190201013436000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,052	,3669	,01	,01	,xpytg965r3mzb	,1	,1	
4a306nl1uqj98	,03	,00030002	,635461146328	,0000	,0	,01	,1	,110929	,0201014834	,0	,48343238	,00030002	,4	,030000000	,0	,461.00	,01	,014834	,00030002	,0	,000300021109290201014834000030002	,20220201	,00030002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,052	,5260	,01	,01	,anikrfmyg8e2l	,1	,1	
pc1034fgq7sle	,03	,00010000	,456203057930	,0000	,0	,01	,1	,526739	,0201015205	,0	,84180685	,00010000	,4	,030000000	,0	,409.00	,01	,015205	,00010000	,0	,000100005267390201015205000010000	,20220201	,00010000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,000	,3037	,01	,01	,2hadbuleckqn3	,1	,1	
ksqhnit5pfu03	,03	,00020000	,487607292959	,0000	,0	,01	,1	,556199	,0201015305	,0	,81950248	,00020000	,4	,030000000	,0	,3.00	,01	,015305	,00020000	,0	,000200005561990201015305000020000	,20220201	,00020000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,120	,4945	,01	,01	,tloixc5nqmb73	,1	,1	
2b95l7wtv10ug	,03	,00020001	,302257713138	,0000	,0	,01	,1	,106381	,0201015321	,0	,86674866	,00020001	,4	,030000000	,0	,479.00	,01	,015321	,00020001	,0	,000200011063810201015321000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,142	,1354	,01	,01	,chz9rkqfpjlma	,1	,1	
6dy0vj2i8ue9s	,03	,00020001	,602100027974	,0000	,0	,01	,1	,264366	,0201015425	,0	,65642011	,00020001	,4	,030000000	,0	,81.00	,01	,015425	,00020001	,0	,000200012643660201015425000020001	,20220201	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,101	,6524	,01	,01	,a2ily9hfmqrn1	,1	,1	
gakqrsi9dcphn	,03	,00020001	,225744031086	,0000	,0	,01	,1	,170137	,0201015738	,0	,96396599	,00020001	,4	,030000000	,0	,239.00	,01	,015738	,00020001	,0	,000200011701370201015738000020001	,20220201	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,132	,4395	,01	,01	,a59y08rgd4qus	,1	,1	
