
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
064533293504274	,00010002	,ckf	,ckf	,7011	,0000000000	,20171207	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,owx8hnlps09j2	,71610879	,145134411886420429	,9577406337	,529053017762269	,HI9B6MQPF8CKOT3J1RXY3UCGY5NS2V43A8PMLJFQNSJ9K8YDZEIHC6WIHAWDNEQB	,1816983658	,372513390183	,4259172058	,0518305527	,75564949	,1	
064533293504274	,0000000000	,ckf	,ckf	,7011	,0000000000	,20171207	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,owx8hnlps09j2	,71610879	,145134411886420429	,9577406337	,529053017762269	,HI9B6MQPF8CKOT3J1RXY3UCGY5NS2V43A8PMLJFQNSJ9K8YDZEIHC6WIHAWDNEQB	,1816983658	,372513390183	,4259172058	,0518305527	,75564949	,1	
064533293504274	,0000000000	,ckf	,ckf	,7011	,0000000000	,20171207	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,owx8hnlps09j2	,71610879	,145134411886420429	,9577406337	,529053017762269	,HI9B6MQPF8CKOT3J1RXY3UCGY5NS2V43A8PMLJFQNSJ9K8YDZEIHC6WIHAWDNEQB	,1816983658	,372513390183	,4259172058	,0518305527	,75564949	,1	
712923554934206	,00010001	,ahp	,ahp	,7641	,0000000000	,20160429	,001	,0	,0	,0	,1	,9900060003	,1	,0001	,1	,07	,vun1a7qxiykz6	,18589790	,661801218776343842	,4043673967	,884240768318597	,N48UCJYK7BVX9I82EST9WXYZR8REZLUCJ36OQHBHAIKMDB14MPSLAD3T36NFPFUS	,3042244323	,922443730938	,6969049631	,2608970219	,10219360	,1	
712923554934206	,0000000000	,ahp	,ahp	,7641	,0000000000	,20160429	,001	,0	,0	,0	,1	,9900060003	,1	,0001	,1	,07	,vun1a7qxiykz6	,18589790	,661801218776343842	,4043673967	,884240768318597	,N48UCJYK7BVX9I82EST9WXYZR8REZLUCJ36OQHBHAIKMDB14MPSLAD3T36NFPFUS	,3042244323	,922443730938	,6969049631	,2608970219	,10219360	,1	
712923554934206	,0000000000	,ahp	,ahp	,7641	,0000000000	,20160429	,001	,0	,0	,0	,1	,9900060003	,1	,0001	,1	,07	,vun1a7qxiykz6	,18589790	,661801218776343842	,4043673967	,884240768318597	,N48UCJYK7BVX9I82EST9WXYZR8REZLUCJ36OQHBHAIKMDB14MPSLAD3T36NFPFUS	,3042244323	,922443730938	,6969049631	,2608970219	,10219360	,1	
039837152521206	,00030001	,hxm	,hxm	,5511	,0000000000	,20160207	,001	,0	,0	,0	,0	,9900040002	,1	,0001	,1	,07	,0rptev7o2fsgq	,07558882	,144388239115027024	,5577842794	,374002339888306	,N54NZVGEXYFC7IBF4HWSMPSI53QKKL1MZ67QIXYF7WQCHA89JGURC4TXULJ2EG1P	,8281019559	,520751610413	,2320979689	,0548212386	,25366608	,1	
691361179329987	,00020001	,zoa	,zoa	,5814	,0000000000	,20211120	,001	,0	,0	,0	,0	,9900020001	,0	,0001	,1	,07	,vnu5yje7ia3pb	,05550895	,867361813898346332	,0438648999	,071173408240358	,UA9ZQ4Y7NYUX8NHKT2E13AY7LRWERPZBFDLJNCDMR8AZ2PDWIS33XVOGTLMFO54E	,2930094964	,573311326522	,3012223610	,4851793335	,69605314	,1	
691361179329987	,0000000000	,zoa	,zoa	,5814	,0000000000	,20211120	,001	,0	,0	,0	,0	,9900020001	,0	,0001	,1	,07	,vnu5yje7ia3pb	,05550895	,867361813898346332	,0438648999	,071173408240358	,UA9ZQ4Y7NYUX8NHKT2E13AY7LRWERPZBFDLJNCDMR8AZ2PDWIS33XVOGTLMFO54E	,2930094964	,573311326522	,3012223610	,4851793335	,69605314	,1	
691361179329987	,0000000000	,zoa	,zoa	,5814	,0000000000	,20211120	,001	,0	,0	,0	,0	,9900020001	,0	,0001	,1	,07	,vnu5yje7ia3pb	,05550895	,867361813898346332	,0438648999	,071173408240358	,UA9ZQ4Y7NYUX8NHKT2E13AY7LRWERPZBFDLJNCDMR8AZ2PDWIS33XVOGTLMFO54E	,2930094964	,573311326522	,3012223610	,4851793335	,69605314	,1	
