
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00071905641911651755649	,8zyg15pkvbeni	,00030003	,00030003	,892262591032	,985863	,00	,03	,07	,0.00	,0.00	,20220214	,110553	,20220214	,031	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,85	,06	,20220214	,0214110553	,01	,0	,00000000	,55624226	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,0.00	,001	,0.00	,0.00	,99538354	,658771218450	,2750475778	,8744415874792657	,0	,0.00	,001	
00040022351831839729024	,zksxfan3875gr	,00010000	,00010000	,279777972753	,110040	,00	,01	,01	,496.00	,496.00	,20220211	,111949	,20220211	,121	,13830593	,491987685252553	,bxd家具(低)	,7641	,0000	,0000	,000	,85	,06	,20220211	,0211111949	,01	,0	,00000000	,40589996	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,496.00	,001	,496.00	,74.08	,81595317	,528196998070	,8577101750	,4229477559652529	,0	,496.00	,001	
00068613704059980560127	,etkwh0n92uiq6	,00010002	,00010002	,671028092957	,780530	,00	,01	,01	,600.00	,600.00	,20220211	,205030	,20220211	,041	,13830593	,491987685252553	,bxd家具(低)	,7641	,0000	,0002	,000	,85	,06	,20220211	,0211205030	,02	,0	,00000000	,61835572	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,600.00	,001	,600.00	,89.61	,29687462	,723754964270	,6646013631	,7116499054574303	,0	,600.00	,001	
00004784380132940123775	,zksxfan3875gr	,00010000	,00010000	,403629119902	,255265	,00	,01	,01	,1353.00	,1353.00	,20220211	,185918	,20220211	,040	,13830593	,491987685252553	,bxd家具(低)	,7641	,0000	,0000	,000	,85	,06	,20220211	,0211185918	,01	,0	,00000000	,95573860	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,1353.00	,001	,1353.00	,202.07	,61918121	,290525772898	,6547820065	,5869523211275128	,0	,1353.00	,001	
00066630534285243841515	,8zyg15pkvbeni	,00030003	,00030003	,505072493502	,601276	,00	,03	,01	,2449.00	,2449.00	,20220213	,114626	,20220213	,130	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,85	,06	,20220213	,0213114626	,01	,0	,00000000	,80792124	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,2449.00	,001	,2449.00	,365.75	,81879886	,177253446557	,7130772781	,7024318289342323	,0	,2449.00	,001	
00024300403761472446341	,8zyg15pkvbeni	,00030003	,00030003	,563761023797	,702127	,00	,03	,01	,0.00	,0.00	,20220214	,165949	,20220214	,032	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,85	,06	,20220214	,0214165949	,01	,0	,00000000	,24486042	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,0.00	,001	,0.00	,0.00	,26925205	,043660817542	,1943750103	,2185120905485769	,0	,0.00	,001	
00000014274599336556578	,8zyg15pkvbeni	,00030003	,00030003	,605504976010	,992279	,00	,03	,07	,0.00	,0.00	,20220213	,034158	,20220213	,120	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,85	,06	,20220213	,0213034158	,01	,0	,00000000	,64693413	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,0.00	,001	,0.00	,0.00	,34644242	,683316701949	,5582709405	,7531595243460926	,0	,0.00	,001	
00056717409442016958432	,6fyzhwv2lm54d	,00010003	,00010003	,799457222603	,746653	,00	,01	,01	,156.00	,156.00	,20220211	,194735	,20220211	,051	,81528893	,398726052061510	,snr游戏厅、游乐园(低)	,7996	,0000	,0003	,000	,85	,06	,20220211	,0211194735	,01	,0	,00000000	,28396501	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,156.00	,001	,156.00	,23.30	,81849647	,636950166467	,9236295777	,5594100872245641	,0	,156.00	,001	
00001586391847009167794	,etkwh0n92uiq6	,00010002	,00010002	,521182726086	,298810	,00	,01	,01	,238.00	,238.00	,20220211	,202659	,20220211	,022	,81528893	,398726052061510	,snr游戏厅、游乐园(低)	,7996	,0000	,0002	,000	,85	,06	,20220211	,0211202659	,02	,0	,00000000	,86377376	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,238.00	,001	,238.00	,35.54	,29192136	,516233906219	,4566817639	,5435345365801431	,0	,238.00	,001	
00089791481151957619811	,6fyzhwv2lm54d	,00010003	,00010003	,724750367384	,528236	,00	,01	,01	,316.00	,316.00	,20220211	,141452	,20220211	,132	,81528893	,398726052061510	,snr游戏厅、游乐园(低)	,7996	,0000	,0003	,000	,85	,06	,20220211	,0211141452	,01	,0	,00000000	,07912203	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,316.00	,001	,316.00	,47.19	,86821905	,905627081352	,2141659597	,3767112277323701	,0	,316.00	,001	
00007455347502872063398	,zksxfan3875gr	,00010000	,00010000	,990344804926	,364154	,00	,01	,01	,299.00	,299.00	,20220211	,170032	,20220211	,011	,81528893	,398726052061510	,snr游戏厅、游乐园(低)	,7996	,0000	,0000	,000	,85	,06	,20220211	,0211170032	,01	,0	,00000000	,96442600	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,299.00	,001	,299.00	,44.65	,35802825	,426387474267	,6254109939	,1754667193498457	,0	,299.00	,001	
00087918694284507888216	,etkwh0n92uiq6	,00010002	,00010002	,549125644399	,206569	,00	,01	,01	,128.00	,128.00	,20220211	,190440	,20220211	,051	,81528893	,398726052061510	,snr游戏厅、游乐园(低)	,7996	,0000	,0002	,000	,85	,06	,20220211	,0211190440	,02	,0	,00000000	,78976397	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,128.00	,001	,128.00	,19.12	,23443632	,431113658727	,1513760417	,6711667345225405	,0	,128.00	,001	
00036965215185943155786	,w23rb6ti95lhq	,00010002	,00010002	,160816732861	,930968	,00	,01	,01	,284.00	,284.00	,20220211	,185416	,20220211	,102	,81528893	,398726052061510	,snr游戏厅、游乐园(低)	,7996	,0000	,0002	,000	,85	,06	,20220211	,0211185416	,01	,0	,00000000	,23478128	,2022-11-16 16:22:08	,2022-11-16 16:22:08	,0	,001	,284.00	,001	,284.00	,42.41	,75268554	,748061472810	,6398626174	,3152848281832811	,0	,284.00	,001	
