
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
280834981469900	,00030001	,adh	,adh	,5812	,0000000000	,20171231	,001	,0	,0	,0	,1	,9900020001	,1	,0001	,1	,07	,54hi1sqto679x	,04232671	,376453663821298330	,7247989152	,932306548720039	,5VOXTWX9H14MTELL6GJZBE3DY1VXWK8OPPI39IGZQRFNU8A6NIKDAHUYFO2SYMC7	,2235329672	,914781613780	,8389016132	,1060354693	,96199133	,1	
280834981469900	,0000000000	,adh	,adh	,5812	,0000000000	,20171231	,001	,0	,0	,0	,1	,9900020001	,1	,0001	,1	,07	,54hi1sqto679x	,04232671	,376453663821298330	,7247989152	,932306548720039	,5VOXTWX9H14MTELL6GJZBE3DY1VXWK8OPPI39IGZQRFNU8A6NIKDAHUYFO2SYMC7	,2235329672	,914781613780	,8389016132	,1060354693	,96199133	,1	
280834981469900	,0000000000	,adh	,adh	,5812	,0000000000	,20171231	,001	,0	,0	,0	,1	,9900020001	,1	,0001	,1	,07	,54hi1sqto679x	,04232671	,376453663821298330	,7247989152	,932306548720039	,5VOXTWX9H14MTELL6GJZBE3DY1VXWK8OPPI39IGZQRFNU8A6NIKDAHUYFO2SYMC7	,2235329672	,914781613780	,8389016132	,1060354693	,96199133	,1	
516044722208769	,00020001	,opz	,opz	,5021	,0000000000	,20181208	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,n7kcry0g1wpo2	,92148631	,084668417539194910	,0492392780	,305216389893399	,L4JIL9IREA2XSZFSU737KY6Z75XZMYKBTG54UAK2JYCHV3WEMGN86QH2WT1E5BU8	,9021694030	,949977453416	,1508268883	,5935029896	,06170278	,1	
516044722208769	,0000000000	,opz	,opz	,5021	,0000000000	,20181208	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,n7kcry0g1wpo2	,92148631	,084668417539194910	,0492392780	,305216389893399	,L4JIL9IREA2XSZFSU737KY6Z75XZMYKBTG54UAK2JYCHV3WEMGN86QH2WT1E5BU8	,9021694030	,949977453416	,1508268883	,5935029896	,06170278	,1	
516044722208769	,0000000000	,opz	,opz	,5021	,0000000000	,20181208	,001	,0	,0	,0	,1	,9900040001	,0	,0001	,1	,07	,n7kcry0g1wpo2	,92148631	,084668417539194910	,0492392780	,305216389893399	,L4JIL9IREA2XSZFSU737KY6Z75XZMYKBTG54UAK2JYCHV3WEMGN86QH2WT1E5BU8	,9021694030	,949977453416	,1508268883	,5935029896	,06170278	,1	
073158765448820	,00020002	,fyj	,fyj	,8099	,0000000000	,20200622	,001	,0	,0	,0	,0	,9900040003	,0	,0001	,1	,07	,b9vpcql7ohzx1	,35891533	,093558327204648790	,3417770392	,366460387430508	,1EDR5B2ZZHNK8UJXI74YEOVMCU8V5F65WHI7VXJCGQPTNUMS4QL9SL18L7TBNFHA	,7610403778	,047920198748	,2749942883	,4058398067	,27308352	,1	
073158765448820	,0000000000	,fyj	,fyj	,8099	,0000000000	,20200622	,001	,0	,0	,0	,0	,9900040003	,0	,0001	,1	,07	,b9vpcql7ohzx1	,35891533	,093558327204648790	,3417770392	,366460387430508	,1EDR5B2ZZHNK8UJXI74YEOVMCU8V5F65WHI7VXJCGQPTNUMS4QL9SL18L7TBNFHA	,7610403778	,047920198748	,2749942883	,4058398067	,27308352	,1	
748591560657508	,00030000	,hrz	,hrz	,7011	,0000000000	,20180830	,001	,0	,0	,0	,0	,9900020003	,0	,0001	,1	,07	,l24ev96fupa5i	,71592110	,886218546495859940	,6232863779	,004978877853463	,3T52LKPYJVIUFZKX1WAHTCSZB9PU9RHL29685ME24ZRLW35CNRB438VX6GA7HIOD	,5006564834	,982598088274	,7704326352	,1883732904	,42622633	,1	
748591560657508	,0000000000	,hrz	,hrz	,7011	,0000000000	,20180830	,001	,0	,0	,0	,0	,9900020003	,0	,0001	,1	,07	,l24ev96fupa5i	,71592110	,886218546495859940	,6232863779	,004978877853463	,3T52LKPYJVIUFZKX1WAHTCSZB9PU9RHL29685ME24ZRLW35CNRB438VX6GA7HIOD	,5006564834	,982598088274	,7704326352	,1883732904	,42622633	,1	
748591560657508	,0000000000	,hrz	,hrz	,7011	,0000000000	,20180830	,001	,0	,0	,0	,0	,9900020003	,0	,0001	,1	,07	,l24ev96fupa5i	,71592110	,886218546495859940	,6232863779	,004978877853463	,3T52LKPYJVIUFZKX1WAHTCSZB9PU9RHL29685ME24ZRLW35CNRB438VX6GA7HIOD	,5006564834	,982598088274	,7704326352	,1883732904	,42622633	,1	
014744631093760	,00030001	,mlf	,mlf	,7011	,0000000000	,20200507	,001	,0	,0	,0	,0	,9900010003	,0	,0001	,1	,07	,rv94augxbwfo5	,34208080	,263489683613783991	,5491853060	,411712461061792	,4HJRZ26ZBLH9TSGSUO19VSLOVCMEGDXELYXMH68N1KJDNGETV4P1RM3C8355RIIW	,8893276813	,889195893161	,0075797658	,0445390618	,04500588	,1	
014744631093760	,0000000000	,mlf	,mlf	,7011	,0000000000	,20200507	,001	,0	,0	,0	,0	,9900010003	,0	,0001	,1	,07	,rv94augxbwfo5	,34208080	,263489683613783991	,5491853060	,411712461061792	,4HJRZ26ZBLH9TSGSUO19VSLOVCMEGDXELYXMH68N1KJDNGETV4P1RM3C8355RIIW	,8893276813	,889195893161	,0075797658	,0445390618	,04500588	,1	
014744631093760	,0000000000	,mlf	,mlf	,7011	,0000000000	,20200507	,001	,0	,0	,0	,0	,9900010003	,0	,0001	,1	,07	,rv94augxbwfo5	,34208080	,263489683613783991	,5491853060	,411712461061792	,4HJRZ26ZBLH9TSGSUO19VSLOVCMEGDXELYXMH68N1KJDNGETV4P1RM3C8355RIIW	,8893276813	,889195893161	,0075797658	,0445390618	,04500588	,1	
277881335527750	,00020001	,yca	,yca	,8099	,0000000000	,20181024	,001	,0	,0	,0	,1	,9900060001	,0	,0001	,1	,07	,0v6iq35ayxm1n	,74208930	,654440425002038642	,1028505892	,884625372041530	,RA8EW6AWPIU29NVVGZRFKO7T8M5KW6X5DHJU249DTCONR1Z1KB3GTQAE2XLVH7F5	,8879665273	,751913884374	,5534625416	,7628537723	,80191238	,1	
277881335527750	,0000000000	,yca	,yca	,8099	,0000000000	,20181024	,001	,0	,0	,0	,1	,9900060001	,0	,0001	,1	,07	,0v6iq35ayxm1n	,74208930	,654440425002038642	,1028505892	,884625372041530	,RA8EW6AWPIU29NVVGZRFKO7T8M5KW6X5DHJU249DTCONR1Z1KB3GTQAE2XLVH7F5	,8879665273	,751913884374	,5534625416	,7628537723	,80191238	,1	
