
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
3ebypv984ag7x	,03	,00010002	,122406836833	,0000	,0	,01	,1	,241614	,0201000009	,0	,72607878	,00010002	,4	,030000000	,0	,586.00	,01	,000009	,00010002	,0	,000100022416140201000009000010002	,20220201	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,010	,8118	,01	,01	,7drql26npyaj0	,1	,1	
butjkfc6whza1	,03	,00020000	,269008212998	,0000	,0	,01	,1	,604710	,0201000218	,0	,27632341	,00020000	,4	,030000000	,0	,380.00	,01	,000218	,00020000	,0	,000200006047100201000218000020000	,20220201	,00020000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,110	,2526	,01	,01	,et2f7hrb5kczn	,1	,1	
p5lnad7mc316f	,03	,00030001	,993644068985	,0000	,0	,01	,1	,280481	,0201000238	,0	,27705465	,00030001	,4	,030000000	,0	,596.00	,01	,000238	,00030001	,0	,000300012804810201000238000030001	,20220201	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,130	,6151	,01	,01	,ai4t65zgn1fej	,1	,1	
fxgwhaot5ue36	,03	,00030003	,501131531768	,0000	,0	,01	,1	,647699	,0201000607	,0	,23742421	,00030003	,4	,030000000	,0	,300.00	,01	,000607	,00030003	,0	,000300036476990201000607000030003	,20220201	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,072	,3466	,01	,01	,i8lzvtkxehbry	,1	,1	
tf0u264z7aje9	,03	,00020001	,004740150779	,0000	,0	,01	,1	,875951	,0201000820	,0	,16446512	,00020001	,4	,030000000	,0	,320.00	,01	,000820	,00020001	,0	,000200018759510201000820000020001	,20220201	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,120	,6902	,01	,01	,j53kuyl674cgx	,1	,1	
dv0ljf827ic1n	,03	,00030003	,966663459404	,0000	,0	,01	,1	,410577	,0201000933	,0	,82421407	,00030003	,4	,030000000	,0	,522.00	,01	,000933	,00030003	,0	,000300034105770201000933000030003	,20220201	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,122	,3125	,01	,01	,fpd0k7zmsv6ea	,1	,1	
h1vgqmse05yw2	,03	,00010001	,061248212791	,0000	,0	,01	,1	,829545	,0201001834	,0	,52589206	,00010001	,4	,030000000	,0	,526.00	,01	,001834	,00010001	,0	,000100018295450201001834000010001	,20220201	,00010001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,072	,4578	,01	,01	,q9hkui4btyfvc	,1	,1	
1nalpkcfhed5v	,03	,00030003	,364072083261	,0000	,0	,01	,1	,779628	,0201002040	,0	,08505966	,00030003	,4	,030000000	,0	,598.00	,01	,002040	,00030003	,0	,000300037796280201002040000030003	,20220201	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,122	,1227	,01	,01	,kewbnamdzgsp8	,1	,1	
jltvq605pynhd	,03	,00020001	,778857683767	,0000	,0	,01	,1	,599129	,0201002528	,0	,07464532	,00020001	,4	,030000000	,0	,595.00	,01	,002528	,00020001	,0	,000200015991290201002528000020001	,20220201	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,032	,7658	,01	,01	,57wrzomi2fl8h	,1	,1	
58ybipnhduwls	,03	,00010001	,336285137015	,0000	,0	,01	,1	,828247	,0201003230	,0	,75953748	,00010001	,4	,030000000	,0	,428.00	,01	,003230	,00010001	,0	,000100018282470201003230000010001	,20220201	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,150	,3006	,01	,01	,7fbutni18dz26	,1	,1	
