
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00034299493121746300189	,6mb78xs45izdt	,00010003	,00010003	,151849439315	,975046	,00	,03	,01	,119.00	,119.00	,20220201	,132847	,20220201	,112	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,81	,06	,20220201	,0201132847	,02	,0	,00000000	,57945497	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,119.00	,001	,119.00	,17.77	,06917399	,840016484168	,0712966043	,3613258498502613	,0	,119.00	,001	
00096574144687939814852	,6mb78xs45izdt	,00010003	,00010003	,114111104685	,003269	,00	,03	,01	,136.00	,136.00	,20220201	,105403	,20220201	,012	,00000000	,000000000000000	,XXXX	,0000	,0000	,0003	,000	,81	,06	,20220201	,0201105403	,01	,0	,00000000	,45012421	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,136.00	,001	,136.00	,20.31	,25858301	,848795791810	,5397715233	,9891984077436485	,0	,136.00	,001	
00094647738263945884005	,6mb78xs45izdt	,00010000	,00010000	,256878506610	,410784	,00	,03	,03	,172.00	,172.00	,20220201	,174352	,20220201	,042	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,81	,06	,20220201	,0201174352	,01	,0	,00000000	,24363746	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,172.00	,001	,172.00	,25.69	,61700480	,827837151561	,9727796989	,8960249124742837	,0	,172.00	,001	
00043311733546288169151	,6mb78xs45izdt	,00030000	,00030000	,054694981675	,140650	,00	,03	,07	,217.00	,217.00	,20220201	,184239	,20220201	,150	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,81	,06	,20220201	,0201184239	,02	,0	,00000000	,00542261	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,217.00	,001	,217.00	,32.41	,10847088	,192336542143	,8936088745	,1892587749072553	,0	,217.00	,001	
00046473728854914677843	,6mb78xs45izdt	,00030001	,00030001	,369044199207	,711939	,00	,03	,03	,121.00	,121.00	,20220201	,163659	,20220201	,102	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,81	,06	,20220201	,0201163659	,01	,0	,00000000	,87769029	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,121.00	,001	,121.00	,18.07	,57220588	,282473199663	,4405990666	,1119542618080881	,0	,121.00	,001	
00030857345183374616329	,6mb78xs45izdt	,00010001	,00010001	,124554903839	,637992	,00	,03	,03	,223.00	,223.00	,20220201	,193829	,20220201	,141	,00000000	,000000000000000	,XXXX	,0000	,0000	,0001	,000	,81	,06	,20220201	,0201193829	,01	,0	,00000000	,72896340	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,223.00	,001	,223.00	,33.30	,70119247	,078289038492	,9768749180	,1145100782894101	,0	,223.00	,001	
00010280512384560541551	,6mb78xs45izdt	,00010002	,00010002	,357531583157	,569656	,00	,03	,03	,119.00	,119.00	,20220201	,185132	,20220201	,142	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,81	,06	,20220201	,0201185132	,02	,0	,00000000	,32977762	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,119.00	,001	,119.00	,17.77	,37433382	,651381563711	,5143755350	,8534877366787092	,0	,119.00	,001	
00016280817385277551642	,6mb78xs45izdt	,00020002	,00020002	,960560724080	,776328	,00	,03	,03	,157.00	,157.00	,20220201	,170944	,20220201	,140	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,81	,06	,20220201	,0201170944	,02	,0	,00000000	,09257037	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,157.00	,001	,157.00	,23.45	,85928603	,434666170004	,3439756244	,8681663682360124	,0	,157.00	,001	
00001492734601291374423	,6mb78xs45izdt	,00020002	,00020002	,830825258718	,541072	,00	,03	,03	,142.00	,142.00	,20220201	,092906	,20220201	,062	,00000000	,000000000000000	,XXXX	,0000	,0000	,0002	,000	,81	,06	,20220201	,0201092906	,02	,0	,00000000	,58930303	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,142.00	,001	,142.00	,21.21	,78423030	,335464577867	,1464320509	,0679326925325958	,0	,142.00	,001	
00079638703694437257476	,6mb78xs45izdt	,00010000	,00010000	,685635253371	,569947	,00	,03	,01	,216.00	,216.00	,20220201	,134355	,20220201	,112	,00000000	,000000000000000	,XXXX	,0000	,0000	,0000	,000	,81	,06	,20220201	,0201134355	,01	,0	,00000000	,30773960	,2022-11-16 16:21:18	,2022-11-16 16:21:18	,0	,001	,216.00	,001	,216.00	,32.26	,04831354	,192007058901	,9441718849	,9745276107783494	,0	,216.00	,001	
