
S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
016507270657901	,00030002	,nkt	,nkt	,5812	,0000000000	,20200822	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,fe8wj1n570o2z	,23359298	,721870070517610571	,0670148733	,707898918990191	,RH4IKD7EBI69YNC95THXJ7FF5YHGMAFWGSLVZJCRA21MZOOTK3RP6SGEU9Z1D7VW	,5923082472	,232364995471	,5261644303	,7113179566	,82293518	,1	
016507270657901	,0000000000	,nkt	,nkt	,5812	,0000000000	,20200822	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,fe8wj1n570o2z	,23359298	,721870070517610571	,0670148733	,707898918990191	,RH4IKD7EBI69YNC95THXJ7FF5YHGMAFWGSLVZJCRA21MZOOTK3RP6SGEU9Z1D7VW	,5923082472	,232364995471	,5261644303	,7113179566	,82293518	,1	
016507270657901	,0000000000	,nkt	,nkt	,5812	,0000000000	,20200822	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,fe8wj1n570o2z	,23359298	,721870070517610571	,0670148733	,707898918990191	,RH4IKD7EBI69YNC95THXJ7FF5YHGMAFWGSLVZJCRA21MZOOTK3RP6SGEU9Z1D7VW	,5923082472	,232364995471	,5261644303	,7113179566	,82293518	,1	
900679619719020	,00010001	,syx	,syx	,5719	,0000000000	,20190325	,001	,0	,0	,0	,1	,9900050003	,0	,0001	,1	,07	,x5ev1uql82oic	,13405415	,562861709607439310	,4042681604	,410792363897817	,DYMXFRVKHS3ZPGAZ8QKFCU16222IEB9PJ4YEONIGOLQHS9V6UFTXTCWEJ7YBLJLB	,3806604375	,976261584162	,0406923094	,8203752469	,63436097	,1	
900679619719020	,0000000000	,syx	,syx	,5719	,0000000000	,20190325	,001	,0	,0	,0	,1	,9900050003	,0	,0001	,1	,07	,x5ev1uql82oic	,13405415	,562861709607439310	,4042681604	,410792363897817	,DYMXFRVKHS3ZPGAZ8QKFCU16222IEB9PJ4YEONIGOLQHS9V6UFTXTCWEJ7YBLJLB	,3806604375	,976261584162	,0406923094	,8203752469	,63436097	,1	
900679619719020	,0000000000	,syx	,syx	,5719	,0000000000	,20190325	,001	,0	,0	,0	,1	,9900050003	,0	,0001	,1	,07	,x5ev1uql82oic	,13405415	,562861709607439310	,4042681604	,410792363897817	,DYMXFRVKHS3ZPGAZ8QKFCU16222IEB9PJ4YEONIGOLQHS9V6UFTXTCWEJ7YBLJLB	,3806604375	,976261584162	,0406923094	,8203752469	,63436097	,1	
342375107855167	,00010002	,tyn	,tyn	,5814	,0000000000	,20151205	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,v9xfgduzjp6o8	,21249775	,461126521710276131	,5150901712	,119911440831404	,MEKCFNO6R6E7JGHFK137QPLGSRQW29XOAPXBUI6IOTCFYV43YZRNAW4N574BZED1	,5230243314	,470762344988	,4883340384	,9073031397	,80281060	,1	
342375107855167	,0000000000	,tyn	,tyn	,5814	,0000000000	,20151205	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,v9xfgduzjp6o8	,21249775	,461126521710276131	,5150901712	,119911440831404	,MEKCFNO6R6E7JGHFK137QPLGSRQW29XOAPXBUI6IOTCFYV43YZRNAW4N574BZED1	,5230243314	,470762344988	,4883340384	,9073031397	,80281060	,1	
342375107855167	,0000000000	,tyn	,tyn	,5814	,0000000000	,20151205	,001	,0	,0	,0	,0	,9900030001	,1	,0001	,1	,07	,v9xfgduzjp6o8	,21249775	,461126521710276131	,5150901712	,119911440831404	,MEKCFNO6R6E7JGHFK137QPLGSRQW29XOAPXBUI6IOTCFYV43YZRNAW4N574BZED1	,5230243314	,470762344988	,4883340384	,9073031397	,80281060	,1	
062236384336547	,00020003	,bkw	,bkw	,7011	,0000000000	,20201112	,001	,0	,0	,0	,0	,9900040002	,0	,0001	,1	,07	,s0ityx713mbl4	,95896771	,581207255834592186	,1243477561	,504479002950904	,E1G1BDFM26D7LILVOPAW6BTZQTNTNY48U5X9AFV7QRPK5GHNPURJKC9G7HXYYS1A	,6483455952	,959840779105	,9854728187	,4057799737	,68406389	,1	
062236384336547	,0000000000	,bkw	,bkw	,7011	,0000000000	,20201112	,001	,0	,0	,0	,0	,9900040002	,0	,0001	,1	,07	,s0ityx713mbl4	,95896771	,581207255834592186	,1243477561	,504479002950904	,E1G1BDFM26D7LILVOPAW6BTZQTNTNY48U5X9AFV7QRPK5GHNPURJKC9G7HXYYS1A	,6483455952	,959840779105	,9854728187	,4057799737	,68406389	,1	
062236384336547	,0000000000	,bkw	,bkw	,7011	,0000000000	,20201112	,001	,0	,0	,0	,0	,9900040002	,0	,0001	,1	,07	,s0ityx713mbl4	,95896771	,581207255834592186	,1243477561	,504479002950904	,E1G1BDFM26D7LILVOPAW6BTZQTNTNY48U5X9AFV7QRPK5GHNPURJKC9G7HXYYS1A	,6483455952	,959840779105	,9854728187	,4057799737	,68406389	,1	
715454610829927	,00030000	,veg	,veg	,5812	,0000000000	,20200801	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,2e30d6icokaqm	,48099344	,279210420580529478	,2061700644	,720018560361541	,MYFBNR1LVLS543AI875RU4HJEQVOSJZWP2PX3D6EC9QEX2D8G3WN199YXDPIOF5J	,9649851908	,325967107853	,0643890050	,6024709753	,12272930	,1	
715454610829927	,0000000000	,veg	,veg	,5812	,0000000000	,20200801	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,2e30d6icokaqm	,48099344	,279210420580529478	,2061700644	,720018560361541	,MYFBNR1LVLS543AI875RU4HJEQVOSJZWP2PX3D6EC9QEX2D8G3WN199YXDPIOF5J	,9649851908	,325967107853	,0643890050	,6024709753	,12272930	,1	
715454610829927	,0000000000	,veg	,veg	,5812	,0000000000	,20200801	,001	,0	,0	,0	,1	,9900020002	,1	,0001	,1	,07	,2e30d6icokaqm	,48099344	,279210420580529478	,2061700644	,720018560361541	,MYFBNR1LVLS543AI875RU4HJEQVOSJZWP2PX3D6EC9QEX2D8G3WN199YXDPIOF5J	,9649851908	,325967107853	,0643890050	,6024709753	,12272930	,1	
780780593839675	,00030000	,dtr	,dtr	,5814	,0000000000	,20190502	,001	,0	,0	,0	,1	,9900040002	,1	,0001	,1	,07	,tuo7k9c3lfg6x	,54063002	,226077245461944519	,0005545002	,804389930375964	,QOF6BJOXWL7LZUZ5I2T2TYINPUGDXJJKR6UCMT95SP8ZKP1NC3MH5VQFYSVR46LD	,7968606979	,166855074598	,9234770197	,9646340105	,85209390	,1	
780780593839675	,0000000000	,dtr	,dtr	,5814	,0000000000	,20190502	,001	,0	,0	,0	,1	,9900040002	,1	,0001	,1	,07	,tuo7k9c3lfg6x	,54063002	,226077245461944519	,0005545002	,804389930375964	,QOF6BJOXWL7LZUZ5I2T2TYINPUGDXJJKR6UCMT95SP8ZKP1NC3MH5VQFYSVR46LD	,7968606979	,166855074598	,9234770197	,9646340105	,85209390	,1	
780780593839675	,0000000000	,dtr	,dtr	,5814	,0000000000	,20190502	,001	,0	,0	,0	,1	,9900040002	,1	,0001	,1	,07	,tuo7k9c3lfg6x	,54063002	,226077245461944519	,0005545002	,804389930375964	,QOF6BJOXWL7LZUZ5I2T2TYINPUGDXJJKR6UCMT95SP8ZKP1NC3MH5VQFYSVR46LD	,7968606979	,166855074598	,9234770197	,9646340105	,85209390	,1	
218233153980589	,00010000	,hwt	,hwt	,5814	,0000000000	,20150307	,001	,0	,0	,0	,1	,9900020001	,0	,0001	,1	,07	,t6cjnfhrlgvqi	,95887101	,667402042417252384	,4101748362	,596898003475968	,UWUFNBZ1J2K7P5OY6XXFB4GOH86LMCSOYF95HRB9AAPI4VESVLQGEKIEC633JT9N	,6806274397	,704583569066	,9218333194	,0861498131	,50280483	,1	
218233153980589	,0000000000	,hwt	,hwt	,5814	,0000000000	,20150307	,001	,0	,0	,0	,1	,9900020001	,0	,0001	,1	,07	,t6cjnfhrlgvqi	,95887101	,667402042417252384	,4101748362	,596898003475968	,UWUFNBZ1J2K7P5OY6XXFB4GOH86LMCSOYF95HRB9AAPI4VESVLQGEKIEC633JT9N	,6806274397	,704583569066	,9218333194	,0861498131	,50280483	,1	
218233153980589	,0000000000	,hwt	,hwt	,5814	,0000000000	,20150307	,001	,0	,0	,0	,1	,9900020001	,0	,0001	,1	,07	,t6cjnfhrlgvqi	,95887101	,667402042417252384	,4101748362	,596898003475968	,UWUFNBZ1J2K7P5OY6XXFB4GOH86LMCSOYF95HRB9AAPI4VESVLQGEKIEC633JT9N	,6806274397	,704583569066	,9218333194	,0861498131	,50280483	,1	
799743784101764	,00030001	,gmv	,gmv	,5719	,0000000000	,20161114	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,fvoazws07i134	,09519072	,114569206890605852	,4763571796	,010325985506344	,Q3UJQMBFQFKW6YOGMA6GL8K7H4224G1JBBI9HD3C3IDASIAEW96EY7JHS79UTVTM	,7381892767	,709570378483	,9543941085	,1857058550	,10315918	,1	
799743784101764	,0000000000	,gmv	,gmv	,5719	,0000000000	,20161114	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,fvoazws07i134	,09519072	,114569206890605852	,4763571796	,010325985506344	,Q3UJQMBFQFKW6YOGMA6GL8K7H4224G1JBBI9HD3C3IDASIAEW96EY7JHS79UTVTM	,7381892767	,709570378483	,9543941085	,1857058550	,10315918	,1	
799743784101764	,0000000000	,gmv	,gmv	,5719	,0000000000	,20161114	,001	,0	,0	,0	,1	,9900020002	,0	,0001	,1	,07	,fvoazws07i134	,09519072	,114569206890605852	,4763571796	,010325985506344	,Q3UJQMBFQFKW6YOGMA6GL8K7H4224G1JBBI9HD3C3IDASIAEW96EY7JHS79UTVTM	,7381892767	,709570378483	,9543941085	,1857058550	,10315918	,1	
643043801395418	,00020000	,ghe	,ghe	,5712	,0000000000	,20210314	,001	,0	,0	,0	,1	,9900060003	,0	,0001	,1	,07	,hq74kg1lje83z	,79967466	,770190085873344248	,1083740271	,044183287316577	,YHUPP35SYJT1R8UANQ4LICEHJM1XQZO25OCIZLKA39D2XENS7SYQW67V9UFMT632	,7753183953	,805537048923	,1143289752	,0626603807	,81022960	,1	
643043801395418	,0000000000	,ghe	,ghe	,5712	,0000000000	,20210314	,001	,0	,0	,0	,1	,9900060003	,0	,0001	,1	,07	,hq74kg1lje83z	,79967466	,770190085873344248	,1083740271	,044183287316577	,YHUPP35SYJT1R8UANQ4LICEHJM1XQZO25OCIZLKA39D2XENS7SYQW67V9UFMT632	,7753183953	,805537048923	,1143289752	,0626603807	,81022960	,1	
643043801395418	,0000000000	,ghe	,ghe	,5712	,0000000000	,20210314	,001	,0	,0	,0	,1	,9900060003	,0	,0001	,1	,07	,hq74kg1lje83z	,79967466	,770190085873344248	,1083740271	,044183287316577	,YHUPP35SYJT1R8UANQ4LICEHJM1XQZO25OCIZLKA39D2XENS7SYQW67V9UFMT632	,7753183953	,805537048923	,1143289752	,0626603807	,81022960	,1	
655602759041544	,00020003	,kov	,kov	,7011	,0000000000	,20190703	,001	,0	,0	,0	,0	,9900020003	,1	,0001	,1	,07	,s8t0nbawdq3xi	,66377501	,034514288161724216	,7675649134	,020751243448487	,EJVCP2VG8RJ4Y4HW31Q3U2PE9TZBK8DISPM1SE671Y5TL6AH5XWNIO9FZA3XVB9C	,9345132270	,183960440181	,5680887577	,5190788953	,53241218	,1	
655602759041544	,0000000000	,kov	,kov	,7011	,0000000000	,20190703	,001	,0	,0	,0	,0	,9900020003	,1	,0001	,1	,07	,s8t0nbawdq3xi	,66377501	,034514288161724216	,7675649134	,020751243448487	,EJVCP2VG8RJ4Y4HW31Q3U2PE9TZBK8DISPM1SE671Y5TL6AH5XWNIO9FZA3XVB9C	,9345132270	,183960440181	,5680887577	,5190788953	,53241218	,1	
655602759041544	,0000000000	,kov	,kov	,7011	,0000000000	,20190703	,001	,0	,0	,0	,0	,9900020003	,1	,0001	,1	,07	,s8t0nbawdq3xi	,66377501	,034514288161724216	,7675649134	,020751243448487	,EJVCP2VG8RJ4Y4HW31Q3U2PE9TZBK8DISPM1SE671Y5TL6AH5XWNIO9FZA3XVB9C	,9345132270	,183960440181	,5680887577	,5190788953	,53241218	,1	
804467378851995	,00010003	,tbd	,tbd	,7011	,0000000000	,20161002	,001	,0	,0	,0	,0	,9900010002	,0	,0001	,1	,07	,xc3eow86t72u9	,97550204	,031092122697930365	,2941003105	,124473634144337	,FI8GR46VM2FTQ1KBJWS3GBYSZN51TQE78CHDI196HMGKXWVPUJ5ER7PB5HYJ4XO3	,8124108428	,921702254489	,4763415100	,2675275514	,77950755	,1	
804467378851995	,0000000000	,tbd	,tbd	,7011	,0000000000	,20161002	,001	,0	,0	,0	,0	,9900010002	,0	,0001	,1	,07	,xc3eow86t72u9	,97550204	,031092122697930365	,2941003105	,124473634144337	,FI8GR46VM2FTQ1KBJWS3GBYSZN51TQE78CHDI196HMGKXWVPUJ5ER7PB5HYJ4XO3	,8124108428	,921702254489	,4763415100	,2675275514	,77950755	,1	
804467378851995	,0000000000	,tbd	,tbd	,7011	,0000000000	,20161002	,001	,0	,0	,0	,0	,9900010002	,0	,0001	,1	,07	,xc3eow86t72u9	,97550204	,031092122697930365	,2941003105	,124473634144337	,FI8GR46VM2FTQ1KBJWS3GBYSZN51TQE78CHDI196HMGKXWVPUJ5ER7PB5HYJ4XO3	,8124108428	,921702254489	,4763415100	,2675275514	,77950755	,1	
