
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
uzs7qbljtx5ci	,03	,00030000	,369032171133	,0000	,0	,01	,1	,595633	,0201000627	,0	,59000807	,00030000	,4	,030000000	,0	,168.00	,01	,000627	,00030000	,0	,000300005956330201000627000030000	,20220201	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,150	,8898	,01	,01	,vw02ln1f9cbix	,1	,1	
mcfrybputd6sl	,03	,00020002	,979402685668	,0000	,0	,01	,1	,129802	,0201000714	,0	,79350856	,00020002	,4	,030000000	,0	,6.00	,01	,000714	,00020002	,0	,000200021298020201000714000020002	,20220201	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,150	,2306	,01	,01	,6mb78xs45izdt	,1	,1	
o1kitwl2qg9db	,03	,00030000	,314748689092	,0000	,0	,01	,1	,712947	,0201000911	,0	,30766414	,00030000	,4	,030000000	,0	,560.00	,01	,000911	,00030000	,0	,000300007129470201000911000030000	,20220201	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,021	,0182	,01	,01	,901ifrwdpm7hy	,1	,1	
6mb78xs45izdt	,03	,00020001	,787614445046	,0000	,0	,01	,1	,743937	,0201001017	,0	,61214286	,00020001	,4	,030000000	,0	,343.00	,01	,001017	,00020001	,0	,000200017439370201001017000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,120	,7466	,01	,01	,yjhrau7sf3n0v	,1	,1	
df5sjwerkuxpz	,03	,00020001	,044727762578	,0000	,0	,01	,1	,151058	,0201001532	,0	,34462997	,00020001	,4	,030000000	,0	,436.00	,01	,001532	,00020001	,0	,000200011510580201001532000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,042	,8258	,01	,01	,sa0wzxcnf46ql	,1	,1	
9j5shzc768gw1	,03	,00020003	,965133010330	,0000	,0	,01	,1	,165529	,0201001546	,0	,96745516	,00020003	,4	,030000000	,0	,160.00	,01	,001546	,00020003	,0	,000200031655290201001546000020003	,20220201	,00020003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,000	,1168	,01	,01	,6mb78xs45izdt	,1	,1	
qxehgbny2tsro	,03	,00010003	,252976278291	,0000	,0	,01	,1	,863685	,0201003401	,0	,97654899	,00010003	,4	,030000000	,0	,383.00	,01	,003401	,00010003	,0	,000100038636850201003401000010003	,20220201	,00010003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,001	,8432	,01	,01	,12f6y3nuv04sq	,1	,1	
degu6ylirnjvz	,03	,00010002	,431808461933	,0000	,0	,01	,1	,132783	,0201003646	,0	,98825899	,00010002	,4	,030000000	,0	,412.00	,01	,003646	,00010002	,0	,000100021327830201003646000010002	,20220201	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,012	,1884	,01	,02	,0jc9samyxzliv	,1	,1	
l74tgqehra8o1	,03	,00010001	,066513713325	,0000	,0	,01	,1	,361592	,0201003816	,0	,30202249	,00010001	,4	,030000000	,0	,274.00	,01	,003816	,00010001	,0	,000100013615920201003816000010001	,20220201	,00010001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,062	,9256	,01	,01	,12f6y3nuv04sq	,1	,1	
tk67ayfz15qvx	,03	,00010001	,551545650736	,0000	,0	,01	,1	,469760	,0201003932	,0	,34046926	,00010001	,4	,030000000	,0	,218.00	,01	,003932	,00010001	,0	,000100014697600201003932000010001	,20220201	,00010001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,101	,5232	,01	,01	,xoby6vk2mrn0f	,1	,1	
708x4jd2gzre5	,03	,00020003	,674233848832	,0000	,0	,01	,1	,223377	,0201004207	,0	,52291627	,00020003	,4	,030000000	,0	,571.00	,01	,004207	,00020003	,0	,000200032233770201004207000020003	,20220201	,00020003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,070	,0367	,01	,01	,e6kygvdl0h48o	,1	,1	
708x4jd2gzre5	,03	,00020003	,146733399260	,0000	,0	,01	,1	,505866	,0201004326	,0	,44546494	,00020003	,4	,030000000	,0	,505.00	,01	,004326	,00020003	,0	,000200035058660201004326000020003	,20220201	,00020003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,120	,1643	,01	,01	,ljecdnwy624f0	,1	,1	
7mn2ailcb0qo6	,03	,00020000	,525155960694	,0000	,0	,01	,1	,271273	,0201004948	,0	,58245131	,00020000	,4	,030000000	,0	,236.00	,01	,004948	,00020000	,0	,000200002712730201004948000020000	,20220201	,00020000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,022	,4195	,01	,03	,mcfrybputd6sl	,1	,1	
xoby6vk2mrn0f	,03	,00020002	,839813834816	,0000	,0	,01	,1	,094073	,0201005850	,0	,66824521	,00020002	,4	,030000000	,0	,390.00	,01	,005850	,00020002	,0	,000200020940730201005850000020002	,20220201	,00020002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,100	,7955	,01	,02	,g206ntdhqca7z	,1	,1	
kes06nr3pug59	,03	,00010002	,348563961977	,0000	,0	,01	,1	,875962	,0201010047	,0	,29178687	,00010002	,4	,030000000	,0	,72.00	,01	,010047	,00010002	,0	,000100028759620201010047000010002	,20220201	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,112	,1104	,01	,01	,65uq4nkj7g9wz	,1	,1	
tk67ayfz15qvx	,03	,00010001	,561539229210	,0000	,0	,01	,1	,238775	,0201010309	,0	,71197456	,00010001	,4	,030000000	,0	,16.00	,01	,010309	,00010001	,0	,000100012387750201010309000010001	,20220201	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,140	,0976	,01	,01	,g8w5v3nxpr0zc	,1	,1	
sz1a956u2lm8n	,03	,00030000	,800916864493	,0000	,0	,01	,1	,245478	,0201010329	,0	,39960946	,00030000	,4	,030000000	,0	,383.00	,01	,010329	,00030000	,0	,000300002454780201010329000030000	,20220201	,00030000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,131	,2338	,01	,01	,bfi15nzar4x3o	,1	,1	
lmnw82akv0sif	,03	,00030001	,067420365952	,0000	,0	,01	,1	,666284	,0201010938	,0	,22924206	,00030001	,4	,030000000	,0	,3.00	,01	,010938	,00030001	,0	,000300016662840201010938000030001	,20220201	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,031	,5345	,01	,01	,df5sjwerkuxpz	,1	,1	
lmnw82akv0sif	,03	,00030001	,034139145866	,0000	,0	,01	,1	,472321	,0201011131	,0	,03494996	,00030001	,4	,030000000	,0	,63.00	,01	,011131	,00030001	,0	,000300014723210201011131000030001	,20220201	,00030001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,050	,6350	,01	,01	,mnwop09fgvbzx	,1	,1	
mnwop09fgvbzx	,03	,00020003	,143467592610	,0000	,0	,01	,1	,469829	,0201011323	,0	,35404175	,00020003	,4	,030000000	,0	,76.00	,01	,011323	,00020003	,0	,000200034698290201011323000020003	,20220201	,00020003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,002	,9819	,01	,01	,lmnw82akv0sif	,1	,1	
w4e6a3r0h8kg2	,03	,00030001	,451658260944	,0000	,0	,01	,1	,997657	,0201012450	,0	,44540510	,00030001	,4	,030000000	,0	,532.00	,01	,012450	,00030001	,0	,000300019976570201012450000030001	,20220201	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,110	,1230	,01	,01	,df5sjwerkuxpz	,1	,1	
ilfuhcxvp2ny8	,03	,00020002	,590750745375	,0000	,0	,01	,1	,111745	,0201012800	,0	,42563393	,00020002	,4	,030000000	,0	,226.00	,01	,012800	,00020002	,0	,000200021117450201012800000020002	,20220201	,00020002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,100	,7732	,01	,01	,6i32ud51ag0et	,1	,1	
0l9i8u1k2ebc3	,03	,00010001	,511060183047	,0000	,0	,01	,1	,725075	,0201013046	,0	,84412953	,00010001	,4	,030000000	,0	,237.00	,01	,013046	,00010001	,0	,000100017250750201013046000010001	,20220201	,00010001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX转账	,112	,2817	,01	,02	,u90qzxe4bkdy3	,1	,1	
gjd0or6stq71w	,03	,00020001	,430552760102	,0000	,0	,01	,1	,695120	,0201013249	,0	,45715282	,00020001	,4	,030000000	,0	,73.00	,01	,013249	,00020001	,0	,000200016951200201013249000020001	,20220201	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,031	,4473	,01	,01	,74neixtrlhp6k	,1	,1	
xoby6vk2mrn0f	,03	,00020002	,105852273470	,0000	,0	,01	,1	,440119	,0201013526	,0	,98561550	,00020002	,4	,030000000	,0	,58.00	,01	,013526	,00020002	,0	,000200024401190201013526000020002	,20220201	,00020002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX转账	,002	,8113	,01	,02	,nu1k7zq6o9cjb	,1	,1	
yoi16dlk0j7ws	,03	,00010000	,868455293926	,0000	,0	,01	,1	,362691	,0201013614	,0	,55002095	,00010000	,4	,030000000	,0	,306.00	,01	,013614	,00010000	,0	,000100003626910201013614000010000	,20220201	,00010000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,131	,3640	,01	,03	,12f6y3nuv04sq	,1	,1	
w4e6a3r0h8kg2	,03	,00030001	,178235708675	,0000	,0	,01	,1	,439867	,0201013923	,0	,75552524	,00030001	,4	,030000000	,0	,54.00	,01	,013923	,00030001	,0	,000300014398670201013923000030001	,20220201	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX转账	,030	,2431	,01	,01	,w14z5btr2imh8	,1	,1	
